"","Lake.ID","Year","Lake.x","Max.depth","litt.ac","Lake.area.ac","Proportion.littoral","PrevAugSecchi","PrevAugSecchi.sc","IceDuration","IceDuration.sc","IceOff","Snow","Snow.sc","foc_clp","pcri.e_foc","SURVEY_START","nsamp","perc.lit.chem","Acres_Chem","trt_date_lag0","YrsTrt","cytrt","yutrt","Trt","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","obs"
"22","27005500",2023,NA,NA,13,13,1,0.56,-0.620110695116153,142,0.816551031955233,NA,19.558,1.54523814055445,0.05,0.052631579,"5/13/2023",95,0,0,NA,4,1,1,"0",0,"1",0,1,1,1,0,0,0,22
"23","27005500",2024,NA,NA,13,13,1,1.13,0.240288292326037,123,-0.603299981199066,NA,1.524,-1.11105417670097,0.19,0.189473684,"4/13/2024",95,24.3076923,3.16,"4/25/2024",5,0,2,"0",0,"0",1,0,1,1,1,0,0,23
"24","27007800",2023,"Staring",16,156.22,164.3556023,0.9505,0.55,-0.635205414194086,140,0.66709303057057,NA,19.558,1.54523814055445,0.16,0.162921348,"5/22/2023",178,0,0,NA,1,0,6,"0",0,"0",0,0,0,0,1,0,0,24
"25","27009800",2021,"Bass",31,149.28,183.1881212,0.8149,0.75,-0.333311032635423,110,-1.57477699019938,NA,11.176,0.310623401548411,0.64,0.642857143,"5/26/2021",98,12.0712755,18.02,"6/1/2021",6,5,1,"0",0,"1",1,1,1,1,0,0,0,25
"26","27010400",2019,"Medicine",47.59999847,434.53,929.6747967,0.4674,1.12,0.225193573248104,141,0.741822031262901,NA,13.97,0.722161647883759,0.26,0.255434783,"4/25/2019",184,11.4077279,49.57,"5/1/2019",3,2,1,"0",0,"1",1,0,0,0,0,0,0,26
"27","27010400",2022,"Medicine",47.59999847,434.53,929.6747967,0.4674,1.81,1.26672918962549,131,-0.00546797566041378,NA,9.652,0.086147994456403,0.54,0.535519126,"4/29/2022",183,27.5009781,119.5,"5/16/2022",6,5,1,"0",0,"1",1,1,1,1,0,0,0,27
"28","27027500",2021,NA,NA,6,6,1,1.1,0.195004135092238,110,-1.57477699019938,NA,11.176,0.310623401548411,0.22,0.225,"5/2/2021",40,21.3333333,1.28,"5/14/2021",1,0,9,"0",0,"0",0,0,0,0,0,0,0,28
"29","27027500",2023,NA,NA,6,6,1,1.37,0.602561550196434,142,0.816551031955233,NA,19.558,1.54523814055445,0,0,"5/13/2023",40,0,0,NA,1,0,2,"0",0,"0",1,0,0,0,0,0,0,29
"30","27027500",2025,NA,NA,6,6,1,0.87,-0.152174403700225,123,-0.603299981199066,NA,3.048,-0.886578769608964,0.4,0.4,"4/26/2025",40,58.3333333,3.5,"5/2/2025",2,0,4,"0",0,"0",0,0,1,0,0,0,0,30
"31","27066900",2021,NA,NA,6,6,1,NA,NA,110,-1.57477699019938,NA,11.176,0.310623401548411,0,0,"5/2/2021",49,0,0,NA,2,2,1,"0",0,"1",1,0,0,0,0,0,0,31
"32","27066900",2023,NA,NA,6,6,1,NA,NA,142,0.816551031955233,NA,19.558,1.54523814055445,0,0,"5/13/2023",49,0,0,NA,3,1,1,"0",0,"1",0,1,1,0,0,0,0,32
"33","27066900",2024,NA,NA,6,6,1,NA,NA,124,-0.528570980506734,NA,1.524,-1.11105417670097,0.1,0.102040816,"4/8/2024",49,19.5,1.17,"4/25/2024",4,0,2,"0",0,"0",1,0,1,1,0,0,0,33
"34","27067700",2023,NA,NA,4,4,1,NA,NA,142,0.816551031955233,NA,19.558,1.54523814055445,0,0,"5/13/2023",25,0,0,NA,1,1,1,"0",0,"1",0,0,0,0,0,0,0,34
"35","27067700",2024,NA,NA,4,4,1,NA,NA,124,-0.528570980506734,NA,1.524,-1.11105417670097,0.16,0.16,"4/8/2024",25,14.75,0.59,"4/25/2024",2,0,2,"0",0,"0",1,0,0,0,0,0,0,35
"36","70002200",2019,"Cleary",9,144.74,146.1724904,0.9902,0.55,-0.635205414194086,141,0.741822031262901,NA,13.97,0.722161647883759,0.81,0.806060606,"4/26/2019",165,100,145,"5/1/2019",1,0,9,"0",0,"0",0,0,0,0,0,0,0,36
"37","70002200",2022,"Cleary",9,144.74,146.1724904,0.9902,0.63,-0.514447661570621,131,-0.00546797566041378,NA,9.652,0.086147994456403,0.48,0.481012658,"4/11/2022",158,100,145,"4/20/2022",4,3,1,"0",0,"1",1,1,0,0,0,0,0,37
"38","71001300",2021,"Orono",17,246.64,248.9552841,0.9907,0.6,-0.559731818804421,112,-1.42531898881471,NA,11.176,0.310623401548411,0,0,"5/15/2021",204,0,0,NA,4,4,1,"0",0,"1",1,1,1,0,0,0,0,38
"39","71001300",2022,"Orono",17,246.64,248.9552841,0.9907,0.5,-0.710679009583752,135,0.293448027108912,NA,9.652,0.086147994456403,0.2,0.200980392,"5/21/2022",204,12.516218,30.87,"6/3/2022",5,0,2,"0",0,"0",1,1,1,1,0,0,0,39
"40","71001300",2023,"Orono",17,246.64,248.9552841,0.9907,0.6,-0.559731818804421,144,0.966009033339896,NA,19.558,1.54523814055445,0.19,0.18627451,"5/20/2023",204,12.516218,30.87,"5/25/2023",6,1,1,"0",0,"1",0,1,1,1,1,0,0,40
"41","82016200",2023,"Shields",25.89999962,25.53,29.53493753,0.8644,3.31,3.53093705131547,146,1.11546703472456,NA,19.558,1.54523814055445,0.55,0.55,"4/25/2023",40,12.0250685,3.07,"5/22/2023",5,4,1,"0",0,"1",1,1,1,0,0,0,0,41
"42","40000200",2015,"Upper Sakatah",NA,899.57,NA,NA,NA,NA,NA,NA,85.35279048,1.3,-1.14404793732342,0.842857143,0.842857143,"4/13/2015",70,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,42
"43","27007000",2015,NA,NA,110.62,NA,NA,2.325,2.04410722213905,NA,NA,87.3956651,1.3,-1.14404793732342,0.73480663,0.73480663,"4/28/2015",181,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,43
"44","27007000",2015,NA,NA,110.62,NA,NA,2.325,2.04410722213905,NA,NA,87.3956651,1.3,-1.14404793732342,0.682051282,0.682051282,"4/29/2015",195,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,44
"45","40000200",2016,"Upper Sakatah",NA,899.57,NA,NA,NA,NA,NA,NA,75.00411574,2,-1.04094243537827,0.35483871,0.35483871,"4/4/2016",31,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,45
"46","27007000",2016,NA,NA,110.62,NA,NA,1.5,0.798792898209565,NA,NA,77.04699036,2,-1.04094243537827,0.759562842,0.759562842,"4/29/2016",183,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,46
"47","40000200",2017,"Upper Sakatah",NA,899.57,NA,NA,NA,NA,NA,NA,77.70202865,1.3,-1.14404793732342,0.794871795,0.794871795,"4/11/2017",39,2.178818769,19.6,"5/1/2017",NA,0,NA,"1",0,"0",0,0,0,0,0,0,0,47
"48","86026400",2017,NA,NA,58.31,NA,NA,0.8,-0.257837437245757,NA,NA,NA,1.3,-1.14404793732342,0.386792453,0.386792453,"4/22/2017",106,14.74875665,8.6,"5/1/2017",NA,0,NA,"1",0,"0",0,0,0,0,0,0,0,48
"49","70009100",2017,"Cedar",NA,792.5,NA,NA,NA,NA,NA,NA,78.75289659,1.3,-1.14404793732342,0.465608466,0.465608466,"4/25/2017",189,22.71293375,180,"5/1/2017",NA,0,1,"1",0,"1",0,0,0,0,0,0,0,49
"50","41004300",2017,"Dead Coon",NA,2649.41,NA,NA,NA,NA,NA,NA,75.89668637,1.3,-1.14404793732342,0.392405063,0.392405063,"4/27/2017",79,13.31617228,352.8,"5/1/2017",NA,0,NA,"1",0,"0",0,0,0,0,0,0,0,50
"51","70005000",2017,"McMahon",NA,162.26,NA,NA,NA,NA,NA,NA,78.45547922,1.3,-1.14404793732342,0.75,0.75,"4/28/2017",72,10.16886478,16.5,"5/1/2017",NA,0,3,"1",0,"0",0,1,0,0,0,0,0,51
"52","27007000",2014,NA,NA,110.62,NA,NA,1.35,0.572372112040567,NA,NA,106.3571015,9.6,0.0784887285976206,0.320441989,0.320441989,"5/20/2014",181,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,52
"53","70005000",2015,"McMahon",NA,162.26,NA,NA,1.1,0.195004135092238,NA,NA,86.10624105,1.3,-1.14404793732342,0.598425197,0.598425197,"5/15/2015",127,0,0,NA,NA,0,1,"0",0,"1",0,0,0,0,0,0,0,53
"54","10004100",2016,NA,NA,156.44,NA,NA,2.433333333,2.20763334498017,NA,NA,77.93104344,2,-1.04094243537827,0.617647059,0.617647059,"5/16/2016",136,0,0,NA,NA,0,NA,"0",0,"0",0,0,0,0,0,0,0,54
"55","70005000",2016,"McMahon",NA,162.26,NA,NA,NA,NA,NA,NA,75.7575663,2,-1.04094243537827,0.487804878,0.487804878,"5/25/2016",123,0,0,NA,NA,0,2,"0",0,"0",1,0,0,0,0,0,0,55
