,survey_id,DOW,SURVEY_START,lag0_before,lag0_after,acres_lag0_before,acres_lag0_after,date_lag0_before,date_lag0_after,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8
29,92,10001300,8/16/2023,1,0,5.35,NA,5/17/2023,NA,1,1,0,0,1,1,0,0
30,161,13002700,6/12/2025,1,0,7.01,NA,5/14/2025,NA,1,1,0,0,1,2,1,1
31,162,13002700,8/4/2025,1,0,7.01,NA,5/14/2025,NA,1,1,0,0,1,2,1,1
32,174,13002700,7/9/2018,1,0,8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
33,175,13002700,8/1/2023,1,0,26.84,NA,5/23/2023,NA,0,0,1,2,1,1,0,0
34,177,13002800,8/11/2021,0,0,NA,NA,NA,NA,0,0,1,1,0,0,0,0
35,179,13003200,6/9/2025,1,0,7,NA,5/14/2025,NA,1,1,0,0,1,2,1,1
36,249,18035200,7/24/2017,1,0,8,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
37,306,27002800,4/23/2017,0,1,NA,7.4,NA,5/1/2017,0,0,0,0,0,0,0,0
38,307,27002800,6/10/2017,1,0,7.4,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
39,308,27002800,5/13/2018,0,1,NA,7.4,NA,6/1/2018,1,0,0,0,0,0,0,0
40,310,27002800,4/18/2020,0,1,NA,7.4,NA,5/1/2020,1,1,1,0,0,0,0,0
41,311,27002800,4/24/2021,0,1,NA,7.4,NA,5/1/2021,1,1,1,1,0,0,0,0
42,313,27002800,6/21/2022,1,0,4.6,NA,5/1/2022,NA,1,1,1,1,1,0,0,0
43,314,27002800,8/9/2022,1,0,4.6,NA,5/1/2022,NA,1,1,1,1,1,0,0,0
44,315,27002800,5/13/2023,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,0
45,316,27002800,6/26/2023,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,0
46,317,27002800,8/21/2023,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,0
47,318,27002800,6/12/2024,1,0,49.9,NA,4/18/2024,NA,0,1,1,1,1,1,1,0
48,319,27002800,8/12/2024,1,0,49.9,NA,4/18/2024,NA,0,1,1,1,1,1,1,0
49,320,27002800,6/10/2025,1,0,49.9,NA,4/30/2025,NA,1,0,1,1,1,1,1,1
50,321,27002800,8/12/2025,1,0,49.9,NA,4/30/2025,NA,1,0,1,1,1,1,1,1
51,333,27003400,5/23/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
52,334,27003400,8/7/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
53,335,27003400,6/10/2020,0,0,NA,NA,NA,NA,1,0,1,0,0,0,0,0
54,336,27003400,9/5/2020,0,0,NA,NA,NA,NA,1,0,1,0,0,0,0,0
55,337,27003400,7/22/2021,1,0,5.1,NA,5/10/2021,NA,0,1,0,1,0,0,0,0
56,372,27004400,4/25/2020,0,1,NA,2.1,NA,5/1/2020,1,0,0,0,0,0,0,0
57,375,27004400,5/13/2023,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0
58,376,27004400,4/5/2024,0,1,NA,0.87,NA,4/25/2024,0,1,1,1,1,0,0,0
59,377,27004400,4/8/2024,0,1,NA,0.87,NA,4/25/2024,0,1,1,1,1,0,0,0
60,378,27004500,4/23/2017,0,1,NA,3,NA,5/1/2017,0,0,0,0,0,0,0,0
61,379,27004500,5/13/2018,0,1,NA,2,NA,6/1/2018,1,0,0,0,0,0,0,0
62,381,27004500,4/25/2020,0,1,NA,2,NA,5/1/2020,1,1,1,0,0,0,0,0
63,384,27004500,5/13/2023,0,1,NA,2,NA,5/24/2023,1,1,1,1,1,1,0,0
64,385,27004500,4/5/2024,0,1,NA,2,NA,4/25/2024,1,1,1,1,1,1,1,0
65,397,27004800,5/22/2017,1,0,31.1,NA,4/1/2017,NA,0,0,0,0,0,0,0,0
66,398,27004800,8/10/2017,1,0,31.1,NA,4/1/2017,NA,0,0,0,0,0,0,0,0
67,399,27004800,5/18/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
68,400,27004800,6/6/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
69,401,27004800,8/10/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
70,402,27004800,4/30/2019,0,1,NA,19,NA,5/1/2019,0,1,0,0,0,0,0,0
71,403,27004800,6/11/2019,1,0,19,NA,5/1/2019,NA,0,1,0,0,0,0,0,0
72,404,27004800,8/15/2019,1,0,19,NA,5/1/2019,NA,0,1,0,0,0,0,0,0
73,405,27004800,4/17/2020,0,1,NA,9,NA,4/30/2020,1,0,1,0,0,0,0,0
74,406,27004800,6/4/2020,1,0,9,NA,4/30/2020,NA,1,0,1,0,0,0,0,0
75,407,27005500,5/13/2018,0,1,NA,3.2,NA,6/1/2018,0,0,0,0,0,0,0,0
76,410,27005500,5/2/2021,0,0,NA,NA,NA,NA,2,1,1,0,0,0,0,0
77,412,27005500,5/13/2023,0,0,NA,NA,NA,NA,1,0,2,1,1,0,0,0
78,413,27005500,4/13/2024,0,1,NA,3.16,NA,4/25/2024,0,1,0,2,1,1,0,0
79,417,27005700,6/19/2023,1,0,5.91,NA,5/24/2023,NA,0,0,0,0,0,0,0,0
80,418,27005700,8/14/2023,1,0,5.91,NA,5/24/2023,NA,0,0,0,0,0,0,0,0
81,419,27005700,6/24/2024,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
82,420,27005700,8/29/2024,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
83,457,27007600,7/6/2018,1,0,13,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
84,458,27007600,8/30/2021,1,0,13.04,NA,5/1/2021,NA,1,1,1,1,0,0,0,0
85,462,27007800,6/20/2017,1,0,40,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
86,463,27007800,6/28/2017,1,0,40,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
87,464,27007800,8/8/2017,1,0,40,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
88,465,27007800,8/13/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
89,466,27007800,6/3/2019,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
90,467,27007800,6/18/2019,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
91,468,27007800,8/12/2019,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
92,469,27007800,5/22/2023,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0
93,470,27007800,6/14/2023,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0
94,471,27007800,8/23/2023,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0
95,478,27009000,6/12/2024,1,0,4.2,NA,4/19/2024,NA,0,0,0,0,0,0,0,0
96,479,27009000,8/12/2024,1,0,4.2,NA,4/19/2024,NA,0,0,0,0,0,0,0,0
97,480,27009000,6/10/2025,1,0,4.2,NA,4/30/2025,NA,1,0,0,0,0,0,0,0
98,481,27009000,8/12/2025,1,0,4.2,NA,4/30/2025,NA,1,0,0,0,0,0,0,0
99,489,27009800,8/16/2018,1,0,12.3,NA,5/1/2018,NA,1,1,0,0,0,0,0,0
100,490,27009800,7/29/2019,1,0,20.4,NA,5/1/2019,NA,1,1,1,0,0,0,0,0
101,491,27009800,5/26/2021,0,1,NA,18.02,NA,6/1/2021,1,1,1,1,1,0,0,0
102,492,27009800,8/17/2021,1,0,18.02,NA,6/1/2021,NA,1,1,1,1,1,0,0,0
103,493,27009800,8/21/2023,1,0,18.66,NA,5/24/2023,NA,1,1,1,1,1,1,1,0
104,511,27010300,6/21/2022,0,0,NA,NA,NA,NA,0,1,2,1,1,0,0,0
105,512,27010300,8/9/2022,0,0,NA,NA,NA,NA,0,1,2,1,1,0,0,0
106,513,27010400,4/29/2022,0,1,NA,119.5,NA,5/16/2022,1,1,1,1,1,0,0,0
107,517,27010400,6/2/2017,1,0,45,NA,4/1/2017,NA,0,0,0,0,0,0,0,0
108,518,27010400,9/1/2017,1,0,45,NA,4/1/2017,NA,0,0,0,0,0,0,0,0
109,520,27010400,6/27/2018,1,0,35.8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
110,521,27010400,8/31/2018,1,0,35.8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
111,522,27010400,4/25/2019,0,1,NA,49.57,NA,5/1/2019,1,1,0,0,0,0,0,0
112,523,27010400,6/19/2019,1,0,49.57,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
113,524,27010400,8/14/2019,1,0,49.57,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
114,525,27010400,6/11/2020,1,0,49.4,NA,5/1/2020,NA,1,1,1,0,0,0,0,0
115,563,27012500,6/28/2018,1,0,60,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
116,564,27012500,9/4/2018,1,0,60,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
117,565,27012500,6/25/2019,1,0,405,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
118,566,27012500,8/19/2019,1,0,405,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
119,567,27012500,6/3/2020,1,0,405,NA,4/13/2020,NA,1,1,1,0,0,0,0,0
120,689,27019100,6/1/2017,1,0,260,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
121,690,27019100,8/25/2017,1,0,260,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
122,691,27019100,6/13/2018,1,0,114.5,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
123,692,27019100,8/20/2018,1,0,114.5,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
124,693,27019100,6/7/2019,1,0,108.6,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
125,694,27019100,9/6/2019,1,0,108.6,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
126,695,27019100,9/16/2019,1,0,108.6,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
127,714,27027500,5/2/2021,0,1,NA,1.28,NA,5/14/2021,0,0,0,0,0,0,0,0
128,715,27027500,5/13/2023,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
129,716,27027500,4/26/2025,0,1,NA,3.5,NA,5/2/2025,0,0,0,1,0,0,0,0
130,731,27066900,5/2/2021,0,0,NA,NA,NA,NA,2,1,0,0,0,0,0,0
131,733,27066900,5/13/2023,0,0,NA,NA,NA,NA,1,0,2,1,0,0,0,0
132,734,27066900,4/8/2024,0,1,NA,1.17,NA,4/25/2024,0,1,0,2,1,0,0,0
133,742,27067700,5/13/2023,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
134,743,27067700,4/8/2024,0,1,NA,0.59,NA,4/25/2024,0,1,0,0,0,0,0,0
135,995,62000200,8/22/2019,1,0,68.82,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
136,996,62000200,8/13/2020,1,0,72.6,NA,5/4/2020,NA,1,1,1,0,0,0,0,0
137,997,62000200,9/13/2021,1,0,86.89,NA,5/1/2021,NA,1,1,1,1,0,0,0,0
138,998,62000200,8/9/2023,1,0,68.93,NA,5/16/2023,NA,1,1,1,1,1,1,0,0
139,999,62000200,8/9/2022,1,1,26.47,68.93,5/1/2022,5/16/2023,1,1,1,1,1,0,0,0
140,1002,62000200,6/20/2018,1,0,19.6,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
141,1003,62000200,7/17/2019,1,0,68.82,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
142,1004,62000200,7/9/2020,1,0,72.6,NA,5/4/2020,NA,1,1,1,0,0,0,0,0
143,1006,62000600,6/27/2024,1,0,12.4,NA,4/30/2024,NA,1,1,1,1,0,0,0,0
144,1007,62000600,7/24/2024,1,0,12.4,NA,4/30/2024,NA,1,1,1,1,0,0,0,0
145,1008,62000600,8/20/2024,1,0,12.4,NA,4/30/2024,NA,1,1,1,1,0,0,0,0
146,1009,62000600,9/11/2024,1,0,12.4,NA,4/30/2024,NA,1,1,1,1,0,0,0,0
147,1010,62000600,6/23/2025,1,0,15.58,NA,4/30/2025,NA,1,1,1,1,1,0,0,0
148,1011,62000600,8/25/2025,1,0,15.58,NA,4/30/2025,NA,1,1,1,1,1,0,0,0
149,1061,62005500,6/14/2024,1,0,71.3,NA,4/4/2024,NA,2,0,1,1,2,2,2,0
150,1062,62005500,7/9/2024,1,0,71.3,NA,4/4/2024,NA,2,0,1,1,2,2,2,0
151,1063,62005500,8/6/2024,1,0,71.3,NA,4/4/2024,NA,2,0,1,1,2,2,2,0
152,1064,62005500,6/2/2025,1,0,71.3,NA,4/15/2025,NA,1,2,0,1,1,2,2,2
153,1065,62005500,7/2/2025,1,0,71.3,NA,4/15/2025,NA,1,2,0,1,1,2,2,2
154,1066,62005500,8/4/2025,1,0,71.3,NA,4/15/2025,NA,1,2,0,1,1,2,2,2
155,1112,70002200,4/11/2022,0,1,NA,145,NA,4/20/2022,1,1,1,0,0,0,0,0
156,1119,70002200,4/26/2019,0,1,NA,145,NA,5/1/2019,0,0,0,0,0,0,0,0
157,1120,70002200,6/14/2019,1,0,145,NA,5/1/2019,NA,0,0,0,0,0,0,0,0
158,1121,70002200,9/3/2019,1,0,145,NA,5/1/2019,NA,0,0,0,0,0,0,0,0
159,1122,70002200,6/5/2020,1,0,145,NA,4/14/2020,NA,1,0,0,0,0,0,0,0
160,1124,70007200,7/29/2019,1,0,14.3,NA,5/1/2019,NA,0,0,0,0,0,0,0,0
161,1125,70007200,7/20/2020,1,0,17.7,NA,5/1/2020,NA,1,0,0,0,0,0,0,0
162,1126,71001300,6/12/2017,1,0,4.3,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
163,1127,71001300,7/26/2017,1,0,4.3,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
164,1129,71001300,6/10/2018,1,0,21.91,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
165,1130,71001300,7/21/2018,1,0,21.91,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
166,1132,71001300,7/25/2019,1,0,9.4,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
167,1134,71001300,7/21/2020,1,0,25.5,NA,5/1/2020,NA,1,1,1,0,0,0,0,0
168,1135,71001300,5/15/2021,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0
169,1136,71001300,6/13/2021,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0
170,1137,71001300,7/22/2021,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0
171,1138,71001300,5/21/2022,0,1,NA,30.87,NA,6/3/2022,0,1,1,1,1,0,0,0
172,1139,71001300,7/19/2022,1,1,30.87,30.87,6/3/2022,5/24/2023,0,1,1,1,1,0,0,0
173,1140,71001300,5/20/2023,0,1,NA,30.87,NA,5/25/2023,1,0,1,1,1,1,0,0
174,1141,71001300,7/21/2023,1,0,30.87,NA,5/25/2023,NA,1,0,1,1,1,1,0,0
175,1142,71001300,7/19/2024,1,0,30.87,NA,4/24/2024,NA,1,1,0,1,1,1,1,0
176,1143,71001300,7/14/2025,1,0,31,NA,5/14/2025,NA,1,1,1,0,1,1,1,1
177,1152,71014700,8/10/2018,1,0,10.8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
178,1153,73001400,7/28/2017,1,0,14.8,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
179,1154,73001400,7/16/2018,1,0,12.84,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
180,1163,73008200,7/31/2020,1,0,1.7,NA,5/1/2020,NA,0,0,1,0,0,0,0,0
181,1164,73008200,6/21/2022,0,0,NA,NA,NA,NA,0,1,0,0,1,0,0,0
182,1165,73008200,9/12/2023,0,0,NA,NA,NA,NA,0,0,1,0,0,1,0,0
183,1166,73008300,7/31/2020,1,0,1.7,NA,5/1/2020,NA,0,0,0,0,0,0,0,0
184,1169,73008600,7/15/2020,1,0,4,NA,5/1/2020,NA,0,0,0,0,0,0,0,0
185,1170,73008600,6/21/2022,1,0,10.8,NA,5/23/2022,NA,1,1,0,0,0,0,0,0
186,1171,73008600,9/12/2023,1,0,6,NA,5/24/2023,NA,1,1,1,0,0,0,0,0
187,1172,73008700,7/15/2020,1,0,1.8,NA,5/1/2020,NA,0,0,0,0,0,0,0,0
188,1175,73008800,7/15/2020,1,0,1,NA,5/1/2020,NA,0,0,0,0,0,0,0,0
189,1176,73008800,6/21/2022,1,0,0.3,NA,5/23/2022,NA,1,1,0,0,0,0,0,0
190,1177,73008800,9/12/2023,0,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0
191,1178,73008900,8/4/2020,1,0,1.7,NA,5/1/2020,NA,0,0,0,0,0,0,0,0
192,1179,73008900,6/21/2022,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
193,1183,73013300,8/22/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
194,1184,73013300,6/21/2022,1,0,43.7,NA,5/23/2022,NA,1,0,0,0,1,0,0,0
195,1185,73013300,9/28/2022,1,0,43.7,NA,5/23/2022,NA,1,0,0,0,1,0,0,0
196,1188,73013900,7/30/2020,1,0,2,NA,5/21/2020,NA,0,0,1,0,0,0,0,0
197,1196,73015700,8/15/2020,1,0,5.4,NA,5/21/2020,NA,0,0,1,0,0,0,0,0
198,1197,73015700,6/21/2022,1,0,3.9,NA,5/23/2022,NA,1,1,0,0,1,0,0,0
199,1198,73015700,9/28/2022,1,0,3.9,NA,5/23/2022,NA,1,1,0,0,1,0,0,0
200,1199,73015700,8/7/2023,0,0,NA,NA,NA,NA,1,1,1,0,0,1,0,0
201,1263,82010100,6/18/2024,1,0,12,NA,4/24/2024,NA,0,0,0,0,0,0,0,0
202,1264,82010100,6/19/2025,1,0,21.2,NA,5/13/2025,NA,1,0,0,0,0,0,0,0
203,1281,82010300,6/19/2025,1,0,6.6,NA,5/13/2025,NA,0,0,0,0,0,0,0,0
204,1349,82016200,4/25/2023,0,1,NA,3.07,NA,5/22/2023,1,1,1,1,0,0,0,0
205,1386,86002300,8/15/2017,1,0,26.5,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
206,1387,86002300,6/15/2022,1,0,14.39,NA,5/17/2022,NA,1,1,1,1,1,0,0,0
207,1398,86023400,7/12/2018,1,0,3.1,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
208,1400,86028200,7/28/2017,1,0,13.85,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
209,1401,86028200,7/17/2018,1,0,15.69,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
1,409,10000200,5/28/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,410,10000200,6/25/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
4,474,10001300,5/22/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
5,475,10001300,6/14/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
7,1371,27002800,5/4/2019,1,0,7.4,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
8,1444,27004400,5/2/2021,1,0,2.1,NA,5/1/2021,NA,1,1,0,0,0,0,0,0
9,1445,27004400,5/15/2022,1,0,2.1,NA,5/1/2022,NA,1,1,1,0,0,0,0,0
10,1451,27004500,5/4/2019,1,0,2,NA,5/1/2019,NA,1,1,0,0,0,0,0,0
11,1453,27004500,5/2/2021,1,0,2,NA,5/1/2021,NA,1,1,1,1,0,0,0,0
12,1454,27004500,5/15/2022,1,0,2,NA,5/1/2022,NA,1,1,1,1,1,0,0,0
13,1497,27005500,5/5/2019,1,0,3.2,NA,5/1/2019,NA,1,0,0,0,0,0,0,0
14,1498,27005500,5/2/2020,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0
15,1500,27005500,5/15/2022,1,0,3.2,NA,5/1/2022,NA,0,1,1,1,0,0,0,0
16,1604,27007800,5/25/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
17,1605,27007800,6/23/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
19,1607,27007800,6/9/2022,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0
21,1651,27009800,6/16/2022,1,0,20.89,NA,5/1/2022,NA,1,1,1,1,1,1,0,0
23,2072,27066900,5/15/2022,1,0,1.2,NA,5/1/2022,NA,0,1,1,0,0,0,0,0
24,3569,70002200,5/18/2021,1,0,145,NA,4/7/2021,NA,1,1,0,0,0,0,0,0
