Lake.ID,Lake.x,Year,litt.ac,SURVEY_START,Trt,YrsTrt,Snow,APRMAYPcri,JUNPcri,DIFF.4.6,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,perc.lit.chem,Ice_off,phosphorus,phosphorus.e,native_rich_mean,native_vegetated,survey_native_rich,trt_acres_lag0,trt_date_lag0,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,nsamp,Snow.sc,Ice_off.sc,secchi.sc,secchi.e.sc,phosphorus.sc,phosphorus.e.sc,lake_year,cytrt,yutrt,obs,secchi,secchi.e,NativeFOO_x_Richness
27007000,,2015,110.62,6/10/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,87.3956651,NA,NA,0.845303867,0.546961326,5,0,NA,0,0,0,0,0,0,0,0,0,181,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.646153846,4.75,NA
70009100,Cedar,2015,792.5,6/17/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,86.40365842,NA,NA,0.577319588,0.443298969,6,0,NA,0,0,0,0,0,0,0,0,0,194,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
40000200,Upper Sakatah,2016,899.57,4/4/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,75.00411574,NA,NA,1.419354839,0.903225806,2,0,NA,0,0,0,0,0,0,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
27007000,,2016,110.62,4/29/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,77.04699036,NA,NA,0.486338798,0.409836066,5,0,NA,0,0,0,0,0,0,0,0,0,183,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.275,3.1,NA
10004100,,2016,156.44,5/16/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,77.93104344,NA,NA,1.080882353,0.757352941,13,0,NA,0,0,0,0,0,0,0,0,0,136,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.46,4.45,NA
70005000,McMahon,2016,162.26,5/25/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,75.7575663,NA,NA,0.609756098,0.357723577,5,0,NA,0,0,1,0,0,0,0,0,0,123,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
10004100,,2016,156.44,6/7/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,77.93104344,NA,NA,1.030769231,0.923076923,3,0,NA,0,0,0,0,0,0,0,0,0,65,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.46,4.45,NA
41004300,Dead Coon,2016,2649.41,6/9/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,73.19877346,NA,NA,0.140350877,0.140350877,2,0,NA,0,0,0,0,0,0,0,0,0,57,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
27007000,,2016,110.62,6/13/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,77.04699036,NA,NA,0.802197802,0.571428571,10,0,NA,0,0,0,0,0,0,0,0,0,182,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.275,3.1,NA
10004100,,2016,156.44,6/21/2016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,77.93104344,NA,NA,1.465277778,0.888888889,13,0,NA,0,0,0,0,0,0,0,0,0,144,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.46,4.45,NA
40000200,Upper Sakatah,2017,899.57,4/11/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,19.6,2.178818769,77.70202865,NA,NA,0.897435897,0.692307692,2,19.6,5/1/2017,0,0,0,0,0,0,0,0,0,39,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.553333333,2.663333333,NA
27004800,Hyland,2017,83.91,4/19/2017,1,1,1.3,0.15,NA,NA,NA,83.91,0.995,11.5,31.1,37.06352044,NA,0.067666667,0.043166667,0.411290323,0.39516129,2,31.1,4/1/2017,1,0,0,0,0,0,0,0,0,124,-1.138858646,NA,0.182773968,0.56585906,-0.241335976,-0.248506019,Hyland2017,1,0,59,1.72,2.51,0.790322581
27010400,Medicine,2017,434.53,4/20/2017,1,1,1.3,0.43,0.46,0.03,NA,434.53,0.4674,47.59999847,45,10.35601685,82.52674794,0.14925,0.051833333,0.697802198,0.516483516,4,45,4/1/2017,1,0,0,0,0,0,0,0,0,182,-1.138858646,-1.07264261,-0.11846152,0.360164834,-0.239288674,-0.248080904,Medicine2017,1,0,88,1.48,2.32,2.065934066
86026400,,2017,58.31,4/22/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,8.6,14.74875665,NA,NA,NA,0.018867925,0.018867925,1,8.6,5/1/2017,0,0,0,0,0,0,0,0,0,106,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.27,2.1336,NA
27002800,NA,2017,52.63,4/23/2017,0,1,1.3,1,0.01,-0.99,NA,52.63,NA,6.5,0,0,NA,NA,NA,0.16,0.104,2,7.4,5/1/2017,0,0,0,0,0,0,0,0,0,125,-1.138858646,NA,-1.205419574,-1.596636809,NA,NA,NA2017,0,9,25,0.614,0.5125,0.208
27002800,NA,2017,52.63,4/23/2017,1,1,1.3,1,0.01,-0.99,NA,52.63,NA,6.5,7.4,NA,NA,NA,NA,0.177419355,0.104,2,7.4,5/1/2017,1,0,0,0,0,0,0,0,0,124,-1.138858646,NA,-1.205419574,-1.596636809,NA,NA,NA2017,1,0,27,0.614,0.5125,0.208
27004500,NA,2017,22.03,4/23/2017,0,1,1.3,1,NA,NA,NA,22.03,NA,7,0,0,NA,NA,NA,0.046875,0.046875,4,3,5/1/2017,0,0,0,0,0,0,0,0,0,128,-1.138858646,NA,0.367908278,-0.300221889,NA,NA,NA2017,0,9,53,1.8675,1.71,0.1875
70009100,Cedar,2017,792.5,4/25/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,180,22.71293375,78.75289659,NA,NA,0.121693122,0.105820106,4,180,5/1/2017,0,1,0,0,0,0,0,0,0,189,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1.114285714,1.25,NA
41004300,Dead Coon,2017,2649.41,4/27/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,352.8,13.31617228,75.89668637,NA,NA,0.164556962,0.139240506,5,352.8,5/1/2017,0,0,0,0,0,0,0,0,0,79,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.3,1.6,NA
70005000,McMahon,2017,162.26,4/28/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,16.5,10.16886478,78.45547922,NA,NA,0.819444444,0.611111111,4,16.5,5/1/2017,0,0,0,1,0,0,0,0,0,72,NA,NA,NA,NA,NA,NA,NA,0,3,NA,1.3825,2.13,NA
10001300,Susan,2017,71.99,5/4/2017,1,1,1.3,0.19,0.03,-0.16,NA,71.99,0.815,17,9,12.50173635,80.205464,0.117121212,0.047166667,0.432098765,0.407407407,3,9,5/1/2017,1,0,0,0,0,0,0,0,0,81,-1.138858646,-1.234422546,-0.466765054,-0.787392423,-0.240094934,-0.248309812,Susan2017,1,0,10,1.2025,1.26,1.222222222
10000200,Riley,2017,110.08,5/10/2017,1,1,1.3,0.29,0.22,-0.07,NA,110.08,0.3718,49,20,18.16860465,81.06417037,0.05169697,0.031333333,0.778378378,0.637837838,3,20,5/1/2017,1,0,0,0,0,0,0,0,0,185,-1.138858646,-1.174575726,1.001130377,1.334505902,-0.241736729,-0.249086466,Riley2017,1,0,6,2.372,3.22,1.913513514
10000200,Riley,2017,110.08,5/10/2017,1,1,1.3,0.29,0.22,-0.07,NA,110.08,0.3718,49,20,18.16860465,81.06417037,0.05169697,0.031333333,1.036144578,0.637837838,3,20,5/1/2017,1,0,0,0,0,0,0,0,0,166,-1.138858646,-1.174575726,1.001130377,1.334505902,-0.241736729,-0.249086466,Riley2017,1,0,8,2.372,3.22,1.913513514
27004800,Hyland,2017,83.91,5/22/2017,1,1,1.3,0.15,NA,NA,NA,83.91,0.995,11.5,31.1,37.06352044,NA,0.067666667,0.043166667,0.564516129,0.5,3,31.1,4/1/2017,1,0,0,0,0,0,0,0,0,124,-1.138858646,NA,0.182773968,0.56585906,-0.241335976,-0.248506019,Hyland2017,1,0,60,1.72,2.51,1.5
27019100,Sarah,2017,373,6/1/2017,1,1,1.3,NA,0.15,NA,NA,373,0.6694,59,260,69.70509383,82.90832173,0.1,0.1,0.91160221,0.718232044,9,260,5/1/2017,1,0,0,0,0,0,0,0,0,181,-1.138858646,-1.046049145,-0.936399547,-1.215019891,-0.240524584,-0.24571824,Sarah2017,1,0,99,0.828333333,0.865,6.464088398
27010400,Medicine,2017,434.53,6/2/2017,1,1,1.3,0.43,0.46,0.03,NA,434.53,0.4674,47.59999847,45,10.35601685,82.52674794,0.14925,0.051833333,0.907608696,0.60326087,9,45,4/1/2017,1,0,0,0,0,0,0,0,0,184,-1.138858646,-1.07264261,-0.11846152,0.360164834,-0.239288674,-0.248080904,Medicine2017,1,0,89,1.48,2.32,5.429347826
27007000,,2017,110.62,6/9/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,9.5,8.587958778,79.74490327,NA,NA,0.690607735,0.53038674,7,9.5,5/1/2017,1,0,0,0,0,0,0,0,0,181,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1.86,2.566666667,NA
27002800,NA,2017,52.63,6/10/2017,0,1,1.3,1,0.01,-0.99,NA,52.63,NA,6.5,0,0,NA,NA,NA,0.16,0.161290323,2,7.4,5/1/2017,0,0,0,0,0,0,0,0,0,125,-1.138858646,NA,-1.205419574,-1.596636809,NA,NA,NA2017,0,9,26,0.614,0.5125,0.322580645
27002800,NA,2017,52.63,6/10/2017,1,1,1.3,1,0.01,-0.99,NA,52.63,NA,6.5,7.4,NA,NA,NA,NA,0.177419355,0.161290323,2,7.4,5/1/2017,1,0,0,0,0,0,0,0,0,124,-1.138858646,NA,-1.205419574,-1.596636809,NA,NA,NA2017,1,0,28,0.614,0.5125,0.322580645
10001300,Susan,2017,71.99,6/12/2017,1,1,1.3,0.19,0.03,-0.16,NA,71.99,0.815,17,9,12.50173635,80.205464,0.117121212,0.047166667,0.571428571,0.494505495,5,9,5/1/2017,1,0,0,0,0,0,0,0,0,91,-1.138858646,-1.234422546,-0.466765054,-0.787392423,-0.240094934,-0.248309812,Susan2017,1,0,11,1.2025,1.26,2.472527473
71001300,Orono,2017,246.64,6/12/2017,1,1,1.3,NA,0.32,NA,NA,246.64,0.9907,17,4.3,1.743431722,82.26014926,0.073,0.072,0.5,0.299019608,11,4.3,5/1/2017,1,0,0,0,0,0,0,0,0,204,-1.138858646,-1.091222981,-0.074531345,-0.137831711,-0.241202138,-0.247091692,Orono2017,1,0,125,1.515,1.86,3.289215686
10004100,,2017,156.44,6/14/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,80.62895635,NA,NA,1.253968254,0.777777778,11,0,NA,0,0,0,0,0,0,0,0,0,126,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.616666667,4.816666667,NA
10000200,Riley,2017,110.08,6/15/2017,1,1,1.3,0.29,0.22,-0.07,NA,110.08,0.3718,49,20,18.16860465,81.06417037,0.05169697,0.031333333,0.778378378,0.837349398,3,20,5/1/2017,1,0,0,0,0,0,0,0,0,185,-1.138858646,-1.174575726,1.001130377,1.334505902,-0.241736729,-0.249086466,Riley2017,1,0,7,2.372,3.22,2.512048193
10000200,Riley,2017,110.08,6/15/2017,1,1,1.3,0.29,0.22,-0.07,NA,110.08,0.3718,49,20,18.16860465,81.06417037,0.05169697,0.031333333,1.036144578,0.837349398,3,20,5/1/2017,1,0,0,0,0,0,0,0,0,166,-1.138858646,-1.174575726,1.001130377,1.334505902,-0.241736729,-0.249086466,Riley2017,1,0,9,2.372,3.22,2.512048193
27007800,Staring,2017,156.22,6/20/2017,1,1,1.3,NA,0.22,NA,NA,156.22,0.9505,16,40,25.60491614,NA,0.064227273,0.0593,0.852272727,0.494318182,4,40,5/1/2017,1,0,0,0,0,0,0,0,0,176,-1.138858646,NA,-0.625541259,-0.679132304,-0.241422286,-0.24771465,Staring2017,1,0,71,1.076,1.36,1.977272727
73003700,,2017,558.63,6/26/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,31,5.549290228,85.46260145,NA,NA,1.015584416,0.735064935,15,31,5/1/2017,1,0,0,0,0,0,0,0,0,385,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2.2125,3.328571429,NA
27007800,Staring,2017,156.22,6/28/2017,1,1,1.3,NA,0.22,NA,NA,156.22,0.9505,16,40,25.60491614,NA,0.064227273,0.0593,0.786127168,0.676300578,7,40,5/1/2017,1,0,0,0,0,0,0,0,0,173,-1.138858646,NA,-0.625541259,-0.679132304,-0.241422286,-0.24771465,Staring2017,1,0,72,1.076,1.36,4.734104046
41004300,Dead Coon,2017,2649.41,6/29/2017,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,352.8,13.31617228,75.89668637,NA,NA,0.164556962,0.139240506,5,352.8,5/1/2017,1,0,0,0,0,0,0,0,0,79,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1.3,1.6,NA
27009800,Bass,2018,149.28,5/12/2018,1,3,3.1,0.5,NA,NA,NA,149.28,0.8149,31,12.3,8.239549839,112.4418243,0.161212121,0.0775,0.904255319,0.617021277,6,12.3,5/1/2018,1,1,1,0,0,0,0,0,0,94,-0.319592826,1.012263528,0.034666519,0.820270338,-0.23898849,-0.246821906,Bass2018,3,0,82,1.602,2.745,3.70212766
27002800,NA,2018,52.63,5/13/2018,0,2,3.1,0.97,NA,NA,NA,52.63,NA,6.5,0,0,NA,NA,NA,0.104,0.104,1,7.4,6/1/2018,0,1,0,0,0,0,0,0,0,125,-0.319592826,NA,-1.122579814,-0.816261788,NA,NA,NA2018,0,1,29,0.68,1.233333333,0.104
27004500,NA,2018,22.03,5/13/2018,0,2,3.1,0.93,NA,NA,NA,22.03,NA,7,0,0,NA,NA,NA,0.015625,0.015625,2,2,6/1/2018,0,1,0,0,0,0,0,0,0,128,-0.319592826,NA,-0.419697009,-0.440960043,NA,NA,NA2018,0,1,54,1.24,1.58,0.03125
27005500,NA,2018,13,5/13/2018,0,1,3.1,0.08,NA,NA,NA,13,NA,NA,0,0,111.9082892,NA,NA,0.094736842,0.084210526,2,3.2,6/1/2018,0,0,0,0,0,0,0,0,0,95,-0.319592826,0.975079247,-0.78996563,-0.787392423,NA,NA,NA2018,0,9,65,0.945,1.26,0.168421053
27010400,Medicine,2018,434.53,5/15/2018,1,2,3.1,0.29,0.14,-0.15,NA,434.53,0.4674,47.59999847,35.8,8.238786735,114.6095678,0.218181818,0.0625,0.87431694,0.590163934,7,35.8,5/1/2018,1,1,0,0,0,0,0,0,0,183,-0.319592826,1.163342591,0.549277145,1.534787121,-0.237558858,-0.247557684,Medicine2018,2,0,90,2.012,3.405,4.131147541
27004800,Hyland,2018,83.91,5/18/2018,0,1,3.1,0.01,0.06,0.05,NA,83.91,0.995,11.5,0,0,NA,0.077272727,0.065,0.177419355,0.177419355,1,NA,NA,0,1,0,0,0,0,0,0,0,124,-0.319592826,NA,-0.223893941,0.138231591,-0.241094916,-0.247435054,Hyland2018,0,1,61,1.396,2.115,0.177419355
27003400,Crystal,2018,53,5/23/2018,0,1,3.1,0.02,NA,NA,NA,53,0.6699,39,0,0,111.9989534,NA,NA,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,46,-0.319592826,0.981398012,-0.296692518,-0.013332575,NA,NA,Crystal2018,0,1,44,1.338,1.975,0
27004800,Hyland,2018,83.91,6/6/2018,0,1,3.1,0.01,0.06,0.05,NA,83.91,0.995,11.5,0,0,NA,0.077272727,0.065,0.298387097,0.233870968,5,NA,NA,0,1,0,0,0,0,0,0,0,124,-0.319592826,NA,-0.223893941,0.138231591,-0.241094916,-0.247435054,Hyland2018,0,1,62,1.396,2.115,1.169354839
71001300,Orono,2018,246.64,6/10/2018,1,2,3.1,NA,0.17,NA,NA,246.64,0.9907,17,21.91,8.883392799,114.3429691,NA,NA,0.705882353,0.37254902,10,21.91,5/1/2018,1,1,0,0,0,0,0,0,0,204,-0.319592826,1.144762219,-0.413421269,-0.560046174,NA,NA,Orono2018,2,0,126,1.245,1.47,3.725490196
41004300,,2018,2649.41,6/12/2018,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,0,0,107.9795062,NA,NA,0.113172542,0.107606679,4,0,NA,0,1,0,0,0,0,0,0,0,539,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0.916666667,2.05,NA
27019100,Sarah,2018,373,6/13/2018,1,2,3.1,NA,0.04,NA,NA,373,0.6694,59,114.5,30.69705094,114.9911416,0.12,0.2,0.79144385,0.598930481,10,114.5,5/1/2018,1,1,0,0,0,0,0,0,0,187,-0.319592826,1.189936057,0.096308226,1.330897231,-0.240022692,-0.240813056,Sarah2018,2,0,100,1.651111111,3.216666667,5.989304813
62000200,Bald Eagle,2018,589.06,6/20/2018,1,2,3.1,NA,0.38,NA,NA,589.06,0.5613,37,19.6,3.327335076,115.5346293,0.038867647,0.02275,1.413793103,0.737931034,11,19.6,5/1/2018,1,1,0,0,0,0,0,0,0,145,-0.319592826,1.227813976,0.65219927,0.890639415,-0.242058676,-0.249507494,Bald Eagle2018,2,0,112,2.094,2.81,8.117241379
10001300,Susan,2018,71.99,6/21/2018,1,2,3.1,NA,0.07,NA,NA,71.99,0.815,17,7.73,10.73760244,112.2882838,NA,NA,0.450980392,0.382352941,5,7.73,5/1/2018,1,1,0,0,0,0,0,0,0,102,-0.319592826,1.001562651,0.368535852,1.73506834,NA,NA,Susan2018,2,0,21,1.868,3.59,1.911764706
27010400,Medicine,2018,434.53,6/27/2018,1,2,3.1,0.29,0.14,-0.15,NA,434.53,0.4674,47.59999847,35.8,8.238786735,114.6095678,0.218181818,0.0625,1.404371585,0.775956284,12,35.8,5/1/2018,1,1,0,0,0,0,0,0,0,183,-0.319592826,1.163342591,0.549277145,1.534787121,-0.237558858,-0.247557684,Medicine2018,2,0,91,2.012,3.405,9.31147541
27012500,Diamond,2018,405.02,6/28/2018,1,2,3.1,NA,0.11,NA,NA,405.02,0.9992,8,60,14.81408326,NA,0.134545455,0.07,0.771428571,0.504761905,5,60,5/1/2018,1,1,0,0,0,0,0,0,0,105,-0.319592826,NA,-0.738504567,-0.489677097,-0.239657679,-0.247189795,Diamond2018,2,0,97,0.986,1.535,2.523809524
10004100,,2018,156.44,6/29/2018,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,0,0,112.7117762,NA,NA,1.564885496,0.946564885,12,0,NA,0,0,0,0,0,0,0,0,0,131,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.349090909,4.26,NA
10004100,,2018,156.44,6/29/2018,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,0,0,112.7117762,NA,NA,1.564885496,0.946564885,12,0,NA,0,0,0,0,0,0,0,0,0,131,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.349090909,4.26,NA
27003400,Crystal,2018,53,8/7/2018,0,1,3.1,0.02,NA,NA,NA,53,0.6699,39,0,0,111.9989534,NA,NA,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,46,-0.319592826,0.981398012,-0.296692518,-0.013332575,NA,NA,Crystal2018,0,1,45,1.338,1.975,0
27009800,Bass,2018,149.28,8/16/2018,1,3,3.1,0.5,NA,NA,NA,149.28,0.8149,31,12.3,8.239549839,112.4418243,0.161212121,0.0775,0.904255319,0.317307692,6,12.3,5/1/2018,1,1,1,0,0,0,0,0,0,94,-0.319592826,1.012263528,0.034666519,0.820270338,-0.23898849,-0.246821906,Bass2018,3,0,83,1.602,2.745,1.903846154
27019100,Sarah,2018,373,8/20/2018,1,2,3.1,NA,0.04,NA,NA,373,0.6694,59,114.5,30.69705094,114.9911416,0.12,0.2,0.79144385,0.673913043,10,114.5,5/1/2018,1,1,0,0,0,0,0,0,0,187,-0.319592826,1.189936057,0.096308226,1.330897231,-0.240022692,-0.240813056,Sarah2018,2,0,101,1.651111111,3.216666667,6.739130435
27010400,Medicine,2018,434.53,8/31/2018,1,2,3.1,0.29,0.14,-0.15,NA,434.53,0.4674,47.59999847,35.8,8.238786735,114.6095678,0.218181818,0.0625,1.404371585,0.74863388,12,35.8,5/1/2018,1,1,0,0,0,0,0,0,0,183,-0.319592826,1.163342591,0.549277145,1.534787121,-0.237558858,-0.247557684,Medicine2018,2,0,92,2.012,3.405,8.983606557
27010400,Medicine,2019,434.53,4/25/2019,0,3,5.5,0.26,0.5,0.24,NA,434.53,0.4674,47.59999847,0,0,102.7427606,0.14809434,0.056826087,0.657608696,0.52173913,7,49.57,5/1/2019,0,1,1,0,0,0,0,0,0,184,0.772761601,0.336295424,0.027135632,0.53879403,-0.239317675,-0.247836,Medicine2019,0,1,86,1.596,2.485,3.652173913
70002200,Cleary,2019,144.74,4/26/2019,0,1,5.5,0.81,0.84,0.03,NA,144.74,0.9902,9,0,0,99.31458848,0.08225,0.0586,0.872727273,0.76969697,3,145,5/1/2019,0,0,0,0,0,0,0,0,0,165,0.772761601,0.097371845,-0.055704127,-0.235265818,-0.240970013,-0.247748986,Cleary2019,0,9,120,1.53,1.77,2.309090909
27004800,Hyland,2019,83.91,4/30/2019,0,2,5.5,0.2,0.2,0,NA,83.91,0.995,11.5,0,0,NA,0.03175,0.03,0.288,0.24,3,19,5/1/2019,0,0,1,0,0,0,0,0,0,125,0.772761601,NA,0.968496533,0.787792303,-0.24223729,-0.249151869,Hyland2019,0,2,57,2.346,2.715,0.72
71001300,Orono,2019,246.64,5/18/2019,1,3,5.5,0.15,NA,NA,NA,246.64,0.9907,17,9.4,3.811222835,102.4761619,0.07,0.066,0.421568627,0.284313725,7,9.4,5/1/2019,1,1,1,0,0,0,0,0,0,204,0.772761601,0.317715051,0.024625336,-0.367884463,-0.241277422,-0.247386003,Orono2019,3,0,127,1.594,1.6475,1.990196078
27007800,Staring,2019,156.22,6/3/2019,0,1,5.5,NA,0.12,NA,NA,156.22,0.9505,16,0,0,NA,NA,NA,0.605714286,0.542857143,4,NA,NA,0,0,1,0,0,0,0,0,0,175,0.772761601,NA,-0.246486603,-0.343525937,NA,NA,Staring2019,0,2,75,1.378,1.67,2.171428571
27007800,Staring,2019,156.22,6/3/2019,0,1,5.5,NA,0.12,NA,NA,156.22,0.9505,16,0,0,NA,NA,NA,0.824858757,0.542857143,4,NA,NA,0,0,1,0,0,0,0,0,0,177,0.772761601,NA,-0.246486603,-0.343525937,NA,NA,Staring2019,0,2,77,1.378,1.67,2.171428571
27019100,Sarah,2019,373,6/7/2019,1,3,5.5,NA,0.15,NA,NA,373,0.6694,59,108.6,29.1152815,103.1243344,0.09,0.06,0.783783784,0.637837838,10,108.6,5/1/2019,1,1,1,0,0,0,0,0,0,185,0.772761601,0.36288889,-0.264895438,0.385425529,-0.24077553,-0.247680314,Sarah2019,3,0,102,1.363333333,2.343333333,6.378378378
27004800,Hyland,2019,83.91,6/11/2019,1,2,5.5,0.2,0.2,0,NA,83.91,0.995,11.5,19,22.64330831,NA,0.03175,0.03,0.427419355,0.258064516,6,19,5/1/2019,1,0,1,0,0,0,0,0,0,124,0.772761601,NA,0.968496533,0.787792303,-0.24223729,-0.249151869,Hyland2019,1,0,58,2.346,2.715,1.548387097
70002200,Cleary,2019,144.74,6/14/2019,1,1,5.5,0.81,0.84,0.03,NA,144.74,0.9902,9,145,100.1796324,99.31458848,0.08225,0.0586,1.351515152,0.848484848,7,145,5/1/2019,1,0,0,0,0,0,0,0,0,165,0.772761601,0.097371845,-0.055704127,-0.235265818,-0.240970013,-0.247748986,Cleary2019,1,0,121,1.53,1.77,5.939393939
27007800,Staring,2019,156.22,6/18/2019,0,1,5.5,NA,0.12,NA,NA,156.22,0.9505,16,0,0,NA,NA,NA,0.605714286,0.666666667,4,NA,NA,0,0,1,0,0,0,0,0,0,175,0.772761601,NA,-0.246486603,-0.343525937,NA,NA,Staring2019,0,2,76,1.378,1.67,2.666666667
