"","...1","...2","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","JUNPcri","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off","Snow.sc","PrevAUGSecchi.sc","Ice_off.sc","lake_year","cytrt","yutrt","foc_clp","obs","nsamp"
"19",19,19,"10000900",2025,"Minnewashta","1",9,2.64,3.048,NA,NA,337.891,0.5021,70,50.1,337.89,14.82731066,89.25334975,-1.175765706,1.52980132604974,-0.558381915,2025,8,0,NA,19,128
"20",20,20,"10001300",2017,"Susan","1",1,0.37,3.302,0.03,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,-1.130972591,-0.820034720818662,-1.181474366,2017,0,NA,0.03,20,81
"21",21,21,"10001300",2018,"Susan","1",2,0.52,7.874,0.07,NA,71.994,0.815,17,7.73,71.99,10.73760244,112.2882838,-0.324696508,-0.664759211113702,1.027943769,2018,1,0,0.07,21,102
"22",22,22,"10001300",2020,"Susan","0",2,0.65,11.938,0.25,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,0.391993343,-0.530187102702736,-0.213213394,2020,0,1,0.25,22,82
"23",23,23,"10001300",2020,"Susan","0",2,0.65,11.938,0.25,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,0.391993343,-0.530187102702736,-0.213213394,2020,0,1,0.25,23,82
"24",24,24,"10001300",2020,"Susan","0",2,0.65,11.938,0.25,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,0.391993343,-0.530187102702736,-0.213213394,2020,0,1,0.25,24,82
"25",25,25,"10001300",2022,"Susan","1",4,NA,9.652,0.26,NA,71.994,0.815,17,8.25,71.99,11.45992499,107.0793388,-0.011144699,NA,0.669224126,2022,1,0,0.26,25,110
"26",26,26,"10001300",2022,"Susan","1",4,NA,9.652,0.26,NA,71.994,0.815,17,8.25,71.99,11.45992499,107.0793388,-0.011144699,NA,0.669224126,2022,1,0,0.26,26,110
"27",27,27,"10001300",2023,"Susan","1",5,0.62,19.558,0.12,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.735786813,-0.561242204643728,0.682228596,2023,2,0,0.12,27,96
"28",28,28,"10001300",2023,"Susan","1",5,0.62,19.558,0.12,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.735786813,-0.561242204643728,0.682228596,2023,2,0,0.12,28,96
"29",29,29,"10001300",2023,"Susan","1",5,0.62,19.558,0.12,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.735786813,-0.561242204643728,0.682228596,2023,2,0,0.12,29,96
"30",32,32,"13002700",2018,"South Center","1",2,1.12,7.874,NA,NA,544.508,0.6548,105.3000031,8,544.51,1.46921085,117.4151726,-0.324696508,-0.0436571722938584,1.381012516,2018,1,0,NA,30,387
"31",33,33,"13002700",2023,"South Center","1",5,1.37,19.558,NA,NA,544.508,0.6548,105.3000031,26.84,544.51,4.929202402,112.3950646,1.735786813,0.215135343881076,1.035297344,2023,0,2,NA,31,264
"32",30,30,"13002700",2025,"South Center","1",7,0.72,3.048,0.85,NA,544.508,0.6548,105.3000031,7.01,544.51,1.287396007,92.76366302,-1.175765706,-0.457725198173754,-0.31664039,2025,2,0,0.85,32,124
"33",31,31,"13002700",2025,"South Center","1",7,0.72,3.048,0.85,NA,544.508,0.6548,105.3000031,7.01,544.51,1.287396007,92.76366302,-1.175765706,-0.457725198173754,-0.31664039,2025,2,0,0.85,33,124
"34",34,34,"13002800",2021,"South Lindstrom","0",2,1.2,11.176,NA,NA,261.419,0.4767,33.90000153,NA,261.42,NA,86.89431895,0.257613995,0.0391564328821205,-0.720839126,2021,0,2,NA,34,245
"35",35,35,"13003200",2025,"North Center","1",7,NA,3.048,0.88,NA,749.26,0.811467314,NA,7,608,1.151315789,91.48623871,-1.175765706,NA,-0.404611599,2025,2,0,0.88,35,145
"36",36,36,"18035200",2017,"Ossawinnamakee","1",1,6.83,3.302,NA,NA,259.431,0.3756,62.90000153,8,259.43,3.08368346,93.06765817,-1.130972591,5.86716389714165,-0.295705435,2017,0,NA,NA,36,316
"37",37,37,"27002800",2017,NA,"1",1,0.6,3.302,0.01,NA,NA,NA,6.5,7.4,NA,NA,NA,-1.130972591,-0.581945605937722,NA,2017,0,NA,0.01,37,125
"38",38,38,"27002800",2017,NA,"1",1,0.6,3.302,0.01,NA,NA,NA,6.5,7.4,NA,NA,NA,-1.130972591,-0.581945605937722,NA,2017,0,NA,0.01,38,125
"39",39,39,"27002800",2018,NA,"1",2,0.2,7.874,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,-0.324696508,-0.996013631817618,NA,2018,1,0,NA,39,125
"40",40,40,"27002800",2020,NA,"1",4,NA,11.938,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,0.391993343,NA,NA,2020,3,0,NA,40,125
"41",41,41,"27002800",2021,NA,"1",5,0.2,11.176,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,0.257613995,-0.996013631817618,NA,2021,4,0,NA,41,125
"42",42,42,"27002800",2022,NA,"1",6,NA,9.652,0.04,NA,NA,NA,6.5,4.6,NA,NA,NA,-0.011144699,NA,NA,2022,5,0,0.04,42,125
"43",43,43,"27002800",2022,NA,"1",6,NA,9.652,0.04,NA,NA,NA,6.5,4.6,NA,NA,NA,-0.011144699,NA,NA,2022,5,0,0.04,43,125
"44",44,44,"27002800",2023,NA,"0",6,NA,19.558,0.54,NA,NA,NA,6.5,NA,NA,NA,NA,1.735786813,NA,NA,2023,6,0,0.54,44,250
"45",45,45,"27002800",2023,NA,"0",6,NA,19.558,0.54,NA,NA,NA,6.5,NA,NA,NA,NA,1.735786813,NA,NA,2023,6,0,0.54,45,250
"46",46,46,"27002800",2023,NA,"0",6,NA,19.558,0.54,NA,NA,NA,6.5,NA,NA,NA,NA,1.735786813,NA,NA,2023,6,0,0.54,46,250
"47",47,47,"27002800",2024,NA,"1",7,NA,1.524,0.32,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.444524401,NA,NA,2024,0,1,0.32,47,125
"48",48,48,"27002800",2024,NA,"1",7,NA,1.524,0.32,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.444524401,NA,NA,2024,0,1,0.32,48,125
"49",49,49,"27002800",2025,NA,"1",8,NA,3.048,0.06,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.175765706,NA,NA,2025,1,0,0.06,49,125
"50",50,50,"27002800",2025,NA,"1",8,NA,3.048,0.06,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.175765706,NA,NA,2025,1,0,0.06,50,125
"51",51,51,"27003400",2018,"Crystal","0",1,0.4,7.874,NA,NA,79.12,0.6699,39,NA,53,NA,111.9989534,-0.324696508,-0.78897961887767,1.008018711,2018,1,0,NA,51,46
"52",52,52,"27003400",2018,"Crystal","0",1,0.4,7.874,NA,NA,79.12,0.6699,39,NA,53,NA,111.9989534,-0.324696508,-0.78897961887767,1.008018711,2018,1,0,NA,52,46
"53",53,53,"27003400",2020,"Crystal","0",2,1,11.938,0.04,NA,79.12,0.6699,39,NA,53,NA,93.97618935,0.391993343,-0.167877580057827,-0.233138451,2020,1,0,0.04,53,57
"54",54,54,"27003400",2020,"Crystal","0",2,1,11.938,0.04,NA,79.12,0.6699,39,NA,53,NA,93.97618935,0.391993343,-0.167877580057827,-0.233138451,2020,1,0,0.04,54,57
"55",55,55,"27003400",2021,"Crystal","1",3,1.01,11.176,NA,NA,79.12,0.6699,39,5.1,53,9.622641509,82.51598854,0.257613995,-0.15752587941083,-1.022357592,2021,0,1,NA,55,57
"56",56,56,"27004400",2020,NA,"1",2,0.5,11.938,NA,NA,NA,NA,NA,2.1,NA,NA,94.3985792,0.391993343,-0.685462612407696,-0.204050116,2020,1,0,NA,56,100
"57",57,57,"27004400",2023,NA,"0",4,NA,19.558,NA,NA,NA,NA,NA,NA,NA,NA,107.4012352,1.735786813,NA,0.691391873,2023,4,0,NA,57,100
"58",58,58,"27004400",2024,NA,"1",5,NA,1.524,NA,NA,NA,NA,NA,0.87,NA,NA,67.35070196,-1.444524401,NA,-2.066731477,2024,0,1,NA,58,100
"59",59,59,"27004400",2024,NA,"1",5,NA,1.524,NA,NA,NA,NA,NA,0.87,NA,NA,67.35070196,-1.444524401,NA,-2.066731477,2024,0,1,NA,59,100
"60",60,60,"27004500",2017,NA,"1",1,NA,3.302,NA,NA,NA,NA,7,3,NA,NA,NA,-1.130972591,NA,NA,2017,0,NA,NA,60,128
"61",61,61,"27004500",2018,NA,"1",2,NA,7.874,NA,NA,NA,NA,7,2,NA,NA,NA,-0.324696508,NA,NA,2018,1,0,NA,61,128
"62",62,62,"27004500",2020,NA,"1",4,0.7,11.938,NA,NA,NA,NA,7,2,NA,NA,NA,0.391993343,-0.478428599467749,NA,2020,3,0,NA,62,128
"63",63,63,"27004500",2023,NA,"1",7,NA,19.558,NA,NA,NA,NA,7,2,NA,NA,NA,1.735786813,NA,NA,2023,6,0,NA,63,128
"64",64,64,"27004500",2024,NA,"1",8,NA,1.524,NA,NA,NA,NA,7,2,NA,NA,NA,-1.444524401,NA,NA,2024,7,0,NA,64,128
"65",65,65,"27004800",2017,"Hyland","1",1,0.6,3.302,NA,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,-1.130972591,-0.581945605937722,NA,2017,0,NA,NA,65,124
"66",66,66,"27004800",2017,"Hyland","1",1,0.6,3.302,NA,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,-1.130972591,-0.581945605937722,NA,2017,0,NA,NA,66,124
"67",67,67,"27004800",2018,"Hyland","0",1,0.5,7.874,0.06,NA,83.913,0.995,11.5,NA,83.91,NA,NA,-0.324696508,-0.685462612407696,NA,2018,1,0,0.06,67,124
"68",68,68,"27004800",2018,"Hyland","0",1,0.5,7.874,0.06,NA,83.913,0.995,11.5,NA,83.91,NA,NA,-0.324696508,-0.685462612407696,NA,2018,1,0,0.06,68,124
"69",69,69,"27004800",2018,"Hyland","0",1,0.5,7.874,0.06,NA,83.913,0.995,11.5,NA,83.91,NA,NA,-0.324696508,-0.685462612407696,NA,2018,1,0,0.06,69,124
"70",70,70,"27004800",2019,"Hyland","1",2,0.58,13.97,0.2,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,0.750338268,-0.602649007231717,NA,2019,0,1,0.2,70,125
"71",71,71,"27004800",2019,"Hyland","1",2,0.58,13.97,0.2,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,0.750338268,-0.602649007231717,NA,2019,0,1,0.2,71,125
"72",72,72,"27004800",2019,"Hyland","1",2,0.58,13.97,0.2,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,0.750338268,-0.602649007231717,NA,2019,0,1,0.2,72,125
"73",73,73,"27004800",2020,"Hyland","1",3,0.7,11.938,0.42,NA,83.913,0.995,11.5,9,83.91,10.72577762,NA,0.391993343,-0.478428599467749,NA,2020,1,0,0.42,73,124
"74",74,74,"27004800",2020,"Hyland","1",3,0.7,11.938,0.42,NA,83.913,0.995,11.5,9,83.91,10.72577762,NA,0.391993343,-0.478428599467749,NA,2020,1,0,0.42,74,124
"75",75,75,"27005500",2018,NA,"1",1,0.7,7.874,NA,NA,NA,NA,NA,3.2,NA,NA,111.9082892,-0.324696508,-0.478428599467749,1.001775029,2018,0,NA,NA,75,95
"76",76,76,"27005500",2021,NA,"0",3,1.1,11.176,NA,NA,NA,NA,NA,NA,NA,NA,82.42532443,0.257613995,-0.0643605735878532,-1.028601274,2021,2,1,NA,76,95
"77",77,77,"27005500",2023,NA,"0",4,NA,19.558,NA,NA,NA,NA,NA,NA,NA,NA,106.8881813,1.735786813,NA,0.656059856,2023,1,0,NA,77,95
"78",78,78,"27005500",2024,NA,"1",5,NA,1.524,NA,NA,NA,NA,NA,3.16,NA,NA,66.83764799,-1.444524401,NA,-2.102063494,2024,0,1,NA,78,95
"79",79,79,"27005700",2023,NA,"1",1,1.5,19.558,0,NA,NA,NA,NA,5.91,NA,NA,106.4627146,1.735786813,0.349707452292042,0.626759634,2023,0,NA,0,79,55
"80",80,80,"27005700",2023,NA,"1",1,1.5,19.558,0,NA,NA,NA,NA,5.91,NA,NA,106.4627146,1.735786813,0.349707452292042,0.626759634,2023,0,NA,0,80,55
"81",81,81,"27005700",2024,NA,"0",1,NA,1.524,0.64,NA,NA,NA,NA,NA,NA,NA,66.41218133,-1.444524401,NA,-2.131363716,2024,1,0,0.64,81,55
"82",82,82,"27005700",2024,NA,"0",1,NA,1.524,0.64,NA,NA,NA,NA,NA,NA,NA,66.41218133,-1.444524401,NA,-2.131363716,2024,1,0,0.64,82,55
"83",83,83,"27007600",2018,"Red Rock","1",2,NA,7.874,NA,NA,96.611,0.9958,16,13,96.61,13.45616396,111.6702567,-0.324696508,NA,0.985382662,2018,1,0,NA,83,155
"84",84,84,"27007600",2021,"Red Rock","1",5,0.5,11.176,NA,NA,96.611,0.9958,16,13.04,96.61,13.49756754,82.18729191,0.257613995,-0.685462612407696,-1.044993641,2021,4,0,NA,84,146
"85",85,85,"27007800",2017,"Staring","1",1,0.67,3.302,0.22,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,-1.130972591,-0.509483701408741,NA,2017,0,NA,0.22,85,176
"86",86,86,"27007800",2017,"Staring","1",1,0.67,3.302,0.22,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,-1.130972591,-0.509483701408741,NA,2017,0,NA,0.22,86,176
"87",87,87,"27007800",2017,"Staring","1",1,0.67,3.302,0.22,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,-1.130972591,-0.509483701408741,NA,2017,0,NA,0.22,87,176
"88",88,88,"27007800",2018,"Staring","0",1,0.92,7.874,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA,-0.324696508,-0.250691185233806,NA,2018,1,0,NA,88,177
"89",89,89,"27007800",2019,"Staring","0",1,NA,13.97,0.12,NA,156.217,0.9505,16,NA,156.22,NA,NA,0.750338268,NA,NA,2019,0,1,0.12,89,175
"90",90,90,"27007800",2019,"Staring","0",1,NA,13.97,0.12,NA,156.217,0.9505,16,NA,156.22,NA,NA,0.750338268,NA,NA,2019,0,1,0.12,90,175
"91",91,91,"27007800",2019,"Staring","0",1,NA,13.97,0.12,NA,156.217,0.9505,16,NA,156.22,NA,NA,0.750338268,NA,NA,2019,0,1,0.12,91,175
"92",92,92,"27007800",2023,"Staring","0",1,0.55,19.558,0.2,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.735786813,-0.633704109172709,NA,2023,0,5,0.2,92,178
"93",93,93,"27007800",2023,"Staring","0",1,0.55,19.558,0.2,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.735786813,-0.633704109172709,NA,2023,0,5,0.2,93,178
"94",94,94,"27007800",2023,"Staring","0",1,0.55,19.558,0.2,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.735786813,-0.633704109172709,NA,2023,0,5,0.2,94,178
"95",95,95,"27009000",2024,"Holiday","1",1,NA,1.524,0,NA,8,1,NA,4.2,8,52.5,NA,-1.444524401,NA,NA,2024,0,NA,0,95,104
"96",96,96,"27009000",2024,"Holiday","1",1,NA,1.524,0,NA,8,1,NA,4.2,8,52.5,NA,-1.444524401,NA,NA,2024,0,NA,0,96,104
"97",97,97,"27009000",2025,"Holiday","1",2,NA,3.048,0.01,NA,8,1,NA,4.2,8,52.5,NA,-1.175765706,NA,NA,2025,1,0,0.01,97,104
"98",98,98,"27009000",2025,"Holiday","1",2,NA,3.048,0.01,NA,8,1,NA,4.2,8,52.5,NA,-1.175765706,NA,NA,2025,1,0,0.01,98,104
"99",99,99,"27009800",2018,"Bass","1",3,0.6,7.874,NA,NA,149.282,0.8149,31,12.3,149.28,8.239549839,112.4418243,-0.324696508,-0.581945605937722,1.038517501,2018,2,0,NA,99,94
"100",100,100,"27009800",2019,"Bass","1",4,0.64,13.97,NA,NA,149.282,0.8149,31,20.4,149.28,13.66559486,100.5750171,0.750338268,-0.540538803349733,0.22129697,2019,3,0,NA,100,104
"101",101,101,"27009800",2021,"Bass","1",6,0.75,11.176,NA,NA,149.282,0.8149,31,18.02,149.28,12.07127546,82.95885952,0.257613995,-0.426670096232762,-0.991858802,2021,5,0,NA,101,98
"102",102,102,"27009800",2021,"Bass","1",6,0.75,11.176,NA,NA,149.282,0.8149,31,18.02,149.28,12.07127546,82.95885952,0.257613995,-0.426670096232762,-0.991858802,2021,5,0,NA,102,98
"103",103,103,"27009800",2023,"Bass","1",8,0.95,19.558,0.02,NA,149.282,0.8149,31,18.66,149.28,12.5,107.4217164,1.735786813,-0.219636083292814,0.692802328,2023,7,0,0.02,103,93
"104",104,104,"27010300",2022,NA,"0",4,NA,9.652,0.25,NA,NA,NA,6,NA,NA,NA,105.4289821,-0.011144699,NA,0.555570526,2022,0,1,0.25,104,126
"105",105,105,"27010300",2022,NA,"0",4,NA,9.652,0.25,NA,NA,NA,6,NA,NA,NA,105.4289821,-0.011144699,NA,0.555570526,2022,0,1,0.25,105,126
"106",107,107,"27010400",2017,"Medicine","1",1,0.83,3.302,0.46,NA,434.53,0.4674,47.59999847,45,434.53,10.35601685,82.52674794,-1.130972591,-0.343856491056783,-1.021616634,2017,0,NA,0.46,106,182
"107",108,108,"27010400",2017,"Medicine","1",1,0.83,3.302,0.46,NA,434.53,0.4674,47.59999847,45,434.53,10.35601685,82.52674794,-1.130972591,-0.343856491056783,-1.021616634,2017,0,NA,0.46,107,182
"108",109,109,"27010400",2018,"Medicine","1",2,1.2,7.874,0.14,NA,434.53,0.4674,47.59999847,35.8,434.53,8.238786735,114.6095678,-0.324696508,0.0391564328821205,1.187801501,2018,1,0,0.14,108,183
"109",110,110,"27010400",2018,"Medicine","1",2,1.2,7.874,0.14,NA,434.53,0.4674,47.59999847,35.8,434.53,8.238786735,114.6095678,-0.324696508,0.0391564328821205,1.187801501,2018,1,0,0.14,109,183
"110",111,111,"27010400",2019,"Medicine","1",3,1.12,13.97,0.5,NA,434.53,0.4674,47.59999847,49.57,434.53,11.40772789,102.7427606,0.750338268,-0.0436571722938584,0.37058097,2019,2,0,0.5,110,184
"111",112,112,"27010400",2019,"Medicine","1",3,1.12,13.97,0.5,NA,434.53,0.4674,47.59999847,49.57,434.53,11.40772789,102.7427606,0.750338268,-0.0436571722938584,0.37058097,2019,2,0,0.5,111,184
"112",113,113,"27010400",2019,"Medicine","1",3,1.12,13.97,0.5,NA,434.53,0.4674,47.59999847,49.57,434.53,11.40772789,102.7427606,0.750338268,-0.0436571722938584,0.37058097,2019,2,0,0.5,112,184
"113",114,114,"27010400",2020,"Medicine","1",4,0.85,11.938,0.69,NA,434.53,0.4674,47.59999847,49.4,434.53,11.36860516,96.58680377,0.391993343,-0.323153089762788,-0.053355662,2020,3,0,0.69,113,182
"114",106,106,"27010400",2022,"Medicine","1",6,1.81,9.652,0.41,NA,434.53,0.4674,47.59999847,119.5,434.53,27.50097807,109.4006227,-0.011144699,0.670610172348961,0.829081858,2022,5,0,0.41,114,183
"115",115,115,"27012500",2018,"Diamond","1",2,0.55,7.874,0.11,NA,405.015,0.9992,8,60,405.02,14.81408326,NA,-0.324696508,-0.633704109172709,NA,2018,1,0,0.11,115,105
"116",116,116,"27012500",2018,"Diamond","1",2,0.55,7.874,0.11,NA,405.015,0.9992,8,60,405.02,14.81408326,NA,-0.324696508,-0.633704109172709,NA,2018,1,0,0.11,116,105
"117",117,117,"27012500",2019,"Diamond","1",3,0.45,13.97,0.36,NA,405.015,0.9992,8,405,405.02,99.99506197,NA,0.750338268,-0.737221115642683,NA,2019,2,0,0.36,117,105
"118",118,118,"27012500",2019,"Diamond","1",3,0.45,13.97,0.36,NA,405.015,0.9992,8,405,405.02,99.99506197,NA,0.750338268,-0.737221115642683,NA,2019,2,0,0.36,118,105
"119",119,119,"27012500",2020,"Diamond","1",4,0.65,11.938,0.51,NA,405.015,0.9992,8,405,405.02,99.99506197,NA,0.391993343,-0.530187102702736,NA,2020,3,0,0.51,119,105
"120",120,120,"27019100",2017,"Sarah","1",1,NA,3.302,0.15,NA,557.23,0.6694,59,260,373,69.70509383,82.90832173,-1.130972591,NA,-0.995339141,2017,0,NA,0.15,120,181
"121",121,121,"27019100",2017,"Sarah","1",1,NA,3.302,0.15,NA,557.23,0.6694,59,260,373,69.70509383,82.90832173,-1.130972591,NA,-0.995339141,2017,0,NA,0.15,121,181
"122",122,122,"27019100",2018,"Sarah","1",2,NA,7.874,0.04,NA,557.23,0.6694,59,114.5,373,30.69705094,114.9911416,-0.324696508,NA,1.214078993,2018,1,0,0.04,122,187
"123",123,123,"27019100",2018,"Sarah","1",2,NA,7.874,0.04,NA,557.23,0.6694,59,114.5,373,30.69705094,114.9911416,-0.324696508,NA,1.214078993,2018,1,0,0.04,123,187
"124",124,124,"27019100",2019,"Sarah","1",3,NA,13.97,0.15,NA,557.23,0.6694,59,108.6,373,29.1152815,103.1243344,0.750338268,NA,0.396858463,2019,2,0,0.15,124,185
"125",125,125,"27019100",2019,"Sarah","1",3,NA,13.97,0.15,NA,557.23,0.6694,59,108.6,373,29.1152815,103.1243344,0.750338268,NA,0.396858463,2019,2,0,0.15,125,185
"126",126,126,"27019100",2019,"Sarah","1",3,NA,13.97,0.15,NA,557.23,0.6694,59,108.6,373,29.1152815,103.1243344,0.750338268,NA,0.396858463,2019,2,0,0.15,126,185
"127",127,127,"27027500",2021,NA,"1",1,1.1,11.176,NA,NA,NA,NA,NA,1.28,NA,NA,NA,0.257613995,-0.0643605735878532,NA,2021,0,NA,NA,127,40
"128",128,128,"27027500",2023,NA,"0",1,1.37,19.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735786813,0.215135343881076,NA,2023,0,1,NA,128,40
"129",129,129,"27027500",2025,NA,"1",2,0.87,3.048,NA,NA,NA,NA,NA,3.5,NA,NA,NA,-1.175765706,-0.302449688468793,NA,2025,0,3,NA,129,40
"130",130,130,"27066900",2021,NA,"0",2,NA,11.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257613995,NA,NA,2021,1,1,NA,130,49
"131",131,131,"27066900",2023,NA,"0",3,NA,19.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735786813,NA,NA,2023,1,0,NA,131,49
"132",132,132,"27066900",2024,NA,"1",4,NA,1.524,NA,NA,NA,NA,NA,1.17,NA,NA,NA,-1.444524401,NA,NA,2024,0,1,NA,132,49
"133",133,133,"27067700",2023,NA,"0",1,NA,19.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735786813,NA,NA,2023,1,0,NA,133,25
"134",134,134,"27067700",2024,NA,"1",2,NA,1.524,NA,NA,NA,NA,NA,0.59,NA,NA,NA,-1.444524401,NA,NA,2024,0,1,NA,134,25
"135",140,140,"62000200",2018,"Bald Eagle","1",2,1.8,7.874,0.38,NA,589.063,0.5613,37,19.6,589.06,3.327335076,115.5346293,-0.324696508,0.660258471701964,1.251506868,2018,1,0,0.38,135,145
"136",135,135,"62000200",2019,"Bald Eagle","1",3,1.34,13.97,NA,NA,589.063,0.5613,37,68.82,589.06,11.68302041,103.6678221,0.750338268,0.184080241940084,0.434286338,2019,2,0,NA,136,170
"137",141,141,"62000200",2019,"Bald Eagle","1",3,1.34,13.97,NA,NA,589.063,0.5613,37,68.82,589.06,11.68302041,103.6678221,0.750338268,0.184080241940084,0.434286338,2019,2,0,NA,137,170
"138",136,136,"62000200",2020,"Bald Eagle","1",4,1.14,11.938,NA,NA,589.063,0.5613,37,72.6,589.06,12.32472074,97.51186535,0.391993343,-0.0229537709998639,0.010349706,2020,3,0,NA,138,170
