"","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","APRMAYPcri","JUNPcri","DIFF.4.6","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off"
"79","27005700",2023,NA,1,1,1.5,7.7,NA,0,NA,NA,NA,NA,NA,5.91,NA,NA,106.46271460283
"80","27005700",2023,NA,1,1,1.5,7.7,NA,0,NA,NA,NA,NA,NA,5.91,NA,NA,106.46271460283
"81","27005700",2024,NA,0,1,NA,0.6,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,66.4121813285897
"82","27005700",2024,NA,0,1,NA,0.6,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,66.4121813285897
"83","27007600",2018,"Red Rock",1,2,NA,3.1,NA,NA,NA,NA,96.611,0.9958,16,13,96.61,13.4561639581824,111.670256715966
"84","27007600",2021,"Red Rock",1,5,0.5,4.4,NA,NA,NA,NA,96.611,0.9958,16,13.04,96.61,13.4975675395922,82.1872919066836
"85","27007800",2017,"Staring",1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.6049161438996,NA
"86","27007800",2017,"Staring",1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.6049161438996,NA
"87","27007800",2017,"Staring",1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.6049161438996,NA
"88","27007800",2018,"Staring",0,1,0.92,3.1,NA,NA,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA
"89","27007800",2019,"Staring",0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA
"90","27007800",2019,"Staring",0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA
"91","27007800",2019,"Staring",0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA
"92","27007800",2023,"Staring",0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA
"93","27007800",2023,"Staring",0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA
"94","27007800",2023,"Staring",0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA
"95","27009000",2024,"Holiday",1,1,NA,0.6,NA,0,NA,NA,8,1,NA,4.2,8,52.5,NA
"96","27009000",2024,"Holiday",1,1,NA,0.6,NA,0,NA,NA,8,1,NA,4.2,8,52.5,NA
"97","27009000",2025,"Holiday",1,2,NA,1.2,NA,0.01,NA,NA,8,1,NA,4.2,8,52.5,NA
"98","27009000",2025,"Holiday",1,2,NA,1.2,NA,0.01,NA,NA,8,1,NA,4.2,8,52.5,NA
"99","27009800",2018,"Bass",1,3,0.6,3.1,0.5,NA,NA,NA,149.282,0.8149,31,12.3,149.28,8.2395498392283,112.441824324761
"100","27009800",2019,"Bass",1,4,0.64,5.5,NA,NA,NA,NA,149.282,0.8149,31,20.4,149.28,13.6655948553055,100.575017119803
"101","27009800",2021,"Bass",1,6,0.75,4.4,0.64,NA,NA,NA,149.282,0.8149,31,18.02,149.28,12.0712754555198,82.9588595154784
"102","27009800",2021,"Bass",1,6,0.75,4.4,0.64,NA,NA,NA,149.282,0.8149,31,18.02,149.28,12.0712754555198,82.9588595154784
"103","27009800",2023,"Bass",1,8,0.95,7.7,NA,0.02,NA,NA,149.282,0.8149,31,18.66,149.28,12.5,107.421716350761
"104","27010300",2022,NA,0,4,NA,3.8,NA,0.25,NA,NA,NA,NA,6,NA,NA,NA,105.428982104909
"105","27010300",2022,NA,0,4,NA,3.8,NA,0.25,NA,NA,NA,NA,6,NA,NA,NA,105.428982104909
"106","27010400",2022,"Medicine",1,6,1.81,3.8,0.54,0.41,-0.13,NA,434.53,0.4674,47.59999847,119.5,434.53,27.5009780682577,109.400622710714
"107","27010400",2017,"Medicine",1,1,0.83,1.3,0.43,0.46,0.03,NA,434.53,0.4674,47.59999847,45,434.53,10.3560168457874,82.5267479370054
"108","27010400",2017,"Medicine",1,1,0.83,1.3,0.43,0.46,0.03,NA,434.53,0.4674,47.59999847,45,434.53,10.3560168457874,82.5267479370054
"109","27010400",2018,"Medicine",1,2,1.2,3.1,0.29,0.14,-0.15,NA,434.53,0.4674,47.59999847,35.8,434.53,8.23878673509309,114.609567769936
"110","27010400",2018,"Medicine",1,2,1.2,3.1,0.29,0.14,-0.15,NA,434.53,0.4674,47.59999847,35.8,434.53,8.23878673509309,114.609567769936
"111","27010400",2019,"Medicine",1,3,1.12,5.5,0.26,0.5,0.24,NA,434.53,0.4674,47.59999847,49.57,434.53,11.407727889904,102.742760564978
"112","27010400",2019,"Medicine",1,3,1.12,5.5,0.26,0.5,0.24,NA,434.53,0.4674,47.59999847,49.57,434.53,11.407727889904,102.742760564978
"113","27010400",2019,"Medicine",1,3,1.12,5.5,0.26,0.5,0.24,NA,434.53,0.4674,47.59999847,49.57,434.53,11.407727889904,102.742760564978
"114","27010400",2020,"Medicine",1,4,0.85,4.7,NA,0.69,NA,NA,434.53,0.4674,47.59999847,49.4,434.53,11.3686051595977,96.5868037686918
"115","27012500",2018,"Diamond",1,2,0.55,3.1,NA,0.11,NA,NA,405.015,0.9992,8,60,405.02,14.8140832551479,NA
"116","27012500",2018,"Diamond",1,2,0.55,3.1,NA,0.11,NA,NA,405.015,0.9992,8,60,405.02,14.8140832551479,NA
"117","27012500",2019,"Diamond",1,3,0.45,5.5,NA,0.36,NA,NA,405.015,0.9992,8,405,405.02,99.9950619722483,NA
"118","27012500",2019,"Diamond",1,3,0.45,5.5,NA,0.36,NA,NA,405.015,0.9992,8,405,405.02,99.9950619722483,NA
"119","27012500",2020,"Diamond",1,4,0.65,4.7,NA,0.51,NA,NA,405.015,0.9992,8,405,405.02,99.9950619722483,NA
"120","27019100",2017,"Sarah",1,1,NA,1.3,NA,0.15,NA,NA,557.23,0.6694,59,260,373,69.7050938337802,82.90832173428
"121","27019100",2017,"Sarah",1,1,NA,1.3,NA,0.15,NA,NA,557.23,0.6694,59,260,373,69.7050938337802,82.90832173428
"122","27019100",2018,"Sarah",1,2,NA,3.1,NA,0.04,NA,NA,557.23,0.6694,59,114.5,373,30.6970509383378,114.991141567211
"123","27019100",2018,"Sarah",1,2,NA,3.1,NA,0.04,NA,NA,557.23,0.6694,59,114.5,373,30.6970509383378,114.991141567211
"124","27019100",2019,"Sarah",1,3,NA,5.5,NA,0.15,NA,NA,557.23,0.6694,59,108.6,373,29.1152815013405,103.124334362252
"125","27019100",2019,"Sarah",1,3,NA,5.5,NA,0.15,NA,NA,557.23,0.6694,59,108.6,373,29.1152815013405,103.124334362252
"126","27019100",2019,"Sarah",1,3,NA,5.5,NA,0.15,NA,NA,557.23,0.6694,59,108.6,373,29.1152815013405,103.124334362252
"127","27027500",2021,NA,1,1,1.1,4.4,0.22,NA,NA,NA,NA,NA,NA,1.28,NA,NA,NA
"128","27027500",2023,NA,0,1,1.37,7.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","27027500",2025,NA,1,2,0.87,1.2,0.4,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA
"130","27066900",2021,NA,0,2,NA,4.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","27066900",2023,NA,0,3,NA,7.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","27066900",2024,NA,1,4,NA,0.6,0.1,NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA
"133","27067700",2023,NA,0,1,NA,7.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","27067700",2024,NA,1,2,NA,0.6,0.16,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA
"135","62000200",2019,"Bald Eagle",1,3,1.34,5.5,NA,NA,NA,NA,589.063,0.5613,37,68.82,589.06,11.6830204053916,103.667822144683
"136","62000200",2020,"Bald Eagle",1,4,1.14,4.7,NA,NA,NA,NA,589.063,0.5613,37,72.6,589.06,12.3247207415204,97.5118653483972
"137","62000200",2021,"Bald Eagle",1,5,1.19,4.4,NA,NA,NA,NA,589.063,0.5613,37,86.89,589.06,14.750619631277,86.0516645403586
"138","62000200",2023,"Bald Eagle",1,7,1.21,7.7,NA,NA,NA,NA,589.063,0.5613,37,68.93,589.06,11.701694224697,110.514521375642
"139","62000200",2022,"Bald Eagle",1,7,1.34,3.8,NA,NA,NA,NA,589.063,0.5613,37,26.47,589.06,4.49359997283808,110.32568429042
"140","62000200",2018,"Bald Eagle",1,2,1.8,3.1,NA,0.38,NA,NA,589.063,0.5613,37,19.6,589.06,3.32733507622314,115.534629349641
"141","62000200",2019,"Bald Eagle",1,3,1.34,5.5,NA,NA,NA,NA,589.063,0.5613,37,68.82,589.06,11.6830204053916,103.667822144683
"142","62000200",2020,"Bald Eagle",1,4,1.14,4.7,NA,NA,NA,NA,589.063,0.5613,37,72.6,589.06,12.3247207415204,97.5118653483972
"143","62000600",2024,"Kohlman",1,5,0.6,0.6,NA,0.29,NA,NA,82.899,1,11.60000038,12.4,82.9,14.9577804583836,67.0891379260036
"144","62000600",2024,"Kohlman",1,5,0.6,0.6,NA,0.29,NA,NA,82.899,1,11.60000038,12.4,82.9,14.9577804583836,67.0891379260036
"145","62000600",2024,"Kohlman",1,5,0.6,0.6,NA,0.29,NA,NA,82.899,1,11.60000038,12.4,82.9,14.9577804583836,67.0891379260036
"146","62000600",2024,"Kohlman",1,5,0.6,0.6,NA,0.29,NA,NA,82.899,1,11.60000038,12.4,82.9,14.9577804583836,67.0891379260036
"147","62000600",2025,"Kohlman",1,6,0.96,1.2,NA,0.27,NA,NA,82.899,1,11.60000038,15.58,82.9,18.7937273823884,87.5082695873706
"148","62000600",2025,"Kohlman",1,6,0.96,1.2,NA,0.27,NA,NA,82.899,1,11.60000038,15.58,82.9,18.7937273823884,87.5082695873706
"149","62005500",2024,"Como",1,7,0.78,0.6,NA,0.55,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,66.6033455976321
"150","62005500",2024,"Como",1,7,0.78,0.6,NA,0.55,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,66.6033455976321
"151","62005500",2024,"Como",1,7,0.78,0.6,NA,0.55,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,66.6033455976321
"152","62005500",2025,"Como",1,8,0.6,1.2,NA,0.25,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,87.0224772589991
"153","62005500",2025,"Como",1,8,0.6,1.2,NA,0.25,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,87.0224772589991
"154","62005500",2025,"Como",1,8,0.6,1.2,NA,0.25,NA,NA,65.645,0.9775,16,71.3,65.65,108.606245239909,87.0224772589991
"155","70002200",2022,"Cleary",1,4,0.63,3.8,0.48,0.07,-0.41,NA,144.743,0.9902,9,145,144.74,100.179632444383,105.972450628875
"156","70002200",2019,"Cleary",1,1,0.55,5.5,0.81,0.84,0.0299999999999999,NA,144.743,0.9902,9,145,144.74,100.179632444383,99.3145884831384
"157","70002200",2019,"Cleary",1,1,0.55,5.5,0.81,0.84,0.0299999999999999,NA,144.743,0.9902,9,145,144.74,100.179632444383,99.3145884831384
"158","70002200",2019,"Cleary",1,1,0.55,5.5,0.81,0.84,0.0299999999999999,NA,144.743,0.9902,9,145,144.74,100.179632444383,99.3145884831384
"159","70002200",2020,"Cleary",1,2,1.55,4.7,NA,0.41,NA,NA,144.743,0.9902,9,145,144.74,100.179632444383,93.1586316868526
"160","70007200",2019,"Upper Prior",1,1,0.74,5.5,NA,NA,NA,NA,310.512,0.8132,40.29999924,14.3,310.51,4.6053267205565,101.435134997101
"161","70007200",2020,"Upper Prior",1,2,1.1,4.7,NA,NA,NA,NA,310.512,0.8132,40.29999924,17.7,310.51,5.70029950726225,95.279178200815
"162","71001300",2017,"Orono",1,1,NA,1.3,NA,0.32,NA,NA,246.642,0.9907,17,4.3,246.64,1.74343172234836,82.260149264206
"163","71001300",2017,"Orono",1,1,NA,1.3,NA,0.32,NA,NA,246.642,0.9907,17,4.3,246.64,1.74343172234836,82.260149264206
"164","71001300",2018,"Orono",1,2,NA,3.1,NA,0.17,NA,NA,246.642,0.9907,17,21.91,246.64,8.88339279922154,114.342969097137
"165","71001300",2018,"Orono",1,2,NA,3.1,NA,0.17,NA,NA,246.642,0.9907,17,21.91,246.64,8.88339279922154,114.342969097137
"166","71001300",2019,"Orono",1,3,NA,5.5,0.15,NA,NA,NA,246.642,0.9907,17,9.4,246.64,3.81122283490107,102.476161892178
"167","71001300",2020,"Orono",1,4,NA,4.7,0.28,NA,NA,NA,246.642,0.9907,17,25.5,246.64,10.3389555627635,96.3202050958923
"168","71001300",2021,"Orono",0,4,NA,4.4,0,0.22,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.8600042878538
"169","71001300",2021,"Orono",0,4,NA,4.4,0,0.22,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.8600042878538
"170","71001300",2021,"Orono",0,4,NA,4.4,0,0.22,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.8600042878538
"171","71001300",2022,"Orono",1,5,NA,3.8,0.2,NA,NA,NA,246.642,0.9907,17,30.87,246.64,12.5162179695102,109.134024037915
"172","71001300",2022,"Orono",1,6,NA,3.8,0.2,NA,NA,NA,246.642,0.9907,17,30.87,246.64,12.5162179695102,109.134024037915
"173","71001300",2023,"Orono",1,6,NA,7.7,0.19,NA,NA,NA,246.642,0.9907,17,30.87,246.64,12.5162179695102,109.322861123137
"174","71001300",2023,"Orono",1,6,NA,7.7,0.19,NA,NA,NA,246.642,0.9907,17,30.87,246.64,12.5162179695102,109.322861123137
"175","71001300",2024,"Orono",1,7,NA,0.6,NA,NA,NA,NA,246.642,0.9907,17,30.87,246.64,12.5162179695102,69.2723278488965
"176","71001300",2025,"Orono",1,8,NA,1.2,NA,NA,NA,NA,246.642,0.9907,17,31,246.64,12.5689263704184,89.6914595102635
"177","71014700",2018,"Rush",1,2,NA,3.1,NA,NA,NA,NA,160.818,1,10,10.8,160.82,6.71558263897525,115.694463458512
"178","73001400",2017,"Marie",1,1,1.18,1.3,NA,NA,NA,NA,124.967,0.8513,30,14.8,124.97,11.8428422821477,84.6776870756317
"179","73001400",2018,"Marie",1,2,0.9,3.1,NA,NA,NA,NA,124.967,0.8513,30,12.84,124.97,10.2744658718092,116.760506908562
"180","73008200",2020,"Schneider",1,2,2.44,4.7,NA,NA,NA,NA,25.135,0.462,55,1.7,25.14,6.76213206046142,100.426694061078
"181","73008200",2022,"Schneider",0,2,NA,3.8,NA,0.5,NA,NA,25.135,0.462,55,NA,25.14,NA,113.2405130031
"182","73008200",2023,"Schneider",0,2,NA,7.7,NA,NA,NA,NA,25.135,0.462,55,NA,25.14,NA,113.429350088322
"183","73008300",2020,"Great Northern",1,1,NA,4.7,NA,NA,NA,NA,185.346,0.9221,16.20000076,1.7,185.35,0.917183706501214,99.4914485428407
"184","73008600",2020,"Knaus",1,1,0.84,4.7,NA,NA,NA,NA,209.7,0.9682,16.20000076,4,209.7,1.90748688602766,99.5428491953434
"185","73008600",2022,"Knaus",1,3,NA,3.8,NA,0.34,NA,NA,209.7,0.9682,16.20000076,10.8,209.7,5.15021459227468,112.356668137366
"186","73008600",2023,"Knaus",1,4,NA,7.7,NA,NA,NA,NA,209.7,0.9682,16.20000076,6,209.7,2.86123032904149,112.545505222588
"187","73008700",2020,"Krays",1,1,0.82,4.7,NA,NA,NA,NA,86.938,0.9048,40.20000076,1.8,86.94,2.0703933747412,NA
"188","73008800",2020,"Bolfing",1,1,NA,4.7,NA,NA,NA,NA,67.37,0.6299,35,1,67.37,1.48434021077631,99.2796025563026
"189","73008800",2022,"Bolfing",1,3,NA,3.8,NA,0.22,NA,NA,67.37,0.6299,35,0.3,67.37,0.445302063232893,112.093421498325
"190","73008800",2023,"Bolfing",0,3,NA,7.7,NA,NA,NA,NA,67.37,0.6299,35,NA,67.37,NA,112.282258583547
"191","73008900",2020,"Zumwalde",1,1,0.76,4.7,NA,NA,NA,NA,118.616,0.9816,21.29999924,1.7,118.62,1.43314786713876,NA
"192","73008900",2022,"Zumwalde",0,2,NA,3.8,NA,0.86,NA,NA,118.616,0.9816,21.29999924,NA,118.62,NA,NA
"193","73013300",2020,"Cedar Island",0,1,NA,4.7,NA,NA,NA,NA,985.77,0.7659,NA,NA,755,NA,NA
"194","73013300",2022,"Cedar Island",1,3,NA,3.8,NA,0.26,NA,NA,985.77,0.7659,NA,43.7,755,5.78807947019868,NA
"195","73013300",2022,"Cedar Island",1,3,NA,3.8,NA,0.26,NA,NA,985.77,0.7659,NA,43.7,755,5.78807947019868,NA
"196","73013900",2020,"Long",1,2,0.85,4.7,NA,NA,NA,NA,331.225,0.672,34,2,331.23,0.603810041360988,100.153876678543
