Lake.ID,Year,Lake.x,Max.depth,litt.ac,Lake.area.ac,Proportion.littoral,PrevAugSecchi,PrevAugSecchi.sc,IceDuration,IceDuration.sc,IceOff,Snow,Snow.sc,foc_clp,pcri.e_foc,SURVEY_START,nsamp,perc.lit.chem,Acres_Chem,trt_date_lag0,YrsTrt,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,obs
27004400,2024,NA,NA,16,16,1,1.5,1.198955107,123,-0.603299981,,1.524,-1.613451574,0.06,0.06,4/5/2024,100,5.4375,0.87,4/25/2024,5,0,2,0,0,0,1,1,1,1,0,0,0,11
27004500,2017,NA,7,22.03,22.03,1,NA,NA,101,-2.247337996,,3.302,-1.324400012,1,1,4/23/2017,128,13.6177939,3,5/1/2017,1,0,9,0,0,0,0,0,0,0,0,0,0,12
27004500,2018,NA,7,22.03,22.03,1,NA,NA,143,0.891280033,,7.874,-0.581124568,0.93,0.9296875,5/13/2018,128,9.0785293,2,6/1/2018,2,1,1,0,0,1,0,0,0,0,0,0,0,13
27004500,2020,NA,7,22.03,22.03,1,0.7,-0.217092609,135,0.293448027,,11.938,0.079564716,0.28,0.28125,4/25/2020,128,9.0785293,2,5/1/2020,4,3,1,0,0,1,1,1,0,0,0,0,0,14
27004500,2023,NA,7,22.03,22.03,1,1,0.313925284,141,0.741822031,,19.558,1.318357122,0.45,0.4453125,5/13/2023,128,9.0785293,2,5/24/2023,7,6,1,0,0,1,1,1,1,1,1,0,0,15
27004500,2024,NA,7,22.03,22.03,1,0.99,0.296224688,123,-0.603299981,,1.524,-1.613451574,0.66,0.65625,4/5/2024,128,9.0785293,2,4/25/2024,8,7,1,0,0,1,1,1,1,1,1,1,0,16
27004800,2018,Hyland,11.5,83.91,84.33165829,0.995,0.5,-0.571104539,142,0.816551032,,7.874,-0.581124568,0.01,0.008064516,5/18/2018,124,0,0,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,17
27004800,2019,Hyland,11.5,83.91,84.33165829,0.995,0.58,-0.429499767,142,0.816551032,,13.97,0.409909357,0.2,0.2,4/30/2019,125,22.6433083,19,5/1/2019,2,0,2,0,0,0,1,0,0,0,0,0,0,18
27004800,2020,Hyland,11.5,83.91,84.33165829,0.995,0.7,-0.217092609,134,0.218719026,,11.938,0.079564716,0.15,0.14516129,4/17/2020,124,10.7257776,9,4/30/2020,3,1,1,0,0,1,0,1,0,0,0,0,0,19
27005500,2018,NA,NA,13,13,1,0.7,-0.217092609,143,0.891280033,,7.874,-0.581124568,0.08,0.084210526,5/13/2018,95,24.6153846,3.2,6/1/2018,1,0,9,0,0,0,0,0,0,0,0,0,0,20
27005500,2021,NA,NA,13,13,1,1.1,0.490931249,110,-1.57477699,,11.176,-0.044314525,0.05,0.052631579,5/2/2021,95,0,0,NA,3,3,1,0,0,1,1,1,0,0,0,0,0,21
27005500,2023,NA,NA,13,13,1,0.56,-0.46490096,142,0.816551032,,19.558,1.318357122,0.05,0.052631579,5/13/2023,95,0,0,NA,4,1,1,0,0,1,0,1,1,1,0,0,0,22
27005500,2024,NA,NA,13,13,1,1.13,0.544033038,123,-0.603299981,,1.524,-1.613451574,0.19,0.189473684,4/13/2024,95,24.3076923,3.16,4/25/2024,5,0,2,0,0,0,1,0,1,1,1,0,0,23
27007800,2023,Staring,16,156.22,164.3556023,0.9505,0.55,-0.482601556,140,0.667093031,,19.558,1.318357122,0.16,0.162921348,5/22/2023,178,0,0,NA,1,0,6,0,0,0,0,0,0,0,1,0,0,24
27009800,2021,Bass,31,149.28,183.1881212,0.8149,0.75,-0.128589627,110,-1.57477699,,11.176,-0.044314525,0.64,0.642857143,5/26/2021,98,12.0712755,18.02,6/1/2021,6,5,1,0,0,1,1,1,1,1,0,0,0,25
27010400,2019,Medicine,47.59999847,434.53,929.6747967,0.4674,1.12,0.526332442,141,0.741822031,,13.97,0.409909357,0.26,0.255434783,4/25/2019,184,11.4077279,49.57,5/1/2019,3,2,1,0,0,1,1,0,0,0,0,0,0,26
27010400,2022,Medicine,47.59999847,434.53,929.6747967,0.4674,1.81,1.747673597,131,-0.005467976,,9.652,-0.292073006,0.54,0.535519126,4/29/2022,183,27.5009781,119.5,5/16/2022,6,5,1,0,0,1,1,1,1,1,0,0,0,27
27027500,2021,NA,NA,6,6,1,1.1,0.490931249,110,-1.57477699,,11.176,-0.044314525,0.22,0.225,5/2/2021,40,21.3333333,1.28,5/14/2021,1,0,9,0,0,0,0,0,0,0,0,0,0,28
27027500,2023,NA,NA,6,6,1,1.37,0.968847353,142,0.816551032,,19.558,1.318357122,0,0,5/13/2023,40,0,0,NA,1,0,2,0,0,0,1,0,0,0,0,0,0,29
27027500,2025,NA,NA,6,6,1,0.87,0.08381753,123,-0.603299981,,3.048,-1.365693092,0.4,0.4,4/26/2025,40,58.3333333,3.5,5/2/2025,2,0,4,0,0,0,0,0,1,0,0,0,0,30
27066900,2021,NA,NA,6,6,1,NA,NA,110,-1.57477699,,11.176,-0.044314525,0,0,5/2/2021,49,0,0,NA,2,2,1,0,0,1,1,0,0,0,0,0,0,31
27066900,2023,NA,NA,6,6,1,NA,NA,142,0.816551032,,19.558,1.318357122,0,0,5/13/2023,49,0,0,NA,3,1,1,0,0,1,0,1,1,0,0,0,0,32
27066900,2024,NA,NA,6,6,1,NA,NA,124,-0.528570981,,1.524,-1.613451574,0.1,0.102040816,4/8/2024,49,19.5,1.17,4/25/2024,4,0,2,0,0,0,1,0,1,1,0,0,0,33
27067700,2023,NA,NA,4,4,1,NA,NA,142,0.816551032,,19.558,1.318357122,0,0,5/13/2023,25,0,0,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,34
27067700,2024,NA,NA,4,4,1,NA,NA,124,-0.528570981,,1.524,-1.613451574,0.16,0.16,4/8/2024,25,14.75,0.59,4/25/2024,2,0,2,0,0,0,1,0,0,0,0,0,0,35
70002200,2019,Cleary,9,144.74,146.1724904,0.9902,0.55,-0.482601556,141,0.741822031,,13.97,0.409909357,0.81,0.806060606,4/26/2019,165,100,145,5/1/2019,1,0,9,0,0,0,0,0,0,0,0,0,0,36
70002200,2022,Cleary,9,144.74,146.1724904,0.9902,0.63,-0.340996785,131,-0.005467976,,9.652,-0.292073006,0.48,0.481012658,4/11/2022,158,100,145,4/20/2022,4,3,1,0,0,1,1,1,0,0,0,0,0,37
71001300,2021,Orono,17,246.64,248.9552841,0.9907,0.6,-0.394098574,112,-1.425318989,,11.176,-0.044314525,0,0,5/15/2021,204,0,0,NA,4,4,1,0,0,1,1,1,1,0,0,0,0,38
71001300,2022,Orono,17,246.64,248.9552841,0.9907,0.5,-0.571104539,135,0.293448027,,9.652,-0.292073006,0.2,0.200980392,5/21/2022,204,12.516218,30.87,6/3/2022,5,0,2,0,0,0,1,1,1,1,0,0,0,39
71001300,2023,Orono,17,246.64,248.9552841,0.9907,0.6,-0.394098574,144,0.966009033,,19.558,1.318357122,0.19,0.18627451,5/20/2023,204,12.516218,30.87,5/25/2023,6,1,1,0,0,1,0,1,1,1,1,0,0,40
82016200,2023,Shields,25.89999962,25.53,29.53493753,0.8644,3.31,4.402763065,146,1.115467035,,19.558,1.318357122,0.55,0.55,4/25/2023,40,12.0250685,3.07,5/22/2023,5,4,1,0,0,1,1,1,1,0,0,0,0,41
40000200,2015,Upper Sakatah,NA,899.57,NA,NA,NA,NA,NA,NA,85.35279048,1.3,NA,0.842857143,0.842857143,4/13/2015,70,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
27007000,2015,,NA,110.62,NA,NA,2.325,NA,NA,NA,87.3956651,1.3,NA,0.73480663,0.73480663,4/28/2015,181,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
27007000,2015,,NA,110.62,NA,NA,2.325,NA,NA,NA,87.3956651,1.3,NA,0.682051282,0.682051282,4/29/2015,195,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
40000200,2016,Upper Sakatah,NA,899.57,NA,NA,NA,NA,NA,NA,75.00411574,2,NA,0.35483871,0.35483871,4/4/2016,31,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
27007000,2016,,NA,110.62,NA,NA,1.5,NA,NA,NA,77.04699036,2,NA,0.759562842,0.759562842,4/29/2016,183,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
40000200,2017,Upper Sakatah,NA,899.57,NA,NA,NA,NA,NA,NA,77.70202865,1.3,NA,0.794871795,0.794871795,4/11/2017,39,2.178818769,19.6,5/1/2017,NA,0,NA,1,0,0,0,0,0,0,0,0,0,NA
86026400,2017,,NA,58.31,NA,NA,0.8,NA,NA,NA,NA,1.3,NA,0.386792453,0.386792453,4/22/2017,106,14.74875665,8.6,5/1/2017,NA,0,NA,1,0,0,0,0,0,0,0,0,0,NA
70009100,2017,Cedar,NA,792.5,NA,NA,NA,NA,NA,NA,78.75289659,1.3,NA,0.465608466,0.465608466,4/25/2017,189,22.71293375,180,5/1/2017,NA,0,1,1,0,1,0,0,0,0,0,0,0,NA
41004300,2017,Dead Coon,NA,2649.41,NA,NA,NA,NA,NA,NA,75.89668637,1.3,NA,0.392405063,0.392405063,4/27/2017,79,13.31617228,352.8,5/1/2017,NA,0,NA,1,0,0,0,0,0,0,0,0,0,NA
70005000,2017,McMahon,NA,162.26,NA,NA,NA,NA,NA,NA,78.45547922,1.3,NA,0.75,0.75,4/28/2017,72,10.16886478,16.5,5/1/2017,NA,0,3,1,0,0,0,1,0,0,0,0,0,NA
27007000,2014,,NA,110.62,NA,NA,1.35,NA,NA,NA,106.3571015,9.6,NA,0.320441989,0.320441989,5/20/2014,181,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
70005000,2015,McMahon,NA,162.26,NA,NA,1.1,NA,NA,NA,86.10624105,1.3,NA,0.598425197,0.598425197,5/15/2015,127,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA
10004100,2016,,NA,156.44,NA,NA,2.433333333,NA,NA,NA,77.93104344,2,NA,0.617647059,0.617647059,5/16/2016,136,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA
70005000,2016,McMahon,NA,162.26,NA,NA,NA,NA,NA,NA,75.7575663,2,NA,0.487804878,0.487804878,5/25/2016,123,0,0,NA,NA,0,2,0,0,0,1,0,0,0,0,0,0,NA
