,Lake.ID,Year,Lake.x,Trt,YrsTrt,PrevAUGSecchi,Snow,APRMAYPcri,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,litt.ac,perc.lit.chem,Ice_off,Snow.sc,PrevAUGSecchi.sc,Ice_off.sc,lake_year,cytrt,yutrt,foc_clp,Trte,nsamp,obs
11,27002800,2022,NA,1,6,NA,9.652,0.12,NA,NA,NA,6.5,4.6,NA,NA,NA,-0.011144699,NA,NA,2022,4,0,0.12,1,125,11
12,27002800,2023,NA,0,6,NA,19.558,0.05,NA,NA,NA,6.5,NA,NA,0,NA,1.735786813,NA,NA,2023,5,0,0.05,1,250,12
13,27003400,2018,Crystal,0,1,0.4,7.874,0.02,NA,79.12,0.6699,39,NA,53,0,111.9989534,-0.324696508,-0.788979619,1.008018711,2018,0,0,0.02,1,46,13
14,27004400,2020,NA,1,2,0.5,11.938,0.71,NA,NA,NA,NA,2.1,NA,NA,94.3985792,0.391993343,-0.685462612,-0.204050116,2020,0,0,0.71,1,100,14
15,27004400,2023,NA,0,4,NA,19.558,0.01,NA,NA,NA,NA,NA,NA,0,107.4012352,1.735786813,NA,0.691391873,2023,3,0,0.01,1,100,15
16,27004400,2024,NA,1,5,NA,1.524,0.06,NA,NA,NA,NA,0.87,NA,NA,67.35070196,-1.444524401,NA,-2.066731477,2024,4,1,0.06,0,100,16
17,27004500,2017,NA,1,1,NA,3.302,1,NA,NA,NA,7,3,NA,NA,NA,-1.130972591,NA,NA,2017,0,NA,1,0,128,17
18,27004500,2018,NA,1,2,NA,7.874,0.93,NA,NA,NA,7,2,NA,NA,NA,-0.324696508,NA,NA,2018,0,0,0.93,1,128,18
19,27004500,2020,NA,1,4,0.7,11.938,0.28,NA,NA,NA,7,2,NA,NA,NA,0.391993343,-0.478428599,NA,2020,2,0,0.28,1,128,19
20,27004500,2023,NA,1,7,NA,19.558,0.45,NA,NA,NA,7,2,NA,NA,NA,1.735786813,NA,NA,2023,5,0,0.45,1,128,20
21,27004500,2024,NA,1,8,NA,1.524,0.66,NA,NA,NA,7,2,NA,NA,NA,-1.444524401,NA,NA,2024,6,0,0.66,1,128,21
22,27004800,2017,Hyland,1,1,0.6,3.302,0.15,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,-1.130972591,-0.581945606,NA,2017,0,NA,0.15,0,124,22
23,27004800,2018,Hyland,0,1,0.5,7.874,0.01,NA,83.913,0.995,11.5,NA,83.91,0,NA,-0.324696508,-0.685462612,NA,2018,0,0,0.01,1,124,23
24,27004800,2019,Hyland,1,2,0.58,13.97,0.2,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,0.750338268,-0.602649007,NA,2019,1,1,0.2,0,125,24
25,27004800,2020,Hyland,1,3,0.7,11.938,0.15,NA,83.913,0.995,11.5,9,83.91,10.72577762,NA,0.391993343,-0.478428599,NA,2020,0,0,0.15,1,124,25
26,27005500,2018,NA,1,1,0.7,7.874,0.08,NA,NA,NA,NA,3.2,NA,NA,111.9082892,-0.324696508,-0.478428599,1.001775029,2018,0,NA,0.08,0,95,26
27,27005500,2021,NA,0,3,1.1,11.176,0.05,NA,NA,NA,NA,NA,NA,0,82.42532443,0.257613995,-0.064360574,-1.028601274,2021,2,1,0.05,1,95,27
28,27005500,2023,NA,0,4,NA,19.558,0.05,NA,NA,NA,NA,NA,NA,0,106.8881813,1.735786813,NA,0.656059856,2023,0,0,0.05,1,95,28
29,27005500,2024,NA,1,5,NA,1.524,0.19,NA,NA,NA,NA,3.16,NA,NA,66.83764799,-1.444524401,NA,-2.102063494,2024,1,1,0.19,0,95,29
30,27007800,2023,Staring,0,1,0.55,19.558,0.16,NA,156.217,0.9505,16,NA,156.22,0,NA,1.735786813,-0.633704109,NA,2023,0,5,0.16,0,178,30
31,27009800,2018,Bass,1,3,0.6,7.874,0.5,NA,149.282,0.8149,31,12.3,149.28,8.239549839,112.4418243,-0.324696508,-0.581945606,1.038517501,2018,1,0,0.5,1,94,31
32,27009800,2021,Bass,1,6,0.75,11.176,0.64,NA,149.282,0.8149,31,18.02,149.28,12.07127546,82.95885952,0.257613995,-0.426670096,-0.991858802,2021,4,0,0.64,1,98,32
33,27010400,2017,Medicine,1,1,0.83,3.302,0.43,NA,434.53,0.4674,47.59999847,45,434.53,10.35601685,82.52674794,-1.130972591,-0.343856491,-1.021616634,2017,0,NA,0.43,0,182,33
34,27010400,2018,Medicine,1,2,1.2,7.874,0.29,NA,434.53,0.4674,47.59999847,35.8,434.53,8.238786735,114.6095678,-0.324696508,0.039156433,1.187801501,2018,0,0,0.29,1,183,34
35,27010400,2019,Medicine,1,3,1.12,13.97,0.26,NA,434.53,0.4674,47.59999847,49.57,434.53,11.40772789,102.7427606,0.750338268,-0.043657172,0.37058097,2019,1,0,0.26,1,184,35
36,27010400,2022,Medicine,1,6,1.81,9.652,0.54,NA,434.53,0.4674,47.59999847,119.5,434.53,27.50097807,109.4006227,-0.011144699,0.670610172,0.829081858,2022,4,0,0.54,1,183,36
37,27027500,2021,NA,1,1,1.1,11.176,0.22,NA,NA,NA,NA,1.28,NA,NA,NA,0.257613995,-0.064360574,NA,2021,0,NA,0.22,0,40,37
38,27027500,2023,NA,0,1,1.37,19.558,0,NA,NA,NA,NA,NA,NA,0,NA,1.735786813,0.215135344,NA,2023,1,1,0,0,40,38
39,27027500,2025,NA,1,2,0.87,3.048,0.4,NA,NA,NA,NA,3.5,NA,NA,NA,-1.175765706,-0.302449688,NA,2025,0,3,0.4,0,40,39
40,27066900,2021,NA,0,2,NA,11.176,0,NA,NA,NA,NA,NA,NA,0,NA,0.257613995,NA,NA,2021,1,1,0,1,49,40
41,27066900,2023,NA,0,3,NA,19.558,0,NA,NA,NA,NA,NA,NA,0,NA,1.735786813,NA,NA,2023,0,0,0,1,49,41
42,27066900,2024,NA,1,4,NA,1.524,0.1,NA,NA,NA,NA,1.17,NA,NA,NA,-1.444524401,NA,NA,2024,1,1,0.1,0,49,42
43,27067700,2023,NA,0,1,NA,19.558,0,NA,NA,NA,NA,NA,NA,0,NA,1.735786813,NA,NA,2023,0,0,0,1,25,43
44,27067700,2024,NA,1,2,NA,1.524,0.16,NA,NA,NA,NA,0.59,NA,NA,NA,-1.444524401,NA,NA,2024,1,1,0.16,0,25,44
45,70002200,2019,Cleary,1,1,0.55,13.97,0.81,NA,144.743,0.9902,9,145,144.74,100.1796324,99.31458848,0.750338268,-0.633704109,0.134496187,2019,0,NA,0.81,0,165,45
46,70002200,2022,Cleary,1,4,0.63,9.652,0.48,NA,144.743,0.9902,9,145,144.74,100.1796324,105.9724506,-0.011144699,-0.550890504,0.592997074,2022,2,0,0.48,1,158,46
47,71001300,2019,Orono,1,3,1.1,13.97,0.15,NA,246.642,0.9907,17,9.4,246.64,3.811222835,102.4761619,0.750338268,-0.064360574,0.352221364,2019,1,0,0.15,1,204,47
48,71001300,2020,Orono,1,4,1.8,11.938,0.28,NA,246.642,0.9907,17,25.5,246.64,10.33895556,96.3202051,0.391993343,0.660258472,-0.071715268,2020,2,0,0.28,1,204,48
49,71001300,2021,Orono,0,4,0.6,11.176,0,NA,246.642,0.9907,17,NA,246.64,0,84.86000429,0.257613995,-0.581945606,-0.860934408,2021,3,0,0,1,204,49
50,71001300,2022,Orono,1,5,0.5,9.652,0.2,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.134024,-0.011144699,-0.685462612,0.810722251,2022,4,1,0.2,0,204,50
51,71001300,2023,Orono,1,6,0.6,19.558,0.19,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.3228611,1.735786813,-0.581945606,0.823726722,2023,0,0,0.19,1,204,51
52,82016200,2023,Shields,1,5,NA,19.558,0.55,NA,25.527,0.8644,25.89999962,3.07,25.53,12.02506855,NA,1.735786813,NA,NA,2023,3,0,0.55,1,40,52
53,2005300,2018,Ham,0,1,2.1,7.874,NA,NA,190.45,0.8936,22,NA,190.45,0,113.8032234,-0.324696508,0.970809491,1.132271722,2018,0,0,NA,1,NA,53
54,2005300,2019,Ham,0,1,2.07,13.97,NA,NA,190.45,0.8936,22,NA,190.45,0,101.9364162,0.750338268,0.939754389,0.315051192,2019,1,1,NA,0,NA,54
55,2005300,2020,Ham,0,1,2.4,11.938,NA,NA,190.45,0.8936,22,NA,190.45,0,95.7804594,0.391993343,1.281360511,-0.10888544,2020,0,2,NA,0,NA,55
56,2008400,2017,Crooked,1,1,2.05,3.302,NA,NA,84.017,0.731,26,2.12,84.02,2.52320876,81.63437773,-1.130972591,0.919050988,-1.083070675,2017,0,NA,NA,0,NA,56
57,2008400,2018,Crooked,1,2,2.1,7.874,NA,NA,84.017,0.731,26,13.8,84.02,16.4246608,113.7171976,-0.324696508,0.970809491,1.12634746,2018,0,0,NA,1,NA,57
58,10000200,2018,Riley,1,2,1.83,7.874,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,-0.324696508,0.691313574,1.087079513,2018,0,0,NA,1,171,58
59,10000200,2022,Riley,1,5,4.5,9.652,NA,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,-0.011144699,3.455217646,0.72835987,2022,1,0,NA,1,178,59
60,10000900,2025,Minnewashta,1,9,2.64,3.048,NA,NA,337.891,0.5021,70,50.1,337.89,14.82731066,89.25334975,-1.175765706,1.529801326,-0.558381915,2025,7,0,NA,1,128,60
61,10001300,2018,Susan,1,2,0.52,7.874,NA,NA,71.994,0.815,17,7.73,71.99,10.73760244,112.2882838,-0.324696508,-0.664759211,1.027943769,2018,0,0,NA,1,102,61
62,10001300,2022,Susan,1,4,NA,9.652,NA,NA,71.994,0.815,17,8.25,71.99,11.45992499,107.0793388,-0.011144699,NA,0.669224126,2022,0,0,NA,1,110,62
63,13002700,2018,South Center,1,2,1.12,7.874,NA,NA,544.508,0.6548,105.3000031,8,544.51,1.46921085,117.4151726,-0.324696508,-0.043657172,1.381012516,2018,0,0,NA,1,387,63
64,13002700,2023,South Center,1,5,1.37,19.558,NA,NA,544.508,0.6548,105.3000031,26.84,544.51,4.929202402,112.3950646,1.735786813,0.215135344,1.035297344,2023,0,2,NA,0,264,64
65,13002700,2025,South Center,1,7,0.72,3.048,NA,NA,544.508,0.6548,105.3000031,7.01,544.51,1.287396007,92.76366302,-1.175765706,-0.457725198,-0.31664039,2025,1,0,NA,1,124,65
66,13002800,2021,South Lindstrom,0,2,1.2,11.176,NA,NA,261.419,0.4767,33.90000153,NA,261.42,0,86.89431895,0.257613995,0.039156433,-0.720839126,2021,0,2,NA,0,245,66
67,13003200,2025,North Center,1,7,NA,3.048,NA,NA,749.26,0.811467314,NA,7,608,1.151315789,91.48623871,-1.175765706,NA,-0.404611599,2025,1,0,NA,1,145,67
68,18035200,2017,Ossawinnamakee,1,1,6.83,3.302,NA,NA,259.431,0.3756,62.90000153,8,259.43,3.08368346,93.06765817,-1.130972591,5.867163897,-0.295705435,2017,0,NA,NA,0,316,68
69,27002800,2024,NA,1,7,NA,1.524,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.444524401,NA,NA,2024,6,1,NA,0,125,69
70,27002800,2025,NA,1,8,NA,3.048,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,-1.175765706,NA,NA,2025,0,0,NA,1,125,70
71,27003400,2020,Crystal,0,2,1,11.938,NA,NA,79.12,0.6699,39,NA,53,0,93.97618935,0.391993343,-0.16787758,-0.233138451,2020,0,0,NA,1,57,71
72,27003400,2021,Crystal,1,3,1.01,11.176,NA,NA,79.12,0.6699,39,5.1,53,9.622641509,82.51598854,0.257613995,-0.157525879,-1.022357592,2021,1,1,NA,0,57,72
73,27005700,2023,NA,1,1,1.5,19.558,NA,NA,NA,NA,NA,5.91,NA,NA,106.4627146,1.735786813,0.349707452,0.626759634,2023,0,NA,NA,0,55,73
74,27005700,2024,NA,0,1,NA,1.524,NA,NA,NA,NA,NA,NA,NA,0,66.41218133,-1.444524401,NA,-2.131363716,2024,0,0,NA,1,55,74
75,27007600,2018,Red Rock,1,2,NA,7.874,NA,NA,96.611,0.9958,16,13,96.61,13.45616396,111.6702567,-0.324696508,NA,0.985382662,2018,0,0,NA,1,155,75
76,27007600,2021,Red Rock,1,5,0.5,11.176,NA,NA,96.611,0.9958,16,13.04,96.61,13.49756754,82.18729191,0.257613995,-0.685462612,-1.044993641,2021,3,0,NA,1,146,76
77,27007800,2017,Staring,1,1,0.67,3.302,NA,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,-1.130972591,-0.509483701,NA,2017,0,NA,NA,0,176,77
78,27007800,2018,Staring,0,1,0.92,7.874,NA,NA,156.217,0.9505,16,NA,156.22,0,NA,-0.324696508,-0.250691185,NA,2018,0,0,NA,1,177,78
79,27007800,2019,Staring,0,1,NA,13.97,NA,NA,156.217,0.9505,16,NA,156.22,0,NA,0.750338268,NA,NA,2019,1,1,NA,0,175,79
80,27009000,2024,Holiday,1,1,NA,1.524,NA,NA,8,1,NA,4.2,8,52.5,NA,-1.444524401,NA,NA,2024,0,NA,NA,0,104,80
81,27009000,2025,Holiday,1,2,NA,3.048,NA,NA,8,1,NA,4.2,8,52.5,NA,-1.175765706,NA,NA,2025,0,0,NA,1,104,81
82,27009800,2019,Bass,1,4,0.64,13.97,NA,NA,149.282,0.8149,31,20.4,149.28,13.66559486,100.5750171,0.750338268,-0.540538803,0.22129697,2019,2,0,NA,1,104,82
83,27009800,2023,Bass,1,8,0.95,19.558,NA,NA,149.282,0.8149,31,18.66,149.28,12.5,107.4217164,1.735786813,-0.219636083,0.692802328,2023,6,0,NA,1,93,83
84,27010300,2022,NA,0,4,NA,9.652,NA,NA,NA,NA,6,NA,NA,0,105.4289821,-0.011144699,NA,0.555570526,2022,3,1,NA,0,126,84
85,27010400,2020,Medicine,1,4,0.85,11.938,NA,NA,434.53,0.4674,47.59999847,49.4,434.53,11.36860516,96.58680377,0.391993343,-0.32315309,-0.053355662,2020,2,0,NA,1,182,85
86,27012500,2018,Diamond,1,2,0.55,7.874,NA,NA,405.015,0.9992,8,60,405.02,14.81408326,NA,-0.324696508,-0.633704109,NA,2018,0,0,NA,1,105,86
87,27012500,2019,Diamond,1,3,0.45,13.97,NA,NA,405.015,0.9992,8,405,405.02,99.99506197,NA,0.750338268,-0.737221116,NA,2019,1,0,NA,1,105,87
88,27012500,2020,Diamond,1,4,0.65,11.938,NA,NA,405.015,0.9992,8,405,405.02,99.99506197,NA,0.391993343,-0.530187103,NA,2020,2,0,NA,1,105,88
89,27019100,2017,Sarah,1,1,NA,3.302,NA,NA,557.23,0.6694,59,260,373,69.70509383,82.90832173,-1.130972591,NA,-0.995339141,2017,0,NA,NA,0,181,89
90,27019100,2018,Sarah,1,2,NA,7.874,NA,NA,557.23,0.6694,59,114.5,373,30.69705094,114.9911416,-0.324696508,NA,1.214078993,2018,0,0,NA,1,187,90
91,27019100,2019,Sarah,1,3,NA,13.97,NA,NA,557.23,0.6694,59,108.6,373,29.1152815,103.1243344,0.750338268,NA,0.396858463,2019,1,0,NA,1,185,91
92,62000200,2018,Bald Eagle,1,2,1.8,7.874,NA,NA,589.063,0.5613,37,19.6,589.06,3.327335076,115.5346293,-0.324696508,0.660258472,1.251506868,2018,0,0,NA,1,145,92
93,62000200,2019,Bald Eagle,1,3,1.34,13.97,NA,NA,589.063,0.5613,37,68.82,589.06,11.68302041,103.6678221,0.750338268,0.184080242,0.434286338,2019,1,0,NA,1,170,93
94,62000200,2020,Bald Eagle,1,4,1.14,11.938,NA,NA,589.063,0.5613,37,72.6,589.06,12.32472074,97.51186535,0.391993343,-0.022953771,0.010349706,2020,2,0,NA,1,170,94
95,62000200,2021,Bald Eagle,1,5,1.19,11.176,NA,NA,589.063,0.5613,37,86.89,589.06,14.75061963,86.05166454,0.257613995,0.028804732,-0.778869435,2021,3,0,NA,1,166,95
96,62000200,2022,Bald Eagle,1,7,1.34,9.652,NA,NA,589.063,0.5613,37,26.47,589.06,4.493599973,110.3256843,-0.011144699,0.184080242,0.892787225,2022,4,0,NA,1,144,96
97,62000200,2023,Bald Eagle,1,7,1.21,19.558,NA,NA,589.063,0.5613,37,68.93,589.06,11.70169422,110.5145214,1.735786813,0.049508134,0.905791696,2023,5,0,NA,1,167,97
98,62000600,2024,Kohlman,1,5,0.6,1.524,NA,NA,82.899,1,11.60000038,12.4,82.9,14.95778046,67.08913793,-1.444524401,-0.581945606,-2.084744367,2024,3,0,NA,1,112,98
99,62000600,2025,Kohlman,1,6,0.96,3.048,NA,NA,82.899,1,11.60000038,15.58,82.9,18.79372738,87.50826959,-1.175765706,-0.209284383,-0.67855875,2025,4,0,NA,1,113,99
100,62005500,2024,Como,1,7,0.78,1.524,NA,NA,65.645,0.9775,16,71.3,65.65,108.6062452,66.6033456,-1.444524401,-0.395614994,-2.118198982,2024,0,2,NA,1,60,100
101,62005500,2025,Como,1,8,0.6,3.048,NA,NA,65.645,0.9775,16,71.3,65.65,108.6062452,87.02247726,-1.175765706,-0.581945606,-0.712013365,2025,0,0,NA,1,60,101
102,70002200,2020,Cleary,1,2,1.55,11.938,NA,NA,144.743,0.9902,9,145,144.74,100.1796324,93.15863169,0.391993343,0.401465956,-0.289440445,2020,0,0,NA,1,164,102
103,70007200,2019,Upper Prior,1,1,0.74,13.97,NA,NA,310.512,0.8132,40.29999924,14.3,310.51,4.605326721,101.435135,0.750338268,-0.437021797,0.280529919,2019,0,NA,NA,0,76,103
104,70007200,2020,Upper Prior,1,2,1.1,11.938,NA,NA,310.512,0.8132,40.29999924,17.7,310.51,5.700299507,95.2791782,0.391993343,-0.064360574,-0.143406713,2020,0,0,NA,1,86,104
105,71001300,2017,Orono,1,1,NA,3.302,NA,NA,246.642,0.9907,17,4.3,246.64,1.743431722,82.26014926,-1.130972591,NA,-1.03997624,2017,0,NA,NA,0,204,105
106,71001300,2018,Orono,1,2,NA,7.874,NA,NA,246.642,0.9907,17,21.91,246.64,8.883392799,114.3429691,-0.324696508,NA,1.169441894,2018,0,0,NA,1,204,106
107,71001300,2024,Orono,1,7,NA,1.524,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,69.27232785,-1.444524401,NA,-1.934396629,2024,1,0,NA,1,204,107
108,71001300,2025,Orono,1,8,NA,3.048,NA,NA,246.642,0.9907,17,31,246.64,12.56892637,89.69145951,-1.175765706,NA,-0.528211012,2025,2,0,NA,1,204,108
109,71014700,2018,Rush,1,2,NA,7.874,NA,NA,160.818,1,10,10.8,160.82,6.715582639,115.6944635,-0.324696508,NA,1.262514017,2018,0,0,NA,1,112,109
110,73001400,2017,Marie,1,1,1.18,3.302,NA,NA,124.967,0.8513,30,14.8,124.97,11.84284228,84.67768708,-1.130972591,0.018453032,-0.873489881,2017,0,NA,NA,0,120,110
111,73001400,2018,Marie,1,2,0.9,7.874,NA,NA,124.967,0.8513,30,12.84,124.97,10.27446587,116.7605069,-0.324696508,-0.271394587,1.335928254,2018,0,0,NA,1,120,111
112,73008200,2020,Schneider,1,2,2.44,11.938,NA,NA,25.135,0.462,55,1.7,25.14,6.76213206,100.4266941,0.391993343,1.322767313,0.211082542,2020,0,2,NA,0,25,112
113,73008200,2022,Schneider,0,2,NA,9.652,NA,NA,25.135,0.462,55,NA,25.14,0,113.240513,-0.011144699,NA,1.093520061,2022,1,1,NA,0,8,113
114,73008200,2023,Schneider,0,2,NA,19.558,NA,NA,25.135,0.462,55,NA,25.14,0,113.4293501,1.735786813,NA,1.106524532,2023,0,2,NA,0,37,114
115,73008300,2020,Great Northern,1,1,NA,11.938,NA,NA,185.346,0.9221,16.20000076,1.7,185.35,0.917183707,99.49144854,0.391993343,NA,0.146675847,2020,0,NA,NA,0,94,115
116,73008600,2020,Knaus,1,1,0.84,11.938,NA,NA,209.7,0.9682,16.20000076,4,209.7,1.907486886,99.5428492,0.391993343,-0.33350479,0.150215608,2020,0,NA,NA,0,113,116
117,73008600,2022,Knaus,1,3,NA,9.652,NA,NA,209.7,0.9682,16.20000076,10.8,209.7,5.150214592,112.3566681,-0.011144699,NA,1.032653127,2022,1,0,NA,1,83,117
118,73008600,2023,Knaus,1,4,NA,19.558,NA,NA,209.7,0.9682,16.20000076,6,209.7,2.861230329,112.5455052,1.735786813,NA,1.045657598,2023,2,0,NA,1,211,118
119,73008700,2020,Krays,1,1,0.82,11.938,NA,NA,86.938,0.9048,40.20000076,1.8,86.94,2.070393375,NA,0.391993343,-0.354208192,NA,2020,0,NA,NA,0,45,119
120,73008800,2020,Bolfing,1,1,NA,11.938,NA,NA,67.37,0.6299,35,1,67.37,1.484340211,99.27960256,0.391993343,NA,0.132086843,2020,0,NA,NA,0,40,120
121,73008800,2022,Bolfing,1,3,NA,9.652,NA,NA,67.37,0.6299,35,0.3,67.37,0.445302063,112.0934215,-0.011144699,NA,1.014524363,2022,1,0,NA,1,9,121
122,73008800,2023,Bolfing,0,3,NA,19.558,NA,NA,67.37,0.6299,35,NA,67.37,0,112.2822586,1.735786813,NA,1.027528833,2023,2,0,NA,1,65,122
123,73008900,2020,Zumwalde,1,1,0.76,11.938,NA,NA,118.616,0.9816,21.29999924,1.7,118.62,1.433147867,NA,0.391993343,-0.416318396,NA,2020,0,NA,NA,0,60,123
124,73008900,2022,Zumwalde,0,2,NA,9.652,NA,NA,118.616,0.9816,21.29999924,NA,118.62,0,NA,-0.011144699,NA,NA,2022,1,0,NA,1,78,124
125,73013300,2020,Cedar Island,0,1,NA,11.938,NA,NA,985.77,0.7659,NA,NA,755,0,NA,0.391993343,NA,NA,2020,0,2,NA,0,378,125
126,73013300,2022,Cedar Island,1,3,NA,9.652,NA,NA,985.77,0.7659,NA,43.7,755,5.78807947,NA,-0.011144699,NA,NA,2022,0,0,NA,1,384,126
127,73013900,2020,Long,1,2,0.85,11.938,NA,NA,331.225,0.672,34,2,331.23,0.603810041,100.1538767,0.391993343,-0.32315309,0.192294678,2020,0,2,NA,0,163,127
128,73015700,2020,Horseshoe,1,2,1.15,11.938,NA,NA,341.053,0.5437,57,5.4,341.05,1.583345551,100.4625085,0.391993343,-0.01260207,0.213548942,2020,0,2,NA,0,169,128
129,73015700,2022,Horseshoe,1,4,NA,9.652,NA,NA,341.053,0.5437,57,3.9,341.05,1.143527342,113.2763274,-0.011144699,NA,1.095986462,2022,1,0,NA,1,135,129
130,73015700,2023,Horseshoe,0,4,NA,19.558,NA,NA,341.053,0.5437,57,NA,341.05,0,113.4651645,1.735786813,NA,1.108990932,2023,2,0,NA,1,649,130
131,82010100,2024,DeMontreville,1,1,NA,1.524,NA,NA,142.617,0.9081,24,12,142.62,8.413967186,68.09691909,-1.444524401,NA,-2.015342426,2024,0,NA,NA,0,87,131
132,82010100,2025,DeMontreville,1,2,1.8,3.048,NA,NA,142.617,0.9081,24,21.2,142.62,14.86467536,88.51605075,-1.175765706,0.660258472,-0.609156809,2025,0,0,NA,1,74,132
133,82010300,2025,Olson,1,1,3.2,3.048,NA,NA,87.384,1,14.5,6.6,87.38,7.553215839,87.8025972,-1.175765706,2.109496562,-0.658289561,2025,0,NA,NA,0,77,133
134,86002300,2017,Beebe,1,1,0.88,3.302,NA,NA,179.487,0.5899,23.5,26.5,179.49,14.76405371,83.89081555,-1.130972591,-0.292097988,-0.927678641,2017,0,NA,NA,0,115,134
135,86002300,2022,Beebe,1,6,NA,9.652,NA,NA,179.487,0.5899,23.5,14.39,179.49,8.01715973,110.7646903,-0.011144699,NA,0.923019851,2022,4,0,NA,1,91,135
136,86023400,2018,Bass,1,2,3.69,7.874,NA,NA,95.961,0.449,34,3.1,95.96,3.230512714,117.158988,-0.324696508,2.616729894,1.363370089,2018,0,0,NA,1,86,136
137,86028200,2017,Louisa,1,1,1.2,3.302,NA,NA,129.566,0.6673,44,13.85,129.57,10.68920275,84.20953346,-1.130972591,0.039156433,-0.905729787,2017,0,NA,NA,0,120,137
138,86028200,2018,Louisa,1,2,0.9,7.874,NA,NA,129.566,0.6673,44,15.69,129.57,12.10928456,116.2923533,-0.324696508,-0.271394587,1.303688348,2018,0,0,NA,1,118,138
