DOW,year,LakeName,LK_LZACRES,month,IceDuration,IceOffEst,Snow,prev_aug_secchi,secchi,secchi.e,perc.lit.chem,Acres_chem,trt_date_lag0,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,foc_clp,native_rich,native_vegetated,survey_native_rich,SURVEY_START,nsamp
10004100,2019,,156.44,7,NA,100.844969,5.5,2.485,3.404761905,3.9,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.291338583,1.88976378,0.960629921,13,7/9/2019,127
66003800,2020,,379.03,7,NA,91.75185051,4.7,0.54,0.892,1.56,0.897026621,3.4,5/1/2020,4,0,1,1,1,1,1,0,0,0,0,0,0.047368421,0.447368421,0.236842105,9,7/29/2020,190
21007600,2022,,240.38,7,NA,117.5654041,3.8,2.5,4.726,6.37,68.22530993,164,5/1/2022,2,0,1,1,1,0,0,0,0,0,0,0,0.100671141,1.718120805,0.718120805,13,7/5/2022,149
41004300,2012,Dead Coon,2649.41,8,NA,68.31084135,0.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.001919386,0.001919386,1,8/13/2012,521
27007000,2013,,110.62,8,NA,116.8551542,3.9,1.2,1.842857143,2.52,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.02,1.706666667,0.98,10,8/20/2013,150
29025000,2014,,427.62,8,NA,120.2262044,9.6,1.25,2.593103448,2.06,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.02295082,1.632786885,0.750819672,14,8/7/2014,305
27007000,2014,,110.62,8,NA,106.3571015,9.6,1.35,3.125,4.64,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.005494505,1.307692308,0.697802198,7,8/8/2014,182
41004300,2014,Dead Coon,2649.41,8,NA,102.5088846,9.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.003831418,0.003831418,1,8/18/2014,261
41004300,2015,Dead Coon,2649.41,8,NA,83.5474482,1.3,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.007604563,0.007604563,1,8/12/2015,263
70009100,2015,Cedar,792.5,8,NA,86.40365842,1.3,0.5,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.030612245,0.459183673,0.214285714,6,8/13/2015,196
27007000,2015,,110.62,8,NA,87.3956651,1.3,2.325,2.646153846,4.75,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.818681319,0.582417582,4,8/25/2015,182
41004300,2016,Dead Coon,2649.41,8,NA,73.19877346,2,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.003802281,0.003802281,1,8/8/2016,263
70009100,2016,Cedar,792.5,8,NA,76.05498368,2,NA,NA,NA,1.062460568,8.42,5/1/2016,1,0,1,1,0,0,0,0,0,0,0,0,0.047120419,0.54973822,0.256544503,6,8/8/2016,191
27007000,2016,,110.62,8,NA,77.04699036,2,1.5,1.275,3.1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.005405405,0.664864865,0.464864865,8,8/10/2016,185
27007000,2017,,110.62,8,NA,79.74490327,1.3,0.4,1.86,2.566666667,8.587958778,9.5,5/1/2017,1,0,1,1,0,0,0,0,0,0,0,0,0,0.745945946,0.6,7,8/14/2017,185
10004100,2018,,156.44,8,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.039370079,1.464566929,0.921259843,11,8/14/2018,127
10004100,2018,,156.44,8,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.039370079,1.464566929,0.921259843,11,8/14/2018,127
10004100,2018,,156.44,8,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1.222222222,0.936507937,4,8/30/2018,63
10004100,2018,,156.44,8,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1.222222222,0.936507937,4,8/30/2018,63
21007600,2019,,240.38,8,NA,110.907542,5.5,1.2,3.6,4.35,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.03125,3.052083333,0.947916667,13,8/16/2019,96
70009100,2012,,792.5,9,NA,71.16705157,0.6,0.35,0.826666667,1.2125,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.009708738,0.262135922,0.116504854,6,9/4/2012,103
73003700,2012,,558.63,9,NA,77.87675642,0.6,0.933333333,1.206788571,1.55392,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.091863517,0.595800525,0.278215223,11,9/4/2012,381
70005000,2013,,162.26,9,NA,115.5657301,3.9,0.7,1.7875,3,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.25,0.725,0.425,3,9/23/2013,40
10004100,2015,,156.44,9,NA,88.27971818,1.3,2.08,3.353125,3.878571429,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.015306122,1.265306122,0.93877551,12,9/14/2015,196
10004100,2016,,156.44,9,NA,77.93104344,2,2.433333333,3.46,4.45,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.007246377,1.594202899,0.942028986,12,9/16/2016,138
10004100,2017,,156.44,9,NA,80.62895635,1.3,2.1,3.616666667,4.816666667,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.087591241,1.656934307,0.912408759,13,9/13/2017,137
10004100,2019,,156.44,9,NA,100.844969,5.5,2.485,3.404761905,3.9,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.031496063,1.448818898,0.929133858,12,9/13/2019,127
10004100,2019,,156.44,9,NA,100.844969,5.5,2.485,3.404761905,3.9,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.031496063,1.448818898,0.929133858,12,9/13/2019,127
