,...1,Lake.ID,Year,Lake.x,Trt,YrsTrt,PrevAUGSecchi,Snow,APRMAYPcri,JUNPcri,DIFF.4.6,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,litt.ac,perc.lit.chem,Ice_off,secchi,secchi.e,phosphorus,phosphorus.e,SURVEY_START,native_rich_mean,survey_native_rich,lag0,trt_acres_lag0,trt_date_lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,nsamp
14,12,10000200,2020,Riley,1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,4.655555556,4.266666667,0.030703704,0.048444444,5/8/2020,0.578313253,6,1,16,5/1/2020,0,1,1,0,0,0,0,0,166
15,12,10000200,2020,Riley,1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,4.655555556,4.266666667,0.030703704,0.048444444,7/2/2020,0.730769231,5,1,16,5/1/2020,0,1,1,0,0,0,0,0,182
16,12,10000200,2020,Riley,1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,4.655555556,4.266666667,0.030703704,0.048444444,8/25/2020,0.916666667,8,1,16,5/1/2020,0,1,1,0,0,0,0,0,180
19,16,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,3.856521739,4.54,0.033291667,0.023833333,5/18/2023,0.819767442,5,1,9,5/17/2023,1,1,1,0,1,1,0,0,172
20,16,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,3.856521739,4.54,0.033291667,0.023833333,6/19/2023,1.144444444,8,1,9,5/17/2023,1,1,1,0,1,1,0,0,180
21,16,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,3.856521739,4.54,0.033291667,0.023833333,8/22/2023,1.298245614,8,1,9,5/17/2023,1,1,1,0,1,1,0,0,171
9,8,10000200,2017,Riley,1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,3.330769231,4.808333333,0.05169697,0.031333333,5/10/2017,0.778378378,3,1,20,5/1/2017,0,0,0,0,0,0,0,0,185
10,8,10000200,2017,Riley,1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,3.330769231,4.808333333,0.05169697,0.031333333,6/15/2017,1.036144578,3,1,20,5/1/2017,0,0,0,0,0,0,0,0,166
11,8,10000200,2017,Riley,1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,3.330769231,4.808333333,0.05169697,0.031333333,9/6/2017,1,6,1,20,5/1/2017,0,0,0,0,0,0,0,0,175
12,10,10000200,2018,Riley,1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,2.2,NA,NA,NA,7/11/2018,1.263157895,7,1,15.7,5/1/2018,1,0,0,0,0,0,0,0,171
13,10,10000200,2018,Riley,1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,2.2,NA,NA,NA,8/22/2018,1.144508671,7,1,15.7,5/1/2018,1,0,0,0,0,0,0,0,173
22,19,10000900,2025,Minnewashta,1,9,2.64,1.2,NA,NA,NA,NA,337.891,0.5021,70,50.1,337.89,14.82731066,89.25334975,2.295555556,2.90375,NA,NA,7/10/2025,2.6796875,12,1,50.1,5/9/2025,1,1,1,1,1,1,1,1,128
23,20,10001300,2017,Susan,1,1,0.37,1.3,0.19,0.03,-0.16,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,1.699230769,2.725,0.117121212,0.047166667,5/4/2017,0.432098765,3,1,9,5/1/2017,0,0,0,0,0,0,0,0,81
24,20,10001300,2017,Susan,1,1,0.37,1.3,0.19,0.03,-0.16,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,1.699230769,2.725,0.117121212,0.047166667,6/12/2017,0.571428571,5,1,9,5/1/2017,0,0,0,0,0,0,0,0,91
25,20,10001300,2017,Susan,1,1,0.37,1.3,0.19,0.03,-0.16,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,1.699230769,2.725,0.117121212,0.047166667,8/1/2017,0.404109589,6,1,9,5/1/2017,0,0,0,0,0,0,0,0,146
33,27,10001300,2023,Susan,1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.01875,1.875,0.142583333,0.127714286,5/15/2023,0.364583333,2,1,5.35,5/17/2023,1,1,0,0,1,1,0,0,96
34,27,10001300,2023,Susan,1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.01875,1.875,0.142583333,0.127714286,6/13/2023,0.167938931,3,1,5.35,5/17/2023,1,1,0,0,1,1,0,0,131
35,27,10001300,2023,Susan,1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.01875,1.875,0.142583333,0.127714286,8/16/2023,0.261538462,7,1,5.35,5/17/2023,1,1,0,0,1,1,0,0,130
28,22,10001300,2020,Susan,0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,1.044444444,2.05,0.151692308,0.079666667,5/18/2020,0.37804878,3,0,NA,NA,0,1,1,0,0,0,0,0,82
29,22,10001300,2020,Susan,0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,1.044444444,2.05,0.151692308,0.079666667,6/18/2020,0.25862069,3,0,NA,NA,0,1,1,0,0,0,0,0,116
30,22,10001300,2020,Susan,0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.26551984,1.044444444,2.05,0.151692308,0.079666667,8/13/2020,0.382352941,3,0,NA,NA,0,1,1,0,0,0,0,0,102
31,25,10001300,2022,Susan,1,4,NA,3.8,NA,0.26,NA,NA,71.994,0.815,17,8.25,71.99,11.45992499,107.0793388,0.894444444,1.3,0.257444444,0.160111111,6/28/2022,0.418181818,6,1,8.25,5/1/2022,1,0,0,1,1,0,0,0,110
32,25,10001300,2022,Susan,1,4,NA,3.8,NA,0.26,NA,NA,71.994,0.815,17,8.25,71.99,11.45992499,107.0793388,0.894444444,1.3,0.257444444,0.160111111,8/15/2022,0.402597403,3,1,8.25,5/1/2022,1,0,0,1,1,0,0,0,77
26,21,10001300,2018,Susan,1,2,0.52,3.1,NA,0.07,NA,NA,71.994,0.815,17,7.73,71.99,10.73760244,112.2882838,NA,NA,NA,NA,6/21/2018,0.450980392,5,1,7.73,5/1/2018,1,0,0,0,0,0,0,0,102
27,21,10001300,2018,Susan,1,2,0.52,3.1,NA,0.07,NA,NA,71.994,0.815,17,7.73,71.99,10.73760244,112.2882838,NA,NA,NA,NA,8/3/2018,0.232876712,3,1,7.73,5/1/2018,1,0,0,0,0,0,0,0,146
39,33,13002700,2023,South Center,1,5,1.37,7.7,NA,NA,NA,NA,544.508,0.6548,105.3000031,26.84,544.51,4.929202402,112.3950646,1.792592593,2.627,0.059285714,0.027166667,8/1/2023,1.003787879,10,1,26.84,5/23/2023,0,0,1,1,1,1,0,0,264
36,30,13002700,2025,South Center,1,7,0.72,1.2,NA,0.85,NA,NA,544.508,0.6548,105.3000031,7.01,544.51,1.287396007,92.76366302,1.965,3.22125,0.098769231,0.04925,6/12/2025,0.532258065,10,1,7.01,5/14/2025,1,1,0,0,1,1,1,1,124
37,30,13002700,2025,South Center,1,7,0.72,1.2,NA,0.85,NA,NA,544.508,0.6548,105.3000031,7.01,544.51,1.287396007,92.76366302,1.965,3.22125,0.098769231,0.04925,8/4/2025,0.516260163,10,1,7.01,5/14/2025,1,1,0,0,1,1,1,1,246
38,32,13002700,2018,South Center,1,2,1.12,3.1,NA,NA,NA,NA,544.508,0.6548,105.3000031,8,544.51,1.46921085,117.4151726,2.496296296,4.122222222,0.143866667,0.158666667,7/9/2018,1.015503876,15,1,8,5/1/2018,1,0,0,0,0,0,0,0,387
40,34,13002800,2021,South Lindstrom,0,2,1.2,4.4,NA,NA,NA,NA,261.419,0.4767,33.90000153,NA,261.42,NA,86.89431895,2.4,4,0.026,0.015,8/11/2021,2.004081633,16,0,NA,NA,0,0,1,1,0,0,0,0,245
41,35,13003200,2025,North Center,1,7,NA,1.2,NA,0.88,NA,NA,749.26,0.811467314,NA,7,608,1.151315789,91.48623871,NA,NA,0.03,0.02,6/9/2025,0.193103448,7,1,7,5/14/2025,1,1,0,0,1,1,1,1,145
42,36,18035200,2017,Ossawinnamakee,1,1,6.83,1.3,NA,NA,NA,NA,259.431,0.3756,62.90000153,8,259.43,3.08368346,93.06765817,6.0128,5.918466667,0.0104,0.0105,7/24/2017,3.446202532,24,1,8,5/1/2017,0,0,0,0,0,0,0,0,316
43,37,27002800,2017,NA,1,1,NA,1.3,1,0.01,-0.99,NA,NA,NA,6.5,7.4,NA,NA,NA,NA,NA,NA,NA,4/23/2017,0.16,2,1,7.4,5/1/2017,0,0,0,0,0,0,0,0,125
44,37,27002800,2017,NA,1,1,NA,1.3,1,0.01,-0.99,NA,NA,NA,6.5,7.4,NA,NA,NA,NA,NA,NA,NA,6/10/2017,0.177419355,2,1,7.4,5/1/2017,0,0,0,0,0,0,0,0,124
45,39,27002800,2018,NA,1,2,NA,3.1,0.97,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,NA,NA,NA,NA,5/13/2018,0.104,1,1,7.4,6/1/2018,1,0,0,0,0,0,0,0,125
46,40,27002800,2020,NA,1,4,NA,4.7,0.37,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,0.25,0.75,0.13,0.1,4/18/2020,0.096,2,1,7.4,5/1/2020,1,1,1,0,0,0,0,0,125
47,41,27002800,2021,NA,1,5,NA,4.4,0.38,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA,NA,NA,NA,NA,4/24/2021,0.176,2,1,7.4,5/1/2021,1,1,1,1,0,0,0,0,125
48,42,27002800,2022,NA,1,6,NA,3.8,0.12,0.04,-0.08,NA,NA,NA,6.5,4.6,NA,NA,NA,NA,NA,NA,NA,5/7/2022,0.088,2,1,4.6,5/1/2022,1,1,1,1,1,0,0,0,125
49,42,27002800,2022,NA,1,6,NA,3.8,0.12,0.04,-0.08,NA,NA,NA,6.5,4.6,NA,NA,NA,NA,NA,NA,NA,6/21/2022,0.144,5,1,4.6,5/1/2022,1,1,1,1,1,0,0,0,125
50,42,27002800,2022,NA,1,6,NA,3.8,0.12,0.04,-0.08,NA,NA,NA,6.5,4.6,NA,NA,NA,NA,NA,NA,NA,8/9/2022,0.184,4,1,4.6,5/1/2022,1,1,1,1,1,0,0,0,125
51,44,27002800,2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5/13/2023,0.096,4,0,NA,NA,1,1,1,1,1,1,0,0,250
52,44,27002800,2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6/26/2023,0.152,4,0,NA,NA,1,1,1,1,1,1,0,0,125
53,44,27002800,2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,8/21/2023,0.184,4,0,NA,NA,1,1,1,1,1,1,0,0,125
54,47,27002800,2024,NA,1,7,NA,0.6,NA,0.32,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,NA,NA,NA,NA,6/12/2024,0.304,5,1,49.9,4/18/2024,0,1,1,1,1,1,1,0,125
55,47,27002800,2024,NA,1,7,NA,0.6,NA,0.32,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,NA,NA,NA,NA,8/12/2024,0.376,4,1,49.9,4/18/2024,0,1,1,1,1,1,1,0,125
56,49,27002800,2025,NA,1,8,NA,1.2,NA,0.06,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,NA,NA,NA,NA,6/10/2025,0.264,5,1,49.9,4/30/2025,1,0,1,1,1,1,1,1,125
57,49,27002800,2025,NA,1,8,NA,1.2,NA,0.06,NA,NA,NA,NA,6.5,49.9,NA,NA,NA,NA,NA,NA,NA,8/12/2025,0.24,4,1,49.9,4/30/2025,1,0,1,1,1,1,1,1,125
62,55,27003400,2021,Crystal,1,3,1.01,4.4,NA,NA,NA,NA,79.12,0.6699,39,5.1,53,9.622641509,82.51598854,0.875833333,0.913333333,0.072307692,0.0675,7/22/2021,0,0,1,5.1,5/10/2021,0,1,0,1,0,0,0,0,57
60,53,27003400,2020,Crystal,0,2,1,4.7,NA,0.04,NA,NA,79.12,0.6699,39,NA,53,NA,93.97618935,1.470666667,2.016666667,0.100045455,0.1027,6/10/2020,0,0,0,NA,NA,1,0,1,0,0,0,0,0,57
61,53,27003400,2020,Crystal,0,2,1,4.7,NA,0.04,NA,NA,79.12,0.6699,39,NA,53,NA,93.97618935,1.470666667,2.016666667,0.100045455,0.1027,9/5/2020,0,0,0,NA,NA,1,0,1,0,0,0,0,0,57
58,51,27003400,2018,Crystal,0,1,NA,3.1,0.02,NA,NA,NA,79.12,0.6699,39,NA,53,NA,111.9989534,0.6,NA,NA,NA,5/23/2018,0,0,0,NA,NA,1,0,0,0,0,0,0,0,46
59,51,27003400,2018,Crystal,0,1,NA,3.1,0.02,NA,NA,NA,79.12,0.6699,39,NA,53,NA,111.9989534,0.6,NA,NA,NA,8/7/2018,0,0,0,NA,NA,1,0,0,0,0,0,0,0,49
63,56,27004400,2020,NA,1,2,NA,4.7,0.71,NA,NA,NA,NA,NA,NA,2.1,NA,NA,94.3985792,0.633333333,0.95,0.104,0.0905,4/25/2020,0,0,1,2.1,5/1/2020,1,0,0,0,0,0,0,0,100
64,57,27004400,2023,NA,0,4,NA,7.7,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4012352,NA,NA,NA,NA,5/13/2023,0.27,2,0,NA,NA,1,1,1,1,0,0,0,0,100
65,58,27004400,2024,NA,1,5,NA,0.6,0.06,NA,NA,NA,NA,NA,NA,0.87,NA,NA,67.35070196,NA,NA,NA,NA,4/5/2024,0.96,1,1,0.87,4/25/2024,0,1,1,1,1,0,0,0,100
66,58,27004400,2024,NA,1,5,NA,0.6,0.06,NA,NA,NA,NA,NA,NA,0.87,NA,NA,67.35070196,NA,NA,NA,NA,4/8/2024,0.89,1,1,0.87,4/25/2024,0,1,1,1,1,0,0,0,100
69,62,27004500,2020,NA,1,4,NA,4.7,0.28,NA,NA,NA,NA,NA,7,2,NA,NA,NA,0.708333333,1.05,0.073833333,0.063,4/25/2020,0.0078125,1,1,2,5/1/2020,1,1,1,0,0,0,0,0,128
67,60,27004500,2017,NA,1,1,NA,1.3,1,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,4/23/2017,0.046875,4,1,3,5/1/2017,0,0,0,0,0,0,0,0,128
68,61,27004500,2018,NA,1,2,NA,3.1,0.93,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,5/13/2018,0.015625,2,1,2,6/1/2018,1,0,0,0,0,0,0,0,128
70,63,27004500,2023,NA,1,7,NA,7.7,0.45,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,5/13/2023,0,0,1,2,5/24/2023,1,1,1,1,1,1,0,0,128
71,64,27004500,2024,NA,1,8,NA,0.6,0.66,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,4/5/2024,0.0390625,2,1,2,4/25/2024,1,1,1,1,1,1,1,0,128
78,70,27004800,2019,Hyland,1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,2.033333333,2.16,0.03175,0.03,4/30/2019,0.288,3,1,19,5/1/2019,0,1,0,0,0,0,0,0,125
79,70,27004800,2019,Hyland,1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,2.033333333,2.16,0.03175,0.03,6/11/2019,0.427419355,6,1,19,5/1/2019,0,1,0,0,0,0,0,0,124
80,70,27004800,2019,Hyland,1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.64330831,NA,2.033333333,2.16,0.03175,0.03,8/15/2019,0.821138211,5,1,19,5/1/2019,0,1,0,0,0,0,0,0,123
72,65,27004800,2017,Hyland,1,1,0.6,1.3,0.15,NA,NA,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,1.341666667,1.966666667,0.067666667,0.043166667,4/19/2017,0.411290323,2,1,31.1,4/1/2017,0,0,0,0,0,0,0,0,124
73,65,27004800,2017,Hyland,1,1,0.6,1.3,0.15,NA,NA,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,1.341666667,1.966666667,0.067666667,0.043166667,5/22/2017,0.564516129,3,1,31.1,4/1/2017,0,0,0,0,0,0,0,0,124
74,65,27004800,2017,Hyland,1,1,0.6,1.3,0.15,NA,NA,NA,83.913,0.995,11.5,31.1,83.91,37.06352044,NA,1.341666667,1.966666667,0.067666667,0.043166667,8/10/2017,0.685483871,4,1,31.1,4/1/2017,0,0,0,0,0,0,0,0,124
75,67,27004800,2018,Hyland,0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA,0.997272727,1.4,0.077272727,0.065,5/18/2018,0.177419355,1,0,NA,NA,1,0,0,0,0,0,0,0,124
76,67,27004800,2018,Hyland,0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA,0.997272727,1.4,0.077272727,0.065,6/6/2018,0.298387097,5,0,NA,NA,1,0,0,0,0,0,0,0,124
77,67,27004800,2018,Hyland,0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA,0.997272727,1.4,0.077272727,0.065,8/10/2018,0.362903226,6,0,NA,NA,1,0,0,0,0,0,0,0,124
81,73,27004800,2020,Hyland,1,3,0.7,4.7,0.15,0.42,0.27,NA,83.913,0.995,11.5,9,83.91,10.72577762,NA,2.066666667,2.516666667,24.6925,20.68833333,4/17/2020,0.217741935,3,1,9,4/30/2020,1,0,1,0,0,0,0,0,124
82,73,27004800,2020,Hyland,1,3,0.7,4.7,0.15,0.42,0.27,NA,83.913,0.995,11.5,9,83.91,10.72577762,NA,2.066666667,2.516666667,24.6925,20.68833333,6/4/2020,0.754098361,6,1,9,4/30/2020,1,0,1,0,0,0,0,0,122
83,75,27005500,2018,NA,1,1,0.7,3.1,0.08,NA,NA,NA,NA,NA,NA,3.2,NA,NA,111.9082892,NA,NA,NA,NA,5/13/2018,0.094736842,2,1,3.2,6/1/2018,0,0,0,0,0,0,0,0,95
84,76,27005500,2021,NA,0,3,NA,4.4,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.42532443,NA,NA,NA,NA,5/2/2021,0.031578947,2,0,NA,NA,1,1,1,0,0,0,0,0,95
85,77,27005500,2023,NA,0,4,NA,7.7,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.8881813,NA,NA,NA,NA,5/13/2023,0.063157895,2,0,NA,NA,1,0,1,1,1,0,0,0,95
86,78,27005500,2024,NA,1,5,NA,0.6,0.19,NA,NA,NA,NA,NA,NA,3.16,NA,NA,66.83764799,NA,NA,NA,NA,4/13/2024,0.094736842,2,1,3.16,4/25/2024,0,1,0,1,1,1,0,0,95
89,81,27005700,2024,NA,0,1,NA,0.6,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,66.41218133,1.039285714,0.7,0.048,0.067,6/24/2024,1.6,7,0,NA,NA,1,0,0,0,0,0,0,0,55
90,81,27005700,2024,NA,0,1,NA,0.6,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,66.41218133,1.039285714,0.7,0.048,0.067,8/29/2024,1.759259259,6,0,NA,NA,1,0,0,0,0,0,0,0,54
87,79,27005700,2023,NA,1,1,1.5,7.7,NA,0,NA,NA,NA,NA,NA,5.91,NA,NA,106.4627146,1,NA,0.0555,NA,6/19/2023,0.345454545,4,1,5.91,5/24/2023,0,0,0,0,0,0,0,0,55
88,79,27005700,2023,NA,1,1,1.5,7.7,NA,0,NA,NA,NA,NA,NA,5.91,NA,NA,106.4627146,1,NA,0.0555,NA,8/14/2023,0.571428571,3,1,5.91,5/24/2023,0,0,0,0,0,0,0,0,56
92,84,27007600,2021,Red Rock,1,5,0.5,4.4,NA,NA,NA,NA,96.611,0.9958,16,13.04,96.61,13.49756754,82.18729191,NA,NA,NA,NA,8/30/2021,0.952054795,9,1,13.04,5/1/2021,1,1,1,1,0,0,0,0,146
91,83,27007600,2018,Red Rock,1,2,NA,3.1,NA,NA,NA,NA,96.611,0.9958,16,13,96.61,13.45616396,111.6702567,NA,NA,NA,NA,7/6/2018,1.206451613,10,1,13,5/1/2018,1,0,0,0,0,0,0,0,155
93,85,27007800,2017,Staring,1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,1.058333333,1.208333333,0.064227273,0.0593,6/20/2017,0.852272727,4,1,40,5/1/2017,0,0,0,0,0,0,0,0,176
94,85,27007800,2017,Staring,1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,1.058333333,1.208333333,0.064227273,0.0593,6/28/2017,0.786127168,7,1,40,5/1/2017,0,0,0,0,0,0,0,0,173
95,85,27007800,2017,Staring,1,1,0.67,1.3,NA,0.22,NA,NA,156.217,0.9505,16,40,156.22,25.60491614,NA,1.058333333,1.208333333,0.064227273,0.0593,8/8/2017,0.578651685,3,1,40,5/1/2017,0,0,0,0,0,0,0,0,178
100,92,27007800,2023,Staring,0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.072222222,2.2,0.171888889,0.215166667,5/22/2023,0.359550562,4,0,NA,NA,0,0,0,0,0,1,0,0,178
101,92,27007800,2023,Staring,0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.072222222,2.2,0.171888889,0.215166667,6/14/2023,0.45505618,6,0,NA,NA,0,0,0,0,0,1,0,0,178
102,92,27007800,2023,Staring,0,1,0.55,7.7,0.16,0.2,0.04,NA,156.217,0.9505,16,NA,156.22,NA,NA,1.072222222,2.2,0.171888889,0.215166667,8/23/2023,0.327683616,5,0,NA,NA,0,0,0,0,0,1,0,0,177
96,88,27007800,2018,Staring,0,1,0.92,3.1,NA,NA,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA,NA,NA,NA,NA,8/13/2018,0.593220339,3,0,NA,NA,1,0,0,0,0,0,0,0,177
97,89,27007800,2019,Staring,0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA,NA,NA,NA,NA,6/3/2019,0.605714286,4,0,NA,NA,0,1,0,0,0,0,0,0,175
98,89,27007800,2019,Staring,0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA,NA,NA,NA,NA,6/18/2019,0.824858757,4,0,NA,NA,0,1,0,0,0,0,0,0,177
99,89,27007800,2019,Staring,0,1,NA,5.5,NA,0.12,NA,NA,156.217,0.9505,16,NA,156.22,NA,NA,NA,NA,NA,NA,8/12/2019,0.779761905,7,0,NA,NA,0,1,0,0,0,0,0,0,168
103,95,27009000,2024,Holiday,1,1,NA,0.6,NA,0,NA,NA,8,1,NA,4.2,8,52.5,NA,NA,NA,NA,NA,6/12/2024,1.096153846,6,1,4.2,4/19/2024,0,0,0,0,0,0,0,0,104
104,95,27009000,2024,Holiday,1,1,NA,0.6,NA,0,NA,NA,8,1,NA,4.2,8,52.5,NA,NA,NA,NA,NA,8/12/2024,0.538461538,3,1,4.2,4/19/2024,0,0,0,0,0,0,0,0,104
105,97,27009000,2025,Holiday,1,2,NA,1.2,NA,0.01,NA,NA,8,1,NA,4.2,8,52.5,NA,NA,NA,NA,NA,6/10/2025,0.240384615,3,1,4.2,4/30/2025,1,0,0,0,0,0,0,0,104
106,97,27009000,2025,Holiday,1,2,NA,1.2,NA,0.01,NA,NA,8,1,NA,4.2,8,52.5,NA,NA,NA,NA,NA,8/12/2025,0.201923077,1,1,4.2,4/30/2025,1,0,0,0,0,0,0,0,104
