Lake.ID,Lake.x,lake_year,Year,SURVEY_START,litt.ac,Lake.area.acre,Proportion.littoral,Max.depth,Trt,YrsTrt,cytrt,yutrt,perc.lit.chem,trt_date_lag0,trt_acres_lag0,Acres_Chem,native_rich_mean,native_vegetated,survey_native_rich,nsamp,APM_permitted_acres,APM_perc_lit,secchi,secchi.sc,secchi.e,secchi.e.sc,phosphorus,phosphorus.e,phosphorus.sc,phosphorus.e.sc,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,APRMAYPcri,JUNPcri,DIFF.4.6,obs
10000200,Riley,Riley2018,2018,7/11/2018,110.08,110.08,0.3718,49,1,2,2,0,14.26235465,5/1/2018,15.7,15.7,1.263157895,0.807017544,7,171,4.06,3.69,2.2,0.311755571,4.555,1.480935744,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,14
10000200,Riley,Riley2017,2017,9/6/2017,110.08,110.08,0.3718,49,1,1,1,0,18.16860465,5/1/2017,20,20,1,0.765714286,6,175,3.98,3.62,3.330769231,1.412648117,4.808333333,1.675317143,0.05169697,0.031333333,-0.206232927,-0.208211524,1,0,0,0,0,0,0,0,0,0.29,0.22,-0.07,13
10000900,Minnewashta,Minnewashta2025,2025,7/10/2025,337.89,337.89,0.5021,70,1,9,9,0,14.82731066,5/9/2025,50.1,50.1,2.6796875,0.890625,12,128,16.49,4.88,2.295555556,0.4047864,2.90375,0.213939881,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,16
10001300,Susan,Susan2023,2023,8/16/2023,71.99,71.99,0.815,17,1,5,3,0,7.431587721,5/17/2023,5.35,5.35,0.261538462,0.176923077,7,130,7.16,9.95,1.01875,-0.838283963,1.875,-0.575414847,0.142583333,0.127714286,-0.203719932,-0.20287041,1,1,1,0,0,1,1,0,0,0.23,0.12,-0.11,18
10001300,Susan,Susan2022,2022,8/15/2022,71.99,71.99,0.815,17,1,4,2,0,11.45992499,5/1/2022,8.25,8.25,0.402597403,0.285714286,3,77,9.51,13.21,0.894444444,-0.959305173,1.3,-1.01660947,0.257444444,0.160111111,-0.200544037,-0.201075085,1,1,0,0,1,1,0,0,0,NA,0.26,NA,20
10001300,Susan,Susan2020,2020,8/13/2020,71.99,71.99,0.815,17,0,2,0,2,0,NA,NA,0,0.382352941,0.362745098,3,102,8.69,12.07,1.044444444,-0.813268406,2.05,-0.441138223,0.151692308,0.079666667,-0.20346807,-0.20553305,0,0,1,1,0,0,0,0,0,0.45,0.25,-0.2,19
10001300,Susan,Susan2018,2018,8/3/2018,71.99,71.99,0.815,17,1,2,2,0,10.73760244,5/1/2018,7.73,7.73,0.232876712,0.205479452,3,146,10.62,14.75,1.868,-0.011472472,3.59,0.740496072,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0.07,NA,21
10001300,Susan,Susan2017,2017,8/1/2017,71.99,71.99,0.815,17,1,1,1,0,12.50173635,5/1/2017,9,9,0.404109589,0.301369863,6,146,0.94,1.31,1.699230769,-0.175782556,2.725,0.0767859,0.117121212,0.047166667,-0.204423956,-0.207334093,1,0,0,0,0,0,0,0,0,0.19,0.03,-0.16,17
10004100,NA,NA,2019,9/13/2019,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.448818898,0.929133858,12,127,7.1,4.54,3.404761905,1.484685789,3.9,0.978357521,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,153
10004100,NA,NA,2019,7/9/2019,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.88976378,0.960629921,13,127,7.1,4.54,3.404761905,1.484685789,3.9,0.978357521,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,127
10004100,NA,NA,2018,8/30/2018,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.222222222,0.936507937,4,63,0,0,3.349090909,1.430485708,4.26,1.25458372,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,143
10004100,NA,NA,2018,8/14/2018,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.464566929,0.921259843,11,127,0,0,3.349090909,1.430485708,4.26,1.25458372,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,142
10004100,NA,NA,2017,9/13/2017,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.656934307,0.912408759,13,137,2.88,1.84,3.616666667,1.690991697,4.816666667,1.681711268,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,152
10004100,NA,NA,2016,9/16/2016,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.594202899,0.942028986,12,138,8.59,5.49,3.46,1.538464408,4.45,1.400369769,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,151
10004100,NA,NA,2015,9/14/2015,156.44,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.265306122,0.93877551,12,196,0,0,3.353125,1.434413212,3.878571429,0.961915486,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,150
13002700,South Center,South Center2025,2025,8/4/2025,544.51,544.51,0.6548,105.3000031,1,7,3,0,1.287396007,5/14/2025,7.01,7.01,0.516260163,0.317073171,10,246,542.11,99.56,1.965,0.082964637,3.22125,0.457556042,0.098769231,0.04925,-0.204931386,-0.207218642,1,1,1,0,0,1,1,1,1,NA,0.85,NA,23
13002700,South Center,South Center2023,2023,8/1/2023,544.51,544.51,0.6548,105.3000031,1,5,1,0,4.929202402,5/23/2023,26.84,26.84,1.003787879,0.681818182,10,264,590.89,108.52,1.792592593,-0.084887497,2.627,0.00159099,0.059285714,0.027166667,-0.2060231,-0.208442427,1,0,0,1,1,1,1,0,0,NA,NA,NA,22
13002700,South Center,South Center2018,2018,7/9/2018,544.51,544.51,0.6548,105.3000031,1,2,2,0,1.46921085,5/1/2018,8,8,1.015503876,0.607235142,15,387,542.47,99.63,2.496296296,0.600223257,4.122222222,1.14886752,0.143866667,0.158666667,-0.203684448,-0.201155131,1,1,0,0,0,0,0,0,0,NA,NA,NA,24
13002800,South Lindstrom,South Lindstrom2021,2021,8/11/2021,261.42,261.42,0.4767,33.90000153,0,2,0,3,0,NA,NA,0,2.004081633,0.759183673,16,245,4.02,1.54,2.4,0.506471259,4,1.055087021,0.026,0.015,-0.206943445,-0.209116663,0,0,0,1,1,0,0,0,0,NA,NA,NA,25
18035200,Ossawinnamakee,Ossawinnamakee2017,2017,7/24/2017,259.43,259.43,0.3756,62.90000153,1,1,1,0,3.08368346,5/1/2017,8,8,3.446202532,0.965189873,24,316,9.92,3.82,6.0128,4.023815453,5.918466667,2.527116895,0.0104,0.0105,-0.207374783,-0.209366039,1,0,0,0,0,0,0,0,0,NA,NA,NA,26
21007600,NA,NA,2022,7/5/2022,240.38,NA,NA,NA,1,NA,2,0,68.22530993,5/1/2022,164,164,1.718120805,0.718120805,13,149,3.16,1.31,4.726,2.771014715,6.37,2.873576163,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,129
21007600,NA,NA,2019,8/16/2019,240.38,NA,NA,NA,0,NA,0,NA,0,NA,0,0,3.052083333,0.947916667,13,96,7.67,3.19,3.6,1.674765389,4.35,1.323640269,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,144
27002800,NA,NA2025,2025,8/12/2025,52.63,52.63,NA,6.5,1,8,2,0,NA,4/30/2025,49.9,49.9,0.24,0.16,4,125,26.15,49.69,0.685,-1.163215768,0.9,-1.323527469,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,NA,0.06,NA,30
27002800,NA,NA2024,2024,8/12/2024,52.63,52.63,NA,6.5,1,7,1,0,NA,4/18/2024,49.9,49.9,0.376,0.304,4,125,26.07,49.53,0.917,-0.93734557,1.205,-1.089502495,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,NA,0.32,NA,29
27002800,NA,NA2023,2023,8/21/2023,52.63,52.63,NA,6.5,0,6,0,1,0,NA,NA,0,0.184,0.16,4,125,26.07,49.53,0.752,-1.097986012,0.97,-1.269816819,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,0.05,0.54,0.49,28
27002800,NA,NA2022,2022,8/9/2022,52.63,52.63,NA,6.5,1,6,6,0,NA,5/1/2022,4.6,4.6,0.184,0.16,4,125,26.11,49.61,0.567,-1.278098024,0.755,-1.434785243,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0.12,0.04,-0.08,27
27003400,Crystal,Crystal2021,2021,7/22/2021,53,53,0.6699,39,1,3,1,0,9.622641509,5/10/2021,5.1,5.1,0,0,0,57,0,0,0.875833333,-0.977424549,0.913333333,-1.313296869,0.072307692,0.0675,-0.205663044,-0.206207287,1,0,1,0,1,0,0,0,0,NA,NA,NA,31
27003400,Crystal,Crystal2020,2020,9/5/2020,53,53,0.6699,39,0,2,0,1,0,NA,NA,0,0,0,0,57,0,0,1.470666667,-0.398307639,2.016666667,-0.466714722,0.100045455,0.1027,-0.204896098,-0.204256619,0,1,0,1,0,0,0,0,0,NA,0.04,NA,32
27003400,Crystal,Crystal2018,2018,8/7/2018,53,53,0.6699,39,0,1,0,1,0,NA,NA,0,0,0,0,49,0,0,0.6,-1.245969936,1.975,-0.498685348,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0.02,NA,NA,33
27004800,Hyland,Hyland2019,2019,8/15/2019,83.91,83.91,0.995,11.5,1,2,1,0,22.64330831,5/1/2019,19,19,0.821138211,0.536585366,5,123,1.21,1.44,2.033333333,0.149492497,2.16,-0.356735773,0.03175,0.03,-0.206784458,-0.208285413,1,0,1,0,0,0,0,0,0,0.2,0.2,0,34
27004800,Hyland,Hyland2018,2018,8/10/2018,83.91,83.91,0.995,11.5,0,1,0,1,0,NA,NA,0,0.362903226,0.225806452,6,124,1.21,1.44,0.997272727,-0.859193773,1.4,-0.939879971,0.077272727,0.065,-0.205525761,-0.206345829,0,1,0,0,0,0,0,0,0,0.01,0.06,0.05,36
27004800,Hyland,Hyland2017,2017,8/10/2017,83.91,83.91,0.995,11.5,1,1,1,0,37.06352044,4/1/2017,31.1,31.1,0.685483871,0.508064516,4,124,1.21,1.44,1.341666667,-0.523899258,1.966666667,-0.505079472,0.067666667,0.043166667,-0.205791367,-0.20755576,1,0,0,0,0,0,0,0,0,0.15,NA,NA,35
27005700,NA,NA2024,2024,8/29/2024,11,11,NA,NA,0,1,0,1,0,NA,NA,0,1.759259259,0.944444444,6,54,0,0,1.039285714,-0.818290835,0.7,-1.476986468,0.048,0.067,-0.206335148,-0.206234995,0,1,0,0,0,0,0,0,0,NA,0.64,NA,37
27005700,NA,NA2023,2023,8/14/2023,11,11,NA,NA,1,1,1,0,NA,5/24/2023,5.91,5.91,0.571428571,0.5,3,56,0.03,0.27,1,-0.856538559,1.21,-1.08566602,0.0555,NA,-0.206127774,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,38
27007000,NA,NA,2017,8/14/2017,110.62,NA,NA,NA,1,NA,1,0,8.587958778,5/1/2017,9.5,9.5,0.745945946,0.6,7,185,9.5,8.59,1.86,-0.019261099,2.566666667,-0.044702474,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,141
27007000,NA,NA,2016,8/10/2016,110.62,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.664864865,0.464864865,8,185,0,0,1.275,-0.588804487,3.1,0.364521524,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,140
27007000,NA,NA,2015,8/25/2015,110.62,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.818681319,0.582417582,4,182,0,0,2.646153846,0.746121337,4.75,1.630558268,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,137
27007000,NA,NA,2014,8/8/2014,110.62,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.307692308,0.697802198,7,182,0,0,3.125,1.21231563,4.64,1.546155818,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,133
27007000,NA,NA,2013,8/20/2013,110.62,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.706666667,0.98,10,150,0,0,1.842857143,-0.035951015,2.52,-0.080509574,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,131
27007600,Red Rock,Red Rock2021,2021,8/30/2021,96.61,96.61,0.9958,16,1,5,5,0,13.49756754,5/1/2021,13.04,13.04,0.952054795,0.609589041,9,146,8.78,9.09,2.044,0.159877334,3.17,0.418232173,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,NA,NA,NA,39
27007600,Red Rock,Red Rock2018,2018,7/6/2018,96.61,96.61,0.9958,16,1,2,2,0,13.45616396,5/1/2018,13,13,1.206451613,0.84516129,10,155,2.3,2.38,1.978,0.095621157,3.8,0.901628021,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,40
27007800,Staring,Staring2023,2023,8/23/2023,156.22,156.22,0.9505,16,0,1,0,6,0,NA,NA,0,0.327683616,0.214689266,5,177,0.43,0.28,1.072222222,-0.786224561,2.2,-0.326043973,0.171888889,0.215166667,-0.202909637,-0.198024088,0,0,0,0,0,0,1,0,0,0.16,0.2,0.04,42
27007800,Staring,Staring2019,2019,8/12/2019,156.22,156.22,0.9505,16,0,1,0,2,0,NA,NA,0,0.779761905,0.68452381,7,168,0.43,0.28,1.378,-0.488525908,1.67,-0.732710322,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,0.12,NA,44
27007800,Staring,Staring2018,2018,8/13/2018,156.22,156.22,0.9505,16,0,1,0,1,0,NA,NA,0,0.593220339,0.548022599,3,177,0.77,0.49,1.102,-0.757233558,1.585,-0.797930396,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,43
27007800,Staring,Staring2017,2017,8/8/2017,156.22,156.22,0.9505,16,1,1,1,0,25.60491614,5/1/2017,40,40,0.578651685,0.426966292,3,178,0.77,0.49,1.058333333,-0.799746483,1.208333333,-1.086944845,0.064227273,0.0593,-0.205886466,-0.206661704,1,0,0,0,0,0,0,0,0,NA,0.22,NA,41
27009000,Holiday,Holiday2025,2025,8/12/2025,8,8,1,NA,1,2,2,0,52.5,4/30/2025,4.2,4.2,0.201923077,0.201923077,1,104,0,0,0.696,-1.152506405,1.12,-1.15472257,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0.01,NA,46
27009000,Holiday,Holiday2024,2024,8/12/2024,8,8,1,NA,1,1,1,0,52.5,4/19/2024,4.2,4.2,0.538461538,0.384615385,3,104,0,0,0.536,-1.308278956,0.825,-1.381074594,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,45
27009800,Bass,Bass2023,2023,8/21/2023,149.28,149.28,0.8149,31,1,8,8,0,12.5,5/24/2023,18.66,18.66,0.887640449,0.662921348,9,89,71.14,47.66,2.057222222,0.172750204,2.563636364,-0.047027611,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,NA,0.02,NA,51
27009800,Bass,Bass2023,2023,8/15/2023,149.28,149.28,0.8149,31,1,8,8,0,12.5,5/24/2023,18.66,18.66,0.92,0.56,6,100,71.14,47.66,2.057222222,0.172750204,2.563636364,-0.047027611,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,NA,0.02,NA,50
27009800,Bass,Bass2021,2021,8/17/2021,149.28,149.28,0.8149,31,1,6,6,0,12.07127546,6/1/2021,18.02,18.02,0.916666667,0.572916667,8,96,60.29,40.39,2.728554839,0.826345168,4.023093333,1.072806419,0.0295,0.037333333,-0.206846671,-0.207879024,1,1,1,1,1,1,0,0,0,0.64,NA,NA,48
27009800,Bass,Bass2019,2019,7/29/2019,149.28,149.28,0.8149,31,1,4,4,0,13.66559486,5/1/2019,20.4,20.4,0.990384615,0.625,4,104,56.16,37.62,2.46,0.564885966,2.971428571,0.265869309,0.02835,0.024125,-0.206878468,-0.208610986,1,1,1,1,0,0,0,0,0,NA,NA,NA,47
27009800,Bass,Bass2018,2018,8/16/2018,149.28,149.28,0.8149,31,1,3,3,0,8.239549839,5/1/2018,12.3,12.3,0.5,0.317307692,6,104,311.84,208.9,1.343333333,-0.522276628,2.19,-0.333716923,0.161212121,0.0775,-0.203204848,-0.20565312,1,1,1,0,0,0,0,0,0,0.5,NA,NA,49
27010300,NA,NA2022,2022,8/9/2022,NA,NA,NA,6,0,4,0,2,0,NA,NA,0,0.865079365,0.571428571,7,126,0,0,0.692888889,-1.155535316,0.9703,-1.269586631,0.117833333,0.0785,-0.204404266,-0.205597703,0,0,1,1,1,1,0,0,0,NA,0.25,NA,52
27010400,Medicine,Medicine2022,2022,9/7/2022,434.53,434.53,0.4674,47.59999847,1,6,6,0,27.50097807,5/16/2022,119.5,119.5,2.175257732,0.917525773,13,291,10.38,2.39,3.175,1.260994552,3.9,0.978357521,185.7061111,85.26266667,4.927086579,4.515027425,1,1,1,1,1,1,0,0,0,0.54,0.41,-0.13,57
27010400,Medicine,Medicine2022,2022,7/12/2022,434.53,434.53,0.4674,47.59999847,1,6,6,0,27.50097807,5/16/2022,119.5,119.5,1.935185185,0.907407407,10,108,10.38,2.39,3.175,1.260994552,3.9,0.978357521,185.7061111,85.26266667,4.927086579,4.515027425,1,1,1,1,1,1,0,0,0,0.54,0.41,-0.13,56
27010400,Medicine,Medicine2019,2019,8/14/2019,434.53,434.53,0.4674,47.59999847,1,3,3,0,11.40772789,5/1/2019,49.57,49.57,2.005494505,0.769230769,12,182,8.93,2.06,1.738709677,-0.137346743,2.561538462,-0.04863732,0.14809434,0.056826087,-0.203567553,-0.2067988,1,1,1,0,0,0,0,0,0,0.26,0.5,0.24,53
27010400,Medicine,Medicine2018,2018,8/31/2018,434.53,434.53,0.4674,47.59999847,1,2,2,0,8.238786735,5/1/2018,35.8,35.8,1.699453552,0.74863388,12,183,8.19,1.88,1.805833333,-0.071996598,2.88,0.195716624,0.218181818,0.0625,-0.201629644,-0.20648437,1,1,0,0,0,0,0,0,0,0.29,0.14,-0.15,55
27010400,Medicine,Medicine2017,2017,9/1/2017,434.53,434.53,0.4674,47.59999847,1,1,1,0,10.35601685,4/1/2017,45,45,1.336956522,0.722826087,14,184,7.76,1.79,2.193333333,0.305265048,3.414285714,0.60567138,0.14925,0.051833333,-0.203535599,-0.207075482,1,0,0,0,0,0,0,0,0,0.43,0.46,0.03,54
27012500,Diamond,Diamond2019,2019,8/19/2019,405.02,405.02,0.9992,8,1,3,3,0,99.99506197,5/1/2019,405,405,0.238095238,0.152380952,4,105,0,0,1.325,-0.540125565,2.04,-0.448811173,0.11675,0.037,-0.20443422,-0.207897496,1,1,1,0,0,0,0,0,0,NA,0.36,NA,58
27012500,Diamond,Diamond2018,2018,9/4/2018,405.02,405.02,0.9992,8,1,2,2,0,14.81408326,5/1/2018,60,60,0.371428571,0.257142857,3,105,0,0,0.750909091,-1.099048098,1.1825,-1.106766632,0.134545455,0.07,-0.203942178,-0.206068745,1,1,0,0,0,0,0,0,0,NA,0.11,NA,59
27019100,Sarah,Sarah2019,2019,9/16/2019,373,373,0.6694,59,1,3,3,0,29.1152815,5/1/2019,108.6,108.6,0.72972973,0.567567568,6,74,1.67,0.45,1,-0.856538559,1.8,-0.632961972,0.09,0.06,-0.205173854,-0.206622912,1,1,1,0,0,0,0,0,0,NA,0.15,NA,63
27019100,Sarah,Sarah2019,2019,9/6/2019,373,373,0.6694,59,1,3,3,0,29.1152815,5/1/2019,108.6,108.6,0.730434783,0.530434783,10,115,1.67,0.45,1,-0.856538559,1.8,-0.632961972,0.09,0.06,-0.205173854,-0.206622912,1,1,1,0,0,0,0,0,0,NA,0.15,NA,62
27019100,Sarah,Sarah2018,2018,8/20/2018,373,373,0.6694,59,1,2,2,0,30.69705094,5/1/2018,114.5,114.5,1.048913043,0.673913043,10,184,7.14,1.91,1.25,-0.613143948,4,1.055087021,0.12,0.2,-0.204344358,-0.198864575,1,1,0,0,0,0,0,0,0,NA,0.04,NA,61
27019100,Sarah,Sarah2017,2017,8/25/2017,373,373,0.6694,59,1,1,1,0,69.70509383,5/1/2017,260,260,1.064864865,0.654054054,10,185,8.32,2.23,1,-0.856538559,3,0.287792024,0.1,0.1,-0.204897355,-0.204406244,1,0,0,0,0,0,0,0,0,NA,0.15,NA,60
29025000,NA,NA,2014,8/7/2014,427.62,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.632786885,0.750819672,14,305,0,0,2.593103448,0.694472613,2.06,-0.433465273,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,132
40000200,Upper Sakatah,NA,2014,7/7/2014,899.57,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.821917808,0.808219178,5,73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,120
40000200,Upper Sakatah,NA,2014,7/7/2014,899.57,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.147727273,0.119318182,4,176,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,121
41004300,Dead Coon,NA,2016,8/8/2016,2649.41,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.003802281,0.003802281,1,263,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,138
41004300,Dead Coon,NA,2015,8/12/2015,2649.41,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.007604563,0.007604563,1,263,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,135
41004300,Dead Coon,NA,2014,8/18/2014,2649.41,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.003831418,0.003831418,1,261,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,134
41004300,Dead Coon,NA,2012,8/13/2012,2649.41,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.001919386,0.001919386,1,521,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,130
62000200,Bald Eagle,Bald Eagle2023,2023,8/9/2023,589.06,589.06,0.5613,37,1,7,7,0,11.70169422,5/16/2023,68.93,68.93,1.958083832,0.622754491,17,167,20.3,3.45,1.932772727,0.051588859,2.414886957,-0.161162286,0.0362,0.02485,-0.206661417,-0.208570809,1,1,1,1,1,1,1,0,0,NA,NA,NA,66
62000200,Bald Eagle,Bald Eagle2022,2022,8/9/2022,589.06,589.06,0.5613,37,1,7,6,0,4.493599973,5/1/2022,26.47,26.47,1.979166667,0.6875,16,144,21.46,3.64,1.925245714,0.044260721,2.5153,-0.084115861,0.041098765,0.025516129,-0.206525966,-0.208533894,1,1,1,1,1,1,0,0,0,NA,NA,NA,71
