permit_number,treatment_year,treatment_id,target_species,chemical,chem_unit,start_date,end_date,treatment_size,avg_depth,avg_vol_rate,avg_areal_rate,amount_total,water_temp_low,water_temp_high,wind_speed_low,wind_speed_high,air_temp_low,air_temp_high,avg_speed,wind_dir,active_ing
2017-0389,2022,P_28,CLP,Tribune,gal,2022-05-26,2022-05-26,67.51,6,0.29,1.77,119.39,NA,NA,0,5,NA,NA,2.5,SW,Diquat Dibromide
2017-0389,2023,P_29,CLP,Tribune,gal,2023-05-23,2023-05-23,4.4,3.2,0.25,0.8,3.52,NA,NA,NA,NA,NA,NA,NA,NA,Diquat Dibromide
2017-0389,2025,P_30,CLP,FlumigardSC,gal,2025-05-08,2025-05-08,26.7,4.7,0.1,0.46,12.27,63,63,0,0,56,56,NA,NA,Flumioxazin
2017-039,2020,P_31,CLP,Aquathol K,gal,2020-05-21,2020-05-21,1.7,6.5,1.3,8.41,14.29,61,61,5,5,61,61,5,SE,Endothall
2017-0407,2022,P_32,CLP,Tribune,gal,2022-05-17,2022-05-17,7.7,4,0.5,2,15.4,60,60,1,9,74,74,5,NW,Diquat Dibromide
2017-0417,2020,P_33,EWM,Tribune,gal,2020-06-03,2020-06-03,5,5.5,0.5,2.75,13.75,NA,NA,3,3,NA,NA,3,NW,Diquat Dibromide
2017-0417,2022,P_34,EWM,Tribune,gal,2022-06-10,2022-06-10,5,5.5,0.47,2.6,13,NA,NA,0,0,62,62,NA,NA,Diquat Dibromide
2017-0417,2023,P_35,EWM,Tribune,gal,2023-06-19,2023-06-19,7.3999999999999995,5,0.5,2.49,18.41,NA,NA,0,0,NA,NA,NA,NA,Diquat Dibromide
2017-0422,2020,P_36,EWM,"2,4-D Amine",gal,2020-07-17,2020-07-17,15,5,2.84,14.2,212.98,78,78,3,4,73,80,3.3,S,NA
2017-0434,2020,P_37,EWM,"2,4-D Amine",gal,2020-08-18,2020-08-18,27.63,5,1.42,7.09,196,NA,NA,3,3,75,77,3,S,NA
2017-0434,2020,P_38,EWM,ProcellaCOR EC,PDU,2020-08-18,2020-08-18,8.43,5,0.86,4.31,36.3,NA,NA,3,3,77,77,3,S,Florpyrauxifen-benzyl
2017-0434,2022,P_39,EWM,ProcellaCOR EC,oz,2022-07-29,2022-07-29,42.69,NA,NA,47.49,2027.32,NA,NA,2,5,71,71,3.5,W,Florpyrauxifen-benzyl
2017-0434,2025,P_40,EWM,ProcellaCOR EC,oz,2025-08-20,2025-08-20,5.92,7,19.12,133.87,792.5,72,72,3,3,65,65,3,E,Florpyrauxifen-benzyl
2017-0437,2020,P_41,EWM,ProcellaCOR EC,PDU,2020-08-18,2020-08-18,10,5,2.98,14.88,148.8,NA,NA,NA,NA,73,77,NA,NA,Florpyrauxifen-benzyl
2017-0437,2022,P_42,EWM,ProcellaCOR EC,PDU,2022-07-29,2022-07-29,13.95,5,1.9,9.51,132.65,NA,NA,0,3,60,60,1.5,NW,Florpyrauxifen-benzyl
2017-0442,2020,P_43,EWM,"2,4-D Amine",gal,2020-07-17,2020-07-17,1.6500000000000001,5,2.84,14.2,23.43,78,78,3,3,73,75,3,S,NA
2017-0442,2023,P_44,EWM,ProcellaCOR EC,oz,2023-07-21,2023-07-21,4.5,5.5,15.75,86.65,389.91,77.1,77.1,6,10,75,75,8,N,Florpyrauxifen-benzyl
2017-0445,2020,P_45,EWM,"2,4-D Amine",gal,2020-07-17,2020-07-17,13.299999999999999,5,2.84,14.2,188.84,79,80,3,3,82,83,2.8,SSW,NA
2017-0447,2022,P_46,CLP,Aquathol K,gal,2024-05-23,2024-05-23,11.9,NA,NA,10.08,120,59,60,5,5,70,70,NA,NA,Endothall
2017-0447,2024,P_47,CLP,Aquathol K,gal,2024-05-14,2024-05-14,11.9,NA,NA,5.04,60,60,62,5,5,67,67,NA,NA,Endothall
2017-0511,2023,P_48,CLP,Aquathol K,gal,2023-05-09,2023-05-09,6.58,6,0.6,3.6,23.68,NA,NA,4,6,NA,NA,5,NW,Endothall
2017-0512,2021,P_49,CLP,Aquathol K,gal,2021-05-19,2021-05-19,29.9,4,0.6,2.4,71.76,NA,NA,8,14,NA,NA,10.5,S,Endothall
2017-0512,2022,P_50,CLP,Aquathol K,gal,2022-05-18,2022-05-18,27.6,4,0.68,2.72,75.2,67,74,2,12,NA,NA,7,ENE,Endothall
2017-0512,2022,P_51,CLP,Aquathol K,gal,2023-05-09,2023-05-09,18.689999999999998,4,0.63,2.5,46.77,NA,NA,4,6,NA,NA,5,N,Endothall
2017-0512,2024,P_52,CLP,Aquathol K,gal,2024-05-03,2024-05-03,18.689999999999998,4,0.63,2.5,46.77,NA,NA,7,8,NA,NA,7.2,SW,Endothall
2017-0513,2021,P_53,CLP,Aquathol K,gal,2021-05-19,2021-05-19,7.720000000000001,5.4,0.45,2.43,18.75,NA,NA,6,8,NA,NA,7,S,Endothall
2017-0522,2020,P_54,CLP,Tribune,gal,2020-04-30,2020-04-30,9,5,0.4,2,18,59.5,59.5,3,3,60,60,3,ENE,Diquat Dibromide
2017-0522,2021,P_55,CLP,Sonar A.S.,gal,2021-04-05,2021-04-05,84,5,0,0.02,1.58,53.4,53.4,0,3,65,65,NA,NA,Fluridone
2017-0522,2021,P_56,CLP,Sonar A.S.,gal,2021-04-28,2021-04-28,84,5,0,0.01,0.79,50,50,3,3,43,43,3,NNE,Fluridone
2017-0522,2024,P_57,CLP,Sonar A.S.,gal,2024-04-02,2024-04-02,37,4.3,0,0.02,0.8,40,40,6,10,35,35,8,N,Fluridone
2017-0522,2024,P_58,CLP,Sonar A.S.,gal,2024-04-29,2024-04-29,37,4.3,0,0.01,0.4,52,52,10,10,50,50,10,W,Fluridone
2017-0525,2023,P_59,EWM,Sonar A.S.,gal,2023-05-02,2023-05-02,157.06,7.7,0,0.01,1.63,48,48,18,18,45,45,18,NNW,Fluridone
2017-0526,2021,P_60,EWM,Tribune,gal,2021-06-02,2021-06-02,9.2,9,0.22,2,18.4,68,68,3,3,70,70,3,SW,Diquat Dibromide
2017-0533,2021,P_61,CLP,Aquathol K,gal,2021-05-26,2021-05-26,8.2,8,1.25,10,82,63,63,5,10,50,50,7.5,NW,Endothall
2017-0534,2021,P_62,CLP,Aquathol K,gal,2021-05-26,2021-05-26,4.7,7.5,1.79,13.4,63,63,63,5,10,50,50,7.5,N,Endothall
2017-0534,2021,P_63,CLP,Tribune,gal,2021-05-26,2021-05-26,7.6,7.5,0.26,1.97,15,63,63,5,10,50,50,7.5,N,Diquat Dibromide
2017-0534,2022,P_64,CLP,Tribune,gal,2022-06-03,2022-06-03,7.6,6,0.33,2,15.2,67,67,5,10,67,67,7.5,NW,Diquat Dibromide
2017-0562,2022,P_65,CLP,Tribune,gal,2022-06-07,2022-06-07,132.6,4,0.5,2,265.2,70,70,0,5,75,75,NA,NA,Diquat Dibromide
2017-0562,2023,P_66,CLP,Sonar A.S.,gal,2023-04-14,2023-04-14,793,7.5,0,0.02,14.75,48,48,14,14,70,70,14,S,Fluridone
2017-0566,2021,P_67,CLP,Tribune,gal,2021-05-17,2021-05-17,16.5,5,0.4,2,33,64,64,3,3,77,77,3,WNW,Diquat Dibromide
2017-0573,2021,P_68,CLP,Tribune,gal,2021-05-07,2021-05-07,35,6,0.25,1.5,52.5,55.8,55.8,2,2,49,49,2,N,Diquat Dibromide
2017-0582,2021,P_69,CLP,Tribune,gal,2021-05-24,2021-05-24,17.64,5,0.4,2,35.28,71,71,7,7,75,75,7,S,Diquat Dibromide
2017-0600,2021,P_70,EWM,ProcellaCOR,oz,2021-07-16,2021-07-16,5.3,4,10.09,40.38,214,75,75,0,5,75,75,2.5,W,Florpyrauxifen-benzyl
2017-0600,2022,P_71,EWM,ProcellaCOR EC,oz,2022-09-28,2022-09-28,3.3,2.8,15.93,44.61,147.2,60,60,0,5,50,50,NA,NA,Florpyrauxifen-benzyl
2017-0600,2024,P_72,CLP,ProcellaCOR EC,oz,2024-07-12,2024-07-12,7.9,2.7,13.2,35.65,281.6,82,82,6,10,85,85,8,S,Florpyrauxifen-benzyl
2017-0620,2020,P_73,CLP,Aquathol K,gal,2020-05-19,2020-05-19,27.8,3.3,0.86,2.84,79.02,NA,NA,6,8,NA,NA,6.5,ENE,Endothall
2017-0621,2020,P_74,CLP,Dibrox,gal,2020-05-04,2020-05-04,40.9,5.8,0.17,1,40.9,55,56,2,6,42,47,3.7,E,Diquat Dibromide
2017-0621,2021,P_75,CLP,Dibrox,gal,2021-05-05,2021-05-05,42.3,5.2,0.19,1,42.3,57.3,57.7,0,3,57,57,1.5,N,Diquat Dibromide
2017-0645,2021,P_76,CLP,Tribune,gal,2021-05-24,2021-05-24,7.42,5,0.4,2,14.84,70,70,7,7,75,75,7,S,Diquat Dibromide
2017-0653,2020,P_77,EWM,Dibrox,gal,2020-07-20,2020-07-20,4.91,2.7,0.49,1.34,6.57,78,79,0,0,69,70,NA,NA,Diquat Dibromide
2017-0653,2025,P_78,EWM,ProcellaCOR EC,PDU,2025-07-02,2025-07-02,8.79,4,4,16,140.62,NA,NA,NA,NA,80,82,NA,NA,Florpyrauxifen-benzyl
2017-0663,2022,P_79,CLP,Aquathol K,gal,2022-05-22,2022-05-22,5.12,7.5,0.96,7.18,36.76,NA,NA,5,5,NA,NA,5,NW,Endothall
2017-0663,2023,P_80,CLP,Aquathol K,gal,2022-05-15,2022-05-15,2,8,0.96,7.66,15.31,NA,NA,4,4,NA,NA,4,W,Endothall
2017-0663,2023,P_81,CLP,Aquathol K,gal,2023-05-15,2023-05-15,3.12,7.5,0.96,7.18,22.4,NA,NA,6,6,NA,NA,6,W,Endothall
2017-0663,2024,P_82,CLP,Aquathol K,gal,2024-04-24,2024-04-24,7.12,7.6,0.96,7.31,52.07,NA,NA,4,5,NA,NA,4.7,SE,Endothall
2017-0666,2024,P_83,EWM,Sonar A.S.,gal,2024-05-30,2024-05-30,428.9,9.8,0,0.02,10.4,NA,NA,9,9,68,68,9,SSE,Fluridone
2017-0666,2024,P_84,EWM,Sonar A.S.,gal,2024-07-09,2024-07-09,428.9,9.8,0,0.01,3.95,NA,NA,5,5,77,77,5,NW,Fluridone
2017-0666,2024,P_85,EWM,Sonar A.S.,gal,2024-08-14,2024-08-14,428.9,9.8,0,0.01,2.74,NA,NA,6,6,NA,NA,6,SE,Fluridone
2017-0666,2024,P_86,EWM,Sonar A.S.,gal,2024-09-10,2024-09-10,428.9,9.8,0,0.01,3.8,NA,NA,8,8,NA,NA,8,SE,Fluridone
2017-0667,2020,P_87,CLP,Aquathol K,gal,2020-05-12,2020-05-12,5.31,4,0.8,3.2,16.99,NA,NA,4,4,39,39,4,NE,Endothall
2017-0671,2020,P_88,CLP,Aquathol K,gal,2020-05-15,2020-05-15,24,5,0.6,3,72,NA,NA,7,7,57,57,7,N,Endothall
2017-0671,2021,P_89,CLP,Aquathol K,gal,2021-05-05,2021-05-05,23.959999999999997,5,0.6,3,71.88,NA,NA,6,6,53,55,6,SSW,Endothall
2017-0729,2020,P_90,EWM,Dibrox,gal,2020-08-06,2020-08-06,9.72,4.2,0.45,1.87,18.14,74,76,1,4,68,72,2.7,E,Diquat Dibromide
2017-0729,2022,P_91,EWM,"2,4-D Amine",gal,2022-07-15,2022-07-15,32.5,3.7,3.08,11.39,370.17,78,80,2,5,80,80,3.5,NE,NA
2017-0729,2025,P_92,EWM,"2,4-D Amine",gal,2025-07-17,2025-07-17,42.5,6.1,2.62,15.91,676.06,74,77,0,2,75,75,0.1,N,NA
2017-0742,2020,P_93,CLP,Sonar A.S.,gal,2020-04-13,2020-04-13,405,4,0,0.01,5,43.4,43.4,0,0,32,32,0,N,Fluridone
2017-0742,2021,P_94,CLP,Sonar A.S.,gal,2021-04-07,2021-04-07,405,4,0,0.01,5,55,55,7,7,51,51,7,NE,Fluridone
2017-0742,2021,P_95,CLP,Sonar A.S.,gal,2021-04-27,2021-04-27,405,4,0,0.01,2.36,47,47,7,7,44,44,7,NNE,Fluridone
2017-0742,2022,P_96,CLP,Sonar A.S.,gal,2022-04-20,2022-04-20,405,4,0,0.01,5,39.5,39.5,5,5,45,45,5,SE,Fluridone
2017-0742,2023,P_97,CLP,Tribune,gal,2023-05-15,2023-05-15,45.1,5.5,0.36,2,90.2,63,63,0,5,64,64,2.5,NW,Diquat Dibromide
2017-0742,2024,P_98,CLP,Tribune,gal,2024-04-24,2024-04-24,59.7,4.1,0.46,1.89,112.63,54.3,54.3,0,5,52,52,2.5,ESE,Diquat Dibromide
2017-0743,2020,P_99,CLP,Aquathol K,gal,2020-05-27,2020-05-27,2.73,5,1.8,9,24.57,66,67,0,2,59,60,0.8,SSW,Endothall
2017-0753,2021,P_100,CLP,Dibrox,gal,2021-05-07,2021-05-07,9.1,5,0.4,2,18.2,55,55,0,0,45,45,NA,NA,Diquat Dibromide
2017-0820,2020,P_101,CLP,Tribune,gal,2020-05-19,2020-05-19,13.5,7.8,0.26,2,27,57.3,57.3,8,8,64,64,8,E,Diquat Dibromide
2017-0823,2024,P_102,EWM,Platoon,gal,2024-08-26,2024-08-26,28.8,5.7,2.84,16.32,469.91,78,80,0,0,80,80,0,N,"2,4-D"
2017-0825,2020,P_103,EWM,"2,4-D Amine",gal,2020-08-20,2020-08-20,6.82,3,0.33,1,6.82,74,74,5,5,69,69,5,S,NA
2017-0825,2021,P_104,EWM,Platoon,gal,2021-08-09,2021-08-09,1.23,5.9,2.84,16.67,20.5,75.7,76.1,0,3,70,72,1.4,SSW,"2,4-D"
2017-0825,2022,P_105,EWM,"2,4-D Amine",gal,2022-08-04,2022-08-04,18.3,7.6,0.43,3.24,59.36,75,77,0,3,68,68,1.5,SE,NA
2017-0828,2020,P_106,EWM,ProcellaCOR EC,oz,2020-07-22,2020-07-22,17.2,5,19.31,96.57,1661.08,78,78,3,3,64,64,3,NE,Florpyrauxifen-benzyl
2017-0828,2021,P_107,EWM,ProcellaCOR EC,oz,2021-07-09,2021-07-09,16.7,4,18.47,73.89,1234,74,74,3,3,64,64,3,NE,Florpyrauxifen-benzyl
2017-0830,2021,P_108,CLP,Aquathol K,gal,2021-05-26,2021-05-26,1.17,4.5,3.13,13.95,16.32,NA,NA,2,7,NA,NA,4.3,NW,Endothall
2017-0830,2024,P_109,CLP,Propeller,lbs,2025-04-29,2025-04-29,5.13,4,1.06,4.27,21.9,NA,NA,0,2,NA,NA,1.5,NW,NA
2017-0857,2021,P_110,CLP,Tribune,gal,2021-05-06,2021-05-06,63.21,7,0.29,2,126.42,56,56,4,4,49,49,4,NNW,Diquat Dibromide
2017-0857,2022,P_111,SSW,Galleon SC,gal,2022-05-16,2022-05-16,119.5,7,0.01,0.05,6.43,62,62,5,7,63,63,6,NNE,Penoxsulam
2017-0857,2022,P_112,SSW,Kammo Plus,gal,2022-05-16,2022-05-16,119.5,7,0,0.01,1,62,62,5,7,63,63,6,NNE,Limonene
2017-0857,2022,P_113,SSW,Tribune,gal,2022-05-16,2022-05-16,119.5,7,0.17,1.22,146.28,62,62,5,7,63,63,6,NNE,Diquat Dibromide
2017-0871,2020,P_114,CLP,Aquathol K,gal,2020-05-27,2020-05-27,2.5,9,1.39,12.51,31.27,NA,NA,0,0,NA,NA,NA,NA,Endothall
2017-0871,2021,P_115,CLP,Aquathol K,gal,2021-05-05,2021-05-05,4.6,7.8,1.32,10.25,47.15,NA,NA,4,7,NA,NA,4.9,SSW,Endothall
2017-0871,2022,P_116,CLP,Aquathol K,gal,2022-05-23,2022-05-23,2.73,7.7,1.46,11.19,30.55,NA,NA,0,4,NA,NA,3,S,Endothall
2017-0873,2020,P_117,EWM,"2,4-D Amine",gal,2020-07-01,2020-07-01,8.5,6.8,2.84,19.3,164.08,NA,NA,2,42,NA,NA,6.6,SSE,NA
2017-0873,2022,P_118,EWM,"2,4-D Amine",gal,2022-07-25,2022-07-25,5.75,6.5,2.82,18.33,105.4,NA,NA,5,5,NA,NA,5,S,NA
2017-0873,2022,P_119,EWM,"2,4-D Amine",gal,2023-06-27,2023-06-27,8,5.6,2.84,15.97,127.79,NA,NA,6,8,NA,NA,7,SSE,NA
2017-0892,2022,P_120,CLP,Aquathol K,gal,2022-05-17,2022-05-17,14.39,7.2,0.78,5.62,80.81,NA,NA,5,5,NA,NA,5,NE,Endothall
2017-0892,2023,P_121,CLP,Aquathol K,gal,2023-05-07,2023-05-07,14.39,7.2,0.78,5.62,80.81,NA,NA,0,0,NA,NA,NA,NA,Endothall
2017-0917,2020,P_122,CLP,Aquathol K,gal,2020-05-12,2020-05-12,59.309999999999995,9,0.8,7.2,426.99,54,56,2,3,48,56,0.8,SW,Endothall
2017-0968,2021,P_123,CLP,Aquathol K,gal,2021-05-10,2021-05-10,5.1,4.2,0.47,1.96,10,NA,NA,7,7,NA,NA,7,S,Endothall
2017-0973,2020,P_124,CLP,Aquathol K,gal,2020-05-08,2020-05-08,5.18,4.4,0.8,3.51,18.2,54,54,8,8,42,42,8,NE,Endothall
2017-1005,2021,P_125,CLP,Aquathol K,gal,2021-05-19,2021-05-19,7.8,6.4,1.2,7.69,60,64,64,0,5,64,64,2.5,S,Endothall
2017-1005,2022,P_126,CLP,Aquathol K,gal,2022-06-01,2022-06-01,4.4,8.4,1.46,12.27,54,61,61,0,5,62,62,2.5,WNW,Endothall
2017-1027,2020,P_127,CLP,Dibrox,gal,2020-05-11,2020-05-11,46.9,5,0.37,1.85,86.58,54,54,2,7,38,41,4.8,NW,Diquat Dibromide
2017-1027,2021,P_128,CLP,Dibrox,gal,2021-05-24,2021-05-24,28.330000000000002,6.5,0.31,2,56.66,68,68,5,5,68,68,5,S,Diquat Dibromide
2017-1028,2022,P_129,EWM,Tribune,gal,2022-05-27,2022-05-27,37.65,5,0.4,2,75.3,60,61,0,0,44,44,NA,NA,Diquat Dibromide
2017-1028,2022,P_130,EWM,Tribune,gal,2023-05-31,2023-05-31,39.81,7.8,0.25,2,79.62,73,73,6,6,77,77,6,S,Diquat Dibromide
2017-1028,2024,P_131,EWM,Dibrox,gal,2024-05-20,2024-05-20,37.1,5,0.4,2,74.2,67,67,1,4,57,64,2.4,ESE,Diquat Dibromide
2017-1028,2025,P_132,EWM,Diquat Herbicide,gal,2025-05-14,2025-05-14,32.230000000000004,5.8,0.35,2,64.46,66,66,2,3,65,70,2.8,S,Diquat Dibromide
2017-1032,2023,P_133,EWM,ProcellaCOR EC,oz,2023-06-28,2023-06-28,11,5.2,17.15,88.76,976.36,76.6,76.6,8,8,72,72,8,S,Florpyrauxifen-benzyl
2017-1034,2020,P_134,EWM,ProcellaCOR EC,oz,2020-07-09,2020-07-09,6.9,6.5,8.42,54.72,377.6,83,83,0,5,80,80,2.5,NW,Florpyrauxifen-benzyl
2017-1034,2025,P_135,EWM,ProcellaCOR EC,oz,2025-09-22,2025-09-22,6.5,4.1,14.86,60.47,393.08,71.5,71.5,4,4,66,66,4,NE,Florpyrauxifen-benzyl
2017-1036,2022,P_136,CLP,Aquathol K,gal,2022-05-26,2022-05-26,14.3,7.7,0.6,4.62,66,60.3,60.3,0,5,54,54,2.5,N,Endothall
2017-1037,2020,P_137,CLP,Tribune,gal,2020-05-15,2020-05-15,4.8,7.5,0.27,2,9.6,58.9,58.9,9,9,57,57,9,NNW,Diquat Dibromide
2017-1037,2021,P_138,CLP,Tribune,gal,2021-05-24,2021-05-24,14.1,7.5,0.27,2,28.2,70,70,7,7,68,68,7,S,Diquat Dibromide
2017-1037,2022,P_139,CLP,Tribune,gal,2022-06-01,2022-06-01,23.4,7.5,0.27,2,46.8,65,65,7,7,60,60,7,W,Diquat Dibromide
2017-1038,2020,P_140,EWM,Kammo Plus,gal,2020-07-10,2020-07-10,4.95,7.5,0.05,0.4,2,85,85,3,3,77,77,3,NW,Limonene
2017-1038,2020,P_141,EWM,ProcellaCOR EC,oz,2020-07-10,2020-07-10,4.95,7.5,1.66,12.49,61.81,85,85,3,3,77,77,3,NW,Florpyrauxifen-benzyl
2017-1038,2020,P_142,EWM,Tribune,gal,2020-07-10,2020-07-10,4.95,7.5,0.13,1,4.95,85,85,3,3,77,77,3,NW,Diquat Dibromide
2017-1038,2021,P_143,EWM,ProcellaCOR,oz,2021-06-29,2021-06-29,10.5,7.5,2.54,19.05,200,78,78,0,0,70,70,NA,NA,Florpyrauxifen-benzyl
2017-1038,2021,P_144,EWM,Tribune,gal,2021-06-29,2021-06-29,10.5,7.5,0.27,2,21,78,78,0,5,70,70,NA,NA,Diquat Dibromide
2017-1038,2022,P_145,EWM,Tribune,gal,2022-08-09,2022-08-09,12,6.5,0.19,1.25,15,77.5,77.5,0,0,71,71,NA,NA,Diquat Dibromide
2017-1038,2025,P_146,CLP,Sonar A.S.,gal,2025-04-29,2025-04-29,115,5.7,0,0.03,3.17,53,53,6,10,47,47,8,N,Fluridone
2017-1039,2020,P_147,EWM,ProcellaCOR EC,oz,2020-07-08,2020-07-08,33.25,5,4.82,24.12,802,84,84,4,4,73,73,4,SE,Florpyrauxifen-benzyl
2017-1039,2020,P_148,EWM,Tribune,gal,2020-07-08,2020-07-08,33.25,5,0.19,0.94,31.2,84,84,4,4,73,73,4,SE,Diquat Dibromide
2017-1039,2021,P_149,EWM,ProcellaCOR,oz,2021-06-29,2021-06-29,22.98,5,3.8,19.02,437,78,78,0,0,70,70,NA,NA,Florpyrauxifen-benzyl
2017-1039,2021,P_150,EWM,Tribune,gal,2021-06-29,2021-06-29,22.98,5,0.4,2,45.96,78,78,0,0,70,70,NA,NA,Diquat Dibromide
2017-1041,2021,P_151,EWM,ProcellaCOR EC,gal,2021-06-18,2021-06-18,11.6,7,2.46,17.24,200,78,78,3,3,80,80,3,N,Florpyrauxifen-benzyl
2017-1041,2021,P_152,EWM,Tribune,gal,2021-06-18,2021-06-18,11.6,7,0.25,1.72,20,78,78,3,3,80,80,3,N,Diquat Dibromide
2017-1041,2022,P_153,EWM,ProcellaCOR EC,oz,2022-07-01,2022-07-01,12,7,7.25,50.72,608.64,76,76,3,3,66,66,3,N,Florpyrauxifen-benzyl
2017-1042,2020,P_154,CLP,Tribune,gal,2020-05-29,2020-05-29,12.7,5,0.4,2,25.4,68,68,8,8,60,60,8,NNW,Diquat Dibromide
2017-1042,2021,P_155,CLP,Tribune,gal,2021-05-26,2021-05-26,28.2,5,0.4,2,56.4,71,71,11,11,58,58,11,NNW,Diquat Dibromide
2017-1043,2020,P_156,EWM,Kammo Plus,gal,2020-07-23,2020-07-23,3.84,NA,NA,0.26,1,80,80,NA,NA,71,71,NA,NA,Limonene
2017-1043,2020,P_157,EWM,ProcellaCOR EC,oz,2020-07-23,2020-07-23,3.84,NA,NA,92.19,354,80,80,NA,NA,71,71,NA,NA,Florpyrauxifen-benzyl
2017-1043,2020,P_158,EWM,Tribune,gal,2020-07-23,2020-07-23,3.84,NA,NA,0.21,0.8,80,80,NA,NA,71,71,NA,NA,Diquat Dibromide
