"","X","Lake.ID","Year","Lake","Latitude.x","Trt","YrsTrt","PrevAUGSecchi","IceIn","IceOut","IceCover","Snow","APRMAYPcri","APRMAY3.7","APRMAYDIFF","APRMAYRelDens","APRMAYRelDensall","County","Latitude.y","Longitude","Ecoregion","Lake.area..ha.","Littoral.area..ha.","Proportion.littoral","Max.depth..m.","Lake.y","Acres_Chem","Acres_Harvested","litt.ac","perc.lit.chem","Snow.sc","PrevAUGSecchi.sc","IceCover.sc","lake_year","nsamp","nocc_pcri","rd_pcri","datasource","foc_clp","cytrt","yutrt","Trte","perc.cheme"
"138",138,41004300,2007,"benton",44.294,"1",2,0.8,"28-Nov","27-Mar",120,2.5,0.03,0.03,0,NA,NA,"Lincoln",44.294,-96.251,"NGP",1092,1092,1,"2.7","Benton",2875,NA,2698.3866,1.06545148126662,-1.25215232135945,-0.415389332048973,-0.958615090875703,"benton2007",NA,NA,NA,NA,NA,0,0,"1",1.06545148126662
"139",139,41004300,2008,"benton",44.294,"1",3,0.6,"24-Nov","12-Apr",141,2.3,0.03,0.03,0,NA,NA,"Lincoln",44.294,-96.251,"NGP",1092,1092,1,"2.7","Benton",2875,NA,2698.3866,1.06545148126662,-1.27465298219357,-0.615954890544015,0.51241905840178,"benton2008",NA,NA,NA,NA,NA,1,0,"1",1.06545148126662
"140",140,41004300,2012,"benton",44.294,"1",2,NA,"26-Nov","13-Mar",109,1.2,NA,NA,NA,NA,NA,"Lincoln",44.294,-96.251,"NGP",1092,1092,1,"2.7",NA,302,NA,2698.3866,0.111918729510442,-1.39840661678121,NA,-1.72915678811629,"benton2012",NA,NA,NA,NA,NA,0,4,"0",0
"221",221,80003400,2008,"blueberry",46.793,"1",1,0.4,"29-Nov","25-Apr",149,10.2,NA,NA,NA,NA,NA,"Wadena",46.793,-95.076,"NCHF",216,216,1,"4.6","Blueberry",180,NA,533.7468,0.337238555809609,-0.385876879245937,-0.816520449039057,1.0728130200313,"blueberry2008",NA,NA,NA,NA,NA,0,0,"0",0
"222",222,80003400,2009,"blueberry",46.793,"1",2,0.6,"16-Nov","21-Apr",157,21.3,0.27,0.3,-0.03,1.61,0.44,"Wadena",46.793,-95.076,"NCHF",216,216,1,"4.6","Blueberry",190,NA,533.7468,0.355974031132365,0.862909797047571,-0.615954890544015,1.63320698166081,"blueberry2009",396,108,1.61111111111111,"newman",0.272727272727273,0,0,"1",0.337238555809609
"52",52,21005700,2008,"carlos",45.971,"0",0,3.1,"30-Nov","2-May",155,14.4,NA,NA,NA,NA,NA,"Douglas",45.971,-95.363,"NCHF",1054,373,0.35,"49.7",NA,0,NA,921.70165,0,0.0866369982705254,1.89111459064401,1.49310849125344,"carlos2008",NA,NA,NA,NA,NA,0,0,"0",0
"53",53,21005700,2009,"carlos",45.971,"0",0,2.5,"23-Nov","23-Apr",152,18.7,NA,NA,NA,NA,NA,"Douglas",45.971,-95.363,"NCHF",1054,373,0.35,"49.7",NA,0,NA,921.70165,0,0.570401206204046,1.28941791515888,1.28296075564237,"carlos2009",NA,NA,NA,NA,NA,0,0,"0",0
"54",54,21005700,2010,"carlos",45.971,"0",0,2.4,"5-Dec","2-Apr",119,27.2,NA,NA,NA,NA,NA,"Douglas",45.971,-95.363,"NCHF",1054,373,0.35,"49.7",NA,0,NA,921.70165,0,1.52667929165403,1.18913513591136,-1.02866433607939,"carlos2010",NA,NA,NA,NA,NA,0,0,"0",0
"132",132,34003200,2008,"carrie",45.083,"0",0,1.2,"23-Nov","21-Apr",151,8,NA,NA,NA,NA,NA,"Kandiyohi",45.083,-94.785,"WCBP",37,8,0.22,"7.9",NA,0,NA,19.7684,0,-0.633384148421227,-0.0142582150588893,1.21291151043868,"carrie2008",NA,NA,NA,NA,NA,0,0,"0",0
"133",133,34003200,2009,"carrie",45.083,"0",0,1.3,"16-Nov","19-Apr",155,11.7,NA,NA,NA,NA,NA,"Kandiyohi",45.083,-94.785,"WCBP",37,8,0.22,"7.9",NA,0,NA,19.7684,0,-0.217121922990058,0.0860245641886318,1.49310849125344,"carrie2009",NA,NA,NA,NA,NA,0,0,"0",0
"134",134,34003200,2010,"carrie",45.083,"0",0,0.7,"5-Dec","31-Mar",117,26.6,NA,NA,NA,NA,NA,"Kandiyohi",45.083,-94.785,"WCBP",37,8,0.22,"7.9",NA,0,NA,19.7684,0,1.45917730915168,-0.515672111296494,-1.16876282648677,"carrie2010",NA,NA,NA,NA,NA,0,0,"0",0
"135",135,34003200,2011,"carrie",45.083,"0",0,2.2,"23-Nov","12-Apr",141,34.8,NA,NA,NA,NA,NA,"Kandiyohi",45.083,-94.785,"WCBP",37,8,0.22,"7.9",NA,0,NA,19.7684,0,2.38170440335049,0.988569577416321,0.51241905840178,"carrie2011",NA,NA,NA,NA,NA,0,0,"0",0
"136",136,34003200,2013,"carrie",45.083,"0",0,1.5,"24-Nov","30-Apr",158,19.1,NA,NA,NA,NA,NA,"Kandiyohi",45.083,-94.785,"WCBP",37,8,0.22,"7.9",NA,0,NA,19.7684,0,0.615402527872281,0.286590122683674,1.7032562268645,"carrie2013",NA,NA,NA,NA,NA,0,0,"0",0
"150",150,49014000,2008,"cedar",45.813,"0",0,0.3,"3-Dec","30-Apr",150,14.8,NA,NA,NA,NA,NA,"Morrison",45.813,-94.636,"NCHF",95,27,0.28,"26.8",NA,0,NA,66.71835,0,0.13163831993876,-0.916803228286578,1.14286226523499,"cedar2008",NA,NA,NA,NA,NA,0,0,"0",0
"151",151,49014000,2009,"cedar",45.813,"0",0,4.8,"7-Dec","20-Apr",135,21,NA,NA,NA,NA,NA,"Morrison",45.813,-94.636,"NCHF",95,27,0.28,"26.8",NA,0,NA,66.71835,0,0.829158805796395,3.59592183785187,0.0921235871796419,"cedar2009",NA,NA,NA,NA,NA,0,0,"0",0
"152",152,49014000,2010,"cedar",45.813,"0",0,4,"6-Dec","1-Apr",117,27.7,NA,NA,NA,NA,NA,"Morrison",45.813,-94.636,"NCHF",95,27,0.28,"26.8",NA,0,NA,66.71835,0,1.58293094373932,2.7936596038717,-1.16876282648677,"cedar2010",NA,NA,NA,NA,NA,0,0,"0",0
"101",101,27013700,2014,"christmas",44.896,"0",0,6.9,"27-Nov","20-Apr",145,25.2,NA,NA,NA,NA,NA,"Hennepin",44.896,-93.543,"NCHF",108,31,0.29,"26.5",NA,0,NA,76.60255,0,1.30167268331286,5.70186020204981,0.792616039216539,"christmas2014",NA,NA,NA,NA,NA,0,0,"0",0
"102",102,27013700,2015,"christmas",44.896,"0",0,6.1,"27-Nov","1-Apr",126,4.6,NA,NA,NA,NA,NA,"Hennepin",44.896,-93.543,"NCHF",108,31,0.29,"26.5",NA,0,NA,76.60255,0,-1.01589538260122,4.89959796806964,-0.538319619653565,"christmas2015",NA,NA,NA,NA,NA,0,0,"0",0
"145",145,47009500,2009,"clearm",45.276,"1",4,0.5,"29-Nov","13-Apr",136,13.7,0.28,0.38,-0.1,1.43,0.4,"Meeker",45.276,-94.446,"NCHF",214,178,0.83,"5.5","Clear ",60.5,NA,439.8469,0.137547860403245,0.00788468535111489,-0.716237669791536,0.162172832383332,"clearm2009",211,61,1.42622950819672,"newman",0.289099526066351,0,0,"0",0
"227",227,82016300,2009,"clearw",45.261,"1",0,1.7,"22-Nov","9-Apr",139,9,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5","Clear ",69.1,NA,659.77035,0.104733412163793,-0.520880844250641,0.487155681178716,0.372320567994401,"clearw2009",NA,NA,NA,NA,NA,0,0,"0",0
"228",228,82016300,2010,"clearw",45.261,"0",0,1.5,"10-Dec","30-Mar",111,22.4,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5","Clear ",0,NA,659.77035,0,0.986663431635216,0.286590122683674,-1.58905829770891,"clearw2010",NA,NA,NA,NA,NA,0,0,"1",0.104733412163793
"229",229,82016300,2011,"clearw",45.261,"0",0,2.5,"24-Nov","12-Apr",140,26.2,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5","Clear ",0,NA,659.77035,0,1.41417598748344,1.28941791515888,0.44236981319809,"clearw2011",NA,NA,NA,NA,NA,0,0,"0",0
"230",230,82016300,2012,"clearw",45.261,"0",0,1.8,"30-Nov","18-Mar",110,2.9,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5",NA,0,NA,659.77035,0,-1.20715099969122,0.587438460426237,-1.6591075429126,"clearw2012",NA,NA,NA,NA,NA,0,0,"0",0
"231",231,82016300,2013,"clearw",45.261,"0",0,1.9,"10-Dec","30-Apr",142,14.8,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5",NA,0,NA,659.77035,0,0.13163831993876,0.687721239673758,0.58246830360547,"clearw2013",NA,NA,NA,NA,NA,0,0,"0",0
"232",232,82016300,2014,"clearw",45.261,"0",0,1.7,"23-Nov","23-Apr",152,23.3,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5",NA,0,NA,659.77035,0,1.08791640538874,0.487155681178716,1.28296075564237,"clearw2014",NA,NA,NA,NA,NA,0,0,"0",0
"233",233,82016300,2015,"clearw",45.261,"0",0,1.3,"12-Nov","29-Mar",138,4.8,NA,NA,NA,NA,NA,"Washington",45.263,-93.001,"NCHF",429,267,0.62,"8.5",NA,0,NA,659.77035,0,-0.993394721767103,0.0860245641886318,0.302271322790711,"clearw2015",NA,NA,NA,NA,NA,0,0,"0",0
"188",188,70002200,2008,"cleary",44.692,"0",0,0.9,"28-Nov","21-Apr",146,8.3,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,-0.599633157170051,-0.315106552801452,0.862665284420228,"cleary2008",NA,NA,NA,NA,NA,0,0,"0",0
"189",189,70002200,2009,"cleary",44.692,"0",0,1,"26-Nov","2-Apr",128,10.3,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,-0.374626548828878,-0.214823773553931,-0.398221129246186,"cleary2009",NA,NA,NA,NA,NA,0,0,"0",0
"190",190,70002200,2010,"cleary",44.692,"0",0,1.5,"5-Dec","30-Mar",116,21.4,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,0.874160127464629,0.286590122683674,-1.23881207169046,"cleary2010",NA,NA,NA,NA,NA,0,0,"0",0
"191",191,70002200,2011,"cleary",44.692,"0",0,1.6,"25-Nov","10-Apr",137,23.9,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,1.1554183878911,0.386872901931195,0.232222077587021,"cleary2011",NA,NA,NA,NA,NA,0,0,"0",0
"192",192,70002200,2012,"cleary",44.692,"0",0,0.7,"6-Dec","17-Mar",103,1.1,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,-1.40965694719827,-0.515672111296494,-2.14945225933843,"cleary2012",NA,NA,NA,NA,NA,0,0,"0",0
"193",193,70002200,2013,"cleary",44.692,"0",0,0.6,"11-Dec","26-Apr",137,9.1,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,-0.509630513833582,-0.615954890544015,0.232222077587021,"cleary2013",NA,NA,NA,NA,NA,0,0,"0",0
"194",194,70002200,2014,"cleary",44.692,"0",0,0.4,"25-Nov","12-Apr",139,19.6,NA,NA,NA,NA,NA,"Scott",44.692,-93.391,"NCHF",58,58,1,"2.7",NA,0,NA,143.3209,0,0.671654179957574,-0.816520449039057,0.372320567994401,"cleary2014",NA,NA,NA,NA,NA,0,0,"0",0
"217",217,77004600,2006,"coal",46.083,"0",0,1.8,"29-Nov","7-Apr",130,15.4,0.42,0.42,0,1.3,0.54,"Todd",46.083,-94.755,"NLF",69,29,0.42,"7.6",NA,0,NA,71.66045,0,0.199140302441112,0.587438460426237,-0.258122638838807,"coal2006",77,30,1.33333333333333,"johnson",0.38961038961039,0,0,"0",0
"218",218,77004600,2007,"coal",46.083,"0",0,1.7,"29-Nov","18-Apr",141,7,0.49,0.46,0.03,2.1,1.04,"Todd",46.083,-94.755,"NLF",69,29,0.42,"7.6",NA,0,NA,71.66045,0,-0.745887452591813,0.487155681178716,0.51241905840178,"coal2007",78,36,1.90196078431373,"johnson",0.461538461538462,0,0,"0",0
"219",219,77004600,2008,"coal",46.083,"0",0,2.3,"23-Nov","27-Apr",157,14.2,0.29,0.29,0,1.33,0.39,"Todd",46.083,-94.755,"NLF",69,29,0.42,"7.6",NA,0,NA,71.66045,0,0.0641363374364081,1.08885235666384,1.63320698166081,"coal2008",79,24,1.2962962962963,"johnson",0.30379746835443,0,0,"0",0
"220",220,77004600,2009,"coal",46.083,"0",0,3,"1-Dec","20-Apr",141,20.1,0.29,0.3,-0.01,1.41,0.41,"Todd",46.083,-94.755,"NLF",69,29,0.42,"7.6",NA,0,NA,71.66045,0,0.727905832042868,1.79083181139649,0.51241905840178,"coal2009",90,27,1.37931034482759,"newman",0.3,0,0,"0",0
"180",180,62005500,2010,"como",44.98,"0",0,1.7,"7-Dec","28-Mar",112,18.5,0.47,0.47,0,NA,NA,"Ramsey",44.98,-93.141,"NCHF",28,28,1,"4.6",NA,0,NA,69.1894,0,0.547900545369929,0.487155681178716,-1.51900905250522,"como2010",NA,NA,NA,NA,NA,0,0,"0",0
"181",181,62005500,2013,"como",44.98,"0",0,0.6,"11-Dec","28-Apr",139,12.6,NA,NA,NA,NA,NA,"Ramsey",44.98,-93.141,"NCHF",28,28,1,"4.6","Como ",0,25,69.1894,0,-0.11586894923653,-0.615954890544015,0.372320567994401,"como2013",NA,NA,NA,NA,NA,0,0,"0",0
"182",182,62005500,2014,"como",44.98,"0",0,0.6,"27-Nov","18-Apr",143,22.3,NA,NA,NA,NA,NA,"Ramsey",44.98,-93.141,"NCHF",28,28,1,"4.6","Como ",0,25,69.1894,0,0.975413101218157,-0.615954890544015,0.652517548809159,"como2014",NA,NA,NA,NA,NA,0,0,"0",0
"183",183,62005500,2015,"como",44.98,"0",0,1.1,"15-Nov","1-Apr",138,4.2,0.94,0.94,0,NA,NA,"Ramsey",44.98,-93.141,"NCHF",28,28,1,"4.6","Como ",0,10,69.1894,0,-1.06089670426946,-0.11454099430641,0.302271322790711,"como2015",60,47,2.48936170212766,"crwd",0.783333333333333,0,0,"0",0
"146",146,49013300,2006,"crookneck",46.245,"1",1,2.3,"24-Nov","7-Apr",135,1.5,0.38,0.34,0.04,1.03,0.39,"Morrison",46.245,-94.611,"NLF",73,53,0.73,"6.7","Crookneck ",60,NA,130.96565,0.458135396571544,-1.36465562553004,1.08885235666384,0.0921235871796419,"crookneck2006",178,65,1.02173913043478,"johnson",0.365168539325843,0,0,"0",0
"147",147,49013300,2007,"crookneck",46.245,"1",2,1.8,"1-Dec","21-Apr",142,2.9,0.4,0.3,0.1,1.16,0.47,"Morrison",46.245,-94.611,"NLF",73,53,0.73,"6.7","Crookneck ",60,NA,130.96565,0.458135396571544,-1.20715099969122,0.587438460426237,0.58246830360547,"crookneck2007",137,47,1.32203389830508,"johnson",0.343065693430657,0,0,"1",0.458135396571544
"148",148,49013300,2008,"crookneck",46.245,"1",3,2.5,"1-Dec","3-May",155,14.4,0.11,0.08,0.03,0.75,0.08,"Morrison",46.245,-94.611,"NLF",73,53,0.73,"6.7","Crookneck ",60,NA,130.96565,0.458135396571544,0.0866369982705254,1.28941791515888,1.49310849125344,"crookneck2008",141,11,1,"johnson",0.0780141843971631,1,0,"1",0.458135396571544
"149",149,49013300,2009,"crookneck",46.245,"0",0,2.6,"25-Nov","20-Apr",147,19.3,0.05,0.03,0.02,1,0.05,"Morrison",46.245,-94.611,"NLF",73,53,0.73,"6.7",NA,0,NA,130.96565,0,0.637903188706398,1.3897006944064,0.932714529623918,"crookneck2009",149,7,1,"newman",0.0469798657718121,2,0,"1",0.458135396571544
"174",174,62004700,2012,"crosbylower",44.905,"0",0,NA,"4-Dec","18-Mar",106,2,NA,NA,NA,NA,NA,"Ramsey",44.905,-93.15,"NCHF",28,19,0.68,"5.8",NA,0,NA,46.94995,0,-1.30840397344474,NA,-1.93930452372736,"crosbylower2012",NA,NA,NA,NA,NA,0,0,"0",0
"176",176,62004700,2015,"crosbylower",44.905,"0",0,NA,"15-Nov","25-Mar",131,4.4,NA,NA,NA,NA,NA,"Ramsey",44.905,-93.15,"NCHF",28,19,0.68,"5.8",NA,0,NA,46.94995,0,-1.03839604343534,NA,-0.188073393635117,"crosbylower2015",NA,NA,NA,NA,NA,0,0,"0",0
"175",175,62004700,2015,"crosbyupper",44.9,"0",0,1.6,"26-Nov","31-Mar",126,3.9,NA,NA,NA,NA,NA,"Ramsey",44.9,-93.16,"NCHF",NA,NA,NA,"",NA,0,NA,NA,NA,-1.09464769552063,0.386872901931195,-0.538319619653565,"crosbyupper2015",NA,NA,NA,NA,NA,0,0,"0",0
"195",195,70006900,2006,"fish",44.651,"1",1,1,"29-Nov","6-Apr",129,6.2,0.57,0.66,-0.09,0.99,0.56,"Scott",44.651,-93.46,"NCHF",70,30,0.43,"8.5","Fish ",28,NA,74.1315,0.377707182506762,-0.835890095928282,-0.214823773553931,-0.328171884042496,"fish2006",112,63,1,"johnson",0.5625,0,0,"0",0
"196",196,70006900,2007,"fish",44.651,"1",2,1.6,"3-Dec","28-Mar",116,3.8,0.35,0.44,-0.09,1.05,0.37,"Scott",44.651,-93.46,"NCHF",70,30,0.43,"8.5","Fish ",28,NA,74.1315,0.377707182506762,-1.10589802593769,0.386872901931195,-1.23881207169046,"fish2007",115,42,1.04545454545455,"johnson",0.365217391304348,0,0,"1",0.377707182506762
"197",197,70006900,2008,"fish",44.651,"1",3,1.2,"1-Dec","18-Apr",140,8.8,0.13,0.16,-0.03,1,0.13,"Scott",44.651,-93.46,"NCHF",70,30,0.43,"8.5","Fish ",28,NA,74.1315,0.377707182506762,-0.543381505084758,-0.0142582150588893,0.44236981319809,"fish2008",118,16,1,"johnson",0.135593220338983,1,0,"1",0.377707182506762
"198",198,70006900,2009,"fish",44.651,"0",0,1.4,"28-Nov","3-Apr",127,10.4,0.02,0.02,0,1,0.02,"Scott",44.651,-93.46,"NCHF",70,30,0.43,"8.5",NA,0,NA,74.1315,0,-0.36337621841182,0.186307343436153,-0.468270374449876,"fish2009",126,2,1,"newman",0.0158730158730159,2,0,"1",0.377707182506762
"77",77,27009500,2007,"gleason",44.981,"1",2,0.5,"2-Dec","28-Mar",117,6.1,0.79,0.83,-0.04,2.08,1.38,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",140,NA,138.3788,1.01171566742883,-0.847140426345341,-0.716237669791536,-1.16876282648677,"gleason2007",128,101,2.2970297029703,"mccomas",0.7890625,0,0,"0",0
"78",78,27009500,2008,"gleason",44.981,"1",3,0.5,"29-Nov","7-Apr",131,11.5,0.59,0.6,-0.01,1.62,0.95,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",140,NA,138.3788,1.01171566742883,-0.239622583824175,-0.716237669791536,-0.188073393635117,"gleason2008",125,90,1.9,"mccomas",0.72,0,0,"1",1.01171566742883
"79",79,27009500,2009,"gleason",44.981,"1",4,0.5,"30-Nov","4-Apr",126,7.2,0.49,0.5,-0.01,1.83,0.89,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",140,NA,138.3788,1.01171566742883,-0.723386791757696,-0.716237669791536,-0.538319619653565,"gleason2009",127,73,1.93150684931507,"mccomas",0.574803149606299,1,0,"1",1.01171566742883
"80",80,27009500,2010,"gleason",44.981,"1",5,0.9,"6-Dec","31-Mar",116,22.4,0.36,0.36,0,1.48,0.53,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",27.9,NA,138.3788,0.201620479437602,0.986663431635216,-0.315106552801452,-1.23881207169046,"gleason2010",125,52,1.53846153846154,"mccomas",0.416,2,0,"1",1.01171566742883
"81",81,27009500,2011,"gleason",44.981,"1",6,0.5,"23-Nov","10-Apr",139,27.1,0.09,0.09,0,1.07,0.09,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",16.3,NA,138.3788,0.117792609850642,1.51542896123697,-0.716237669791536,0.372320567994401,"gleason2011",125,12,1.33333333333333,"mccomas",0.096,3,0,"1",0.201620479437602
"82",82,27009500,2012,"gleason",44.981,"1",7,0.9,"6-Dec","18-Mar",104,1.9,0.36,0.36,0,1.38,0.48,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",45,NA,138.3788,0.325194321673551,-1.3196543038618,-0.315106552801452,-2.07940301413474,"gleason2012",128,56,NA,"mccomas",0.4375,4,0,"1",0.117792609850642
"83",83,27009500,2013,"gleason",44.981,"1",8,1.5,"3-Dec","28-Apr",147,12.5,0.05,0.05,0,1.29,0.06,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",4.5,NA,138.3788,0.0325194321673551,-0.127119279653589,0.286590122683674,0.932714529623918,"gleason2013",127,11,NA,"mccomas",0.0866141732283465,5,0,"1",0.325194321673551
"84",84,27009500,2014,"gleason",44.981,"1",9,1.4,"27-Nov","18-Apr",143,25.5,0.13,0.13,0,1.71,0.23,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",13.07,NA,138.3788,0.0944508840949625,1.33542367456403,0.186307343436153,0.652517548809159,"gleason2014",4,4,NA,"mccomas",0.13,6,0,"1",0.0325194321673551
"85",85,27009500,2015,"gleason",44.981,"1",10,0.7,"24-Nov","30-Mar",127,4.5,0.12,0.12,0,0.62,0.07,"Hennepin",44.981,-93.493,"NCHF",57,56,0.98,"4.9","Gleason ",32,NA,138.3788,0.231249295412303,-1.02714571301828,-0.515672111296494,-0.468270374449876,"gleason2015",NA,NA,NA,NA,NA,7,0,"1",0.0944508840949625
"95",95,27013301,2015,"graystonka",44.954,"0",0,5.8,"27-Nov","5-Apr",130,4.5,NA,NA,NA,NA,NA,"Hennepin",44.954,-93.494,"NCHF",74,NA,NA,"11",NA,0,NA,NA,NA,-1.02714571301828,4.59874963032708,-0.258122638838807,"graystonka2015",NA,NA,NA,NA,NA,0,0,"0",0
"99",99,27013325,2013,"halsteadtonka",44.91,"0",0,0.5,"22-Dec","2-May",132,12.6,NA,NA,NA,NA,NA,"Hennepin",44.91,-93.685,"NCHF",215,NA,NA,"9.1",NA,0,NA,NA,NA,-0.11586894923653,-0.716237669791536,-0.118024148431427,"halsteadtonka2013",NA,NA,NA,NA,NA,0,0,"0",0
