"","Lake.ID","Lake.x","Year","litt.ac","Lake.area.acre","Proportion.littoral","Max.depth","trt_date_lag0","trt_acres_lag0","cytrt","yutrt","Trt","YrsTrt","Acres_Chem","perc.lit.chem","SURVEY_START","native_rich_mean","native_vegetated","survey_native_rich","nsamp","lag1_APM_acres","lag1_APM_perc_lit","secchi","secchi.e","secchi.sc","secchi.e.sc","phosphorus","phosphorus.e","phosphorus.sc","phosphorus.e.sc","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","APRMAYPcri","JUNPcri","DIFF.4.6","...43","obs","lake_year","APM_permitted_acres","APM_perc_lit"
"11",27009000,"Holiday",2024,8,8,1,NA,"4/19/2024",4.2,1,0,"1",1,4.2,52.5,"6/12/2024",1.096153846,0.826923077,6,104,NA,0,0.536,0.825,-1.319790526,-1.248760713,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA,NA,11,NA,NA,NA
"12",27005700,NA,2024,11,11,NA,NA,NA,NA,0,1,"0",1,0,0,"6/24/2024",1.6,0.963636364,7,55,0.03,0.272727273,1.175,1.13,-0.593204237,-0.978868465,0.048,0.067,-0.276945273,-0.287636277,0,2,0,0,0,0,0,0,0,NA,0.64,NA,NA,13,NA,NA,NA
"13",27005500,NA,2021,13,13,NA,NA,NA,NA,0,1,"0",3,0,0,"5/2/2021",0.031578947,0.021052632,2,95,21,161.5384615,1.15,1.77,-0.621630931,-0.41253719,NA,NA,NA,NA,0,2,1,1,0,0,0,0,0,0.05,NA,NA,NA,14,NA,NA,NA
"14",27005500,NA,2023,13,13,NA,NA,NA,NA,0,1,"0",4,0,0,"5/13/2023",0.063157895,0.052631579,2,95,NA,0,1.2075,1.22,-0.556249536,-0.899228129,NA,NA,NA,NA,0,2,0,1,1,1,0,0,0,0.05,NA,NA,NA,15,NA,NA,NA
"15",27005500,NA,2018,13,13,NA,NA,"6/1/2018",3.2,0,9,"0",1,0,0,"5/13/2018",0.094736842,0.084210526,2,95,NA,0,0.945,1.26,-0.854729819,-0.863832425,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0.08,NA,NA,NA,16,NA,NA,NA
"16",27005500,NA,2024,13,13,NA,NA,"4/25/2024",3.16,0,2,"0",5,0,0,"4/13/2024",0.094736842,0.094736842,2,95,21,161.5384615,0.972,1.04,-0.82402899,-1.0585088,NA,NA,NA,NA,0,1,1,0,1,1,1,0,0,0.19,NA,NA,NA,17,NA,NA,NA
"17",27066900,NA,2021,13,13,NA,NA,NA,NA,0,1,"0",3,0,0,"5/2/2021",0.031578947,0.021052632,2,95,5.7,43.84615385,1.15,1.77,-0.621630931,-0.41253719,NA,NA,NA,NA,0,2,1,1,0,0,0,0,0,0.05,NA,NA,NA,18,NA,NA,NA
"18",27004400,NA,2020,16,16,NA,NA,"5/1/2020",2.1,0,1,"0",2,0,0,"4/25/2020",0,0,0,100,6.03,37.6875,1.306,2.115,-0.444248363,-0.107249237,0.104,0.0905,-0.27566946,-0.286608414,0,2,0,0,0,0,0,0,0,0.71,NA,NA,NA,19,NA,NA,NA
"19",27004400,NA,2023,16,16,NA,NA,NA,NA,0,1,"0",4,0,0,"5/13/2023",0.27,0.27,2,100,3,18.75,1.67,2.76,-0.030355704,0.463506501,NA,NA,NA,NA,0,2,1,1,1,0,0,0,0,0.01,NA,NA,NA,20,NA,NA,NA
"20",27004400,NA,2024,16,16,NA,NA,"4/25/2024",0.87,0,2,"0",5,0,0,"4/5/2024",0.89,0.96,1,100,6,37.5,3.712,3.45,2.291536631,1.074082407,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0.06,NA,NA,NA,21,NA,NA,NA
"21",27004400,NA,2024,16,16,NA,NA,"4/25/2024",0.87,0,2,"0",5,0,0,"4/5/2024",0.96,0.96,1,100,6,37.5,3.712,3.45,2.291536631,1.074082407,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0.06,NA,NA,NA,22,NA,NA,NA
"22",27004500,NA,2023,22.03,22.03,NA,7,"5/24/2023",2,0,1,"0",7,0,0,"5/13/2023",0,0,0,128,80.68,366.2278711,1.254,1.59,-0.503375886,-0.571817861,NA,NA,NA,NA,0,2,1,1,1,1,1,0,0,0.45,NA,NA,NA,23,NA,NA,NA
"23",27004500,NA,2020,22.03,22.03,NA,7,"5/1/2020",2,0,1,"0",4,0,0,"4/25/2020",0.0078125,0.0078125,1,128,36.76,166.8633681,1.44,1.845,-0.291881285,-0.346170243,0.073833333,0.063,-0.276356728,-0.287811232,0,2,1,1,0,0,0,0,0,0.28,NA,NA,NA,24,NA,NA,NA
"24",27004500,NA,2018,22.03,22.03,NA,7,"6/1/2018",2,0,1,"0",2,0,0,"5/13/2018",0.015625,0.015625,2,128,23.34,105.9464367,1.24,1.58,-0.519294834,-0.580666787,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0.93,NA,NA,NA,25,NA,NA,NA
"25",27004500,NA,2024,22.03,22.03,NA,7,"4/25/2024",2,0,1,"0",8,0,0,"4/5/2024",0.0390625,0.03125,2,128,81.96,372.0381298,2.346666667,2.715,0.739060137,0.423686334,NA,NA,NA,NA,0,2,1,1,1,1,1,1,0,0.66,NA,NA,NA,26,NA,NA,NA
"26",27004500,NA,2017,22.03,22.03,NA,7,"5/1/2017",3,0,9,"0",1,0,0,"4/23/2017",0.046875,0.046875,4,128,24.08,109.3054925,1.8675,1.71,0.194215176,-0.465630747,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,27,NA,NA,NA
"27",27010300,NA,2022,22.98,NA,NA,6,NA,NA,0,2,"0",4,0,0,"6/21/2022",0.698412698,0.547619048,6,126,NA,0,0.8,0.915,-1.019604642,-1.169120378,0.117833333,0.0785,-0.275354304,-0.28713328,0,1,1,1,1,1,0,0,0,NA,0.25,NA,NA,28,NA,NA,NA
"28",73008200,"Schneider",2022,25.14,25.14,0.462,55,NA,NA,0,2,"0",2,0,0,"6/21/2022",1.625,0.75,4,8,2.02,8.035003978,2.29,1.785,0.674626298,-0.3992638,NA,NA,NA,NA,0,1,1,0,0,1,0,0,0,NA,0.5,NA,NA,29,NA,NA,NA
"29",82016200,"Shields",2023,25.53,25.53,0.8644,25.89999962,"5/22/2023",3.07,0,1,"0",5,0,0,"4/25/2023",0.4,0.4,1,40,NA,0,2.545,1.78,0.964578573,-0.403688264,NA,NA,NA,NA,0,2,1,1,1,0,0,0,0,0.55,NA,NA,NA,30,NA,NA,NA
"30",27002800,NA,2020,52.63,52.63,NA,6.5,"5/1/2020",7.4,0,1,"0",4,0,0,"4/18/2020",0.096,0.096,2,125,26,49.40148204,0.66,0.9675,-1.178794126,-1.122663515,0.13,0.1,-0.275077119,-0.286192895,0,2,1,1,0,0,0,0,0,0.37,NA,NA,NA,32,NA,NA,NA
"31",27002800,NA,2023,52.63,52.63,NA,6.5,NA,NA,0,1,"0",6,0,0,"5/13/2023",0.096,0.08,4,250,26.11,49.61048831,0.752,0.97,-1.074183893,-1.120451284,NA,NA,NA,NA,0,2,1,1,1,1,1,0,0,0.05,0.54,0.49,NA,33,NA,NA,NA
"32",27002800,NA,2018,52.63,52.63,NA,6.5,"6/1/2018",7.4,0,1,"0",2,0,0,"5/13/2018",0.104,0.104,1,125,26,49.40148204,0.68,1.233333333,-1.156052771,-0.887429561,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0.97,NA,NA,NA,34,NA,NA,NA
"33",27002800,NA,2023,52.63,52.63,NA,6.5,NA,NA,0,1,"0",6,0,0,"5/13/2023",0.152,0.08,4,125,26.11,49.61048831,0.752,0.97,-1.074183893,-1.120451284,NA,NA,NA,NA,0,2,1,1,1,1,1,0,0,0.05,0.54,0.49,NA,36,NA,NA,NA
"34",27002800,NA,2017,52.63,52.63,NA,6.5,"5/1/2017",7.4,0,9,"0",1,0,0,"4/23/2017",0.16,0.104,2,125,33,62.70188106,0.614,0.5125,-1.231099242,-1.525289656,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0.01,-0.99,NA,37,NA,NA,NA
"35",27002800,NA,2021,52.63,52.63,NA,6.5,"5/1/2021",7.4,0,1,"0",5,0,0,"4/24/2021",0.176,0.176,2,125,NA,0,0.516,0.76,-1.342531881,-1.306278733,NA,NA,NA,NA,0,2,1,1,1,0,0,0,0,0.38,NA,NA,NA,38,NA,NA,NA
"36",27003400,"Crystal",2018,53,53,0.6699,39,NA,NA,0,1,"0",1,0,0,"5/23/2018",0,0,0,46,0.08,0.150943396,1.338,1.975,-0.407862195,-0.231134203,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0.02,NA,NA,NA,42,NA,NA,NA
"37",27003400,"Crystal",2020,53,53,0.6699,39,NA,NA,0,1,"0",2,0,0,"6/10/2020",0,0,0,57,NA,0,1.388,2.16,-0.351008808,-0.067429069,0.100045455,0.1027,-0.275759554,-0.2860748,0,2,0,1,0,0,0,0,0,NA,0.04,NA,NA,43,NA,NA,NA
"38",62005500,"Como",2025,65.65,65.65,0.9775,16,"4/15/2025",71.3,3,0,"1",8,71.3,108.6062452,"6/2/2025",0.5,0.5,1,60,NA,0,1.446,2.205,-0.285058879,-0.027608901,0.144325,0.079875,-0.274750761,-0.287073139,1,2,1,0,1,1,1,1,1,NA,0.25,NA,NA,45,NA,NA,NA
"39",62005500,"Como",2024,65.65,65.65,0.9775,16,"4/4/2024",71.3,2,0,"1",7,71.3,108.6062452,"6/14/2024",0.866666667,0.766666667,4,60,NA,0,1.122,1.485,-0.653468828,-0.664731586,0.108592593,0.078155556,-0.27556483,-0.287148346,1,2,0,1,1,1,1,1,0,NA,0.55,NA,NA,46,NA,NA,NA
"40",10001300,"Susan",2020,71.99,71.99,0.815,17,NA,NA,0,2,"0",2,0,0,"5/18/2020",0.25862069,0.329268293,3,116,6.52,9.056813446,1.532,2.64,-0.187271053,0.357319387,0.151692308,0.079666667,-0.274582916,-0.287082252,0,1,1,1,0,0,0,0,0,0.45,0.25,-0.2,NA,49,NA,NA,NA
"41",10001300,"Susan",2023,71.99,71.99,0.815,17,"5/17/2023",5.35,0,1,"0",5,0,0,"5/15/2023",0.364583333,0.34375,2,96,9.51,13.21016808,1.236,1.475,-0.523843105,-0.673580512,0.142583333,0.127714286,-0.27479044,-0.284980705,0,2,1,0,0,1,1,0,0,0.23,0.12,-0.11,NA,50,NA,NA,NA
"42",10001300,"Susan",2020,71.99,71.99,0.815,17,NA,NA,0,2,"0",2,0,0,"5/18/2020",0.37804878,0.329268293,3,82,6.52,9.056813446,1.532,2.64,-0.187271053,0.357319387,0.151692308,0.079666667,-0.274582916,-0.287082252,0,1,1,1,0,0,0,0,0,0.45,0.25,-0.2,NA,51,NA,NA,NA
"43",62000600,"Kohlman",2024,82.9,82.9,1,11.60000038,"4/30/2024",12.4,5,0,"1",5,12.4,14.95778046,"6/27/2024",1.401785714,0.705357143,9,112,5.93,7.153196622,1.294,1.16,-0.457893176,-0.952321686,0.10056,0.106727273,-0.275747832,-0.285898652,1,2,1,1,1,0,0,0,0,NA,0.29,NA,NA,56,NA,NA,NA
"44",62000600,"Kohlman",2025,82.9,82.9,1,11.60000038,"4/30/2025",15.58,6,0,"1",6,15.58,18.79372738,"6/23/2025",1.548672566,0.752212389,9,113,4.04,4.873341375,1.846,2.005,0.169768219,-0.204587425,0.059512821,0.056933333,-0.276682984,-0.288076581,1,2,1,1,1,1,0,0,0,NA,0.27,NA,NA,57,NA,NA,NA
"45",27004800,"Hyland",2018,83.91,83.91,0.995,11.5,NA,NA,0,1,"0",1,0,0,"5/18/2018",0.177419355,0.177419355,1,124,1.21,1.442021213,1.396,2.115,-0.341912266,-0.107249237,0.077272727,0.065,-0.276278371,-0.287723754,0,2,0,0,0,0,0,0,0,0.01,0.06,0.05,NA,58,NA,NA,NA
"46",27004800,"Hyland",2020,83.91,83.91,0.995,11.5,"4/30/2020",9,0,1,"0",3,0,0,"4/17/2020",0.217741935,0.185483871,3,124,1.21,1.442021213,2.49,2.975,0.902039847,0.653758414,24.6925,20.68833333,0.284514858,0.614316763,0,2,0,1,0,0,0,0,0,0.15,0.42,0.27,NA,59,NA,NA,NA
"47",27004800,"Hyland",2019,83.91,83.91,0.995,11.5,"5/1/2019",19,0,2,"0",2,0,0,"4/30/2019",0.288,0.24,3,125,1.21,1.442021213,2.346,2.715,0.738302092,0.423686334,0.03175,0.03,-0.277315486,-0.289254614,0,1,1,0,0,0,0,0,0,0.2,0.2,0,NA,60,NA,NA,NA
"48",27004800,"Hyland",2018,83.91,83.91,0.995,11.5,NA,NA,0,1,"0",1,0,0,"6/6/2018",0.298387097,0.233870968,5,124,1.21,1.442021213,1.396,2.115,-0.341912266,-0.107249237,0.077272727,0.065,-0.276278371,-0.287723754,0,2,0,0,0,0,0,0,0,0.01,0.06,0.05,NA,61,NA,NA,NA
"49",27004800,"Hyland",2017,83.91,83.91,0.995,11.5,"4/1/2017",31.1,1,0,"1",1,31.1,37.06352044,"4/19/2017",0.411290323,0.39516129,2,124,1.21,1.442021213,1.72,2.51,0.026497683,0.242283347,0.067666667,0.043166667,-0.27649722,-0.288678719,1,1,0,0,0,0,0,0,0,0.15,NA,NA,NA,62,NA,NA,NA
"50",27004800,"Hyland",2019,83.91,83.91,0.995,11.5,"5/1/2019",19,1,0,"1",2,19,22.64330831,"6/11/2019",0.427419355,0.258064516,6,124,1.21,1.442021213,2.346,2.715,0.738302092,0.423686334,0.03175,0.03,-0.277315486,-0.289254614,1,1,1,0,0,0,0,0,0,0.2,0.2,0,NA,63,NA,NA,NA
"51",27004800,"Hyland",2017,83.91,83.91,0.995,11.5,"4/1/2017",31.1,1,0,"1",1,31.1,37.06352044,"5/22/2017",0.564516129,0.5,3,124,1.21,1.442021213,1.72,2.51,0.026497683,0.242283347,0.067666667,0.043166667,-0.27649722,-0.288678719,1,1,0,0,0,0,0,0,0,0.15,NA,NA,NA,64,NA,NA,NA
"52",10000200,"Riley",2017,110.08,110.08,0.3718,49,"5/1/2017",20,1,0,"1",1,20,18.16860465,"5/10/2017",0.778378378,0.637837838,3,185,3.68,3.343023256,2.372,3.22,0.767865853,0.870557105,0.05169697,0.031333333,-0.276861047,-0.289196295,1,1,0,0,0,0,0,0,0,0.29,0.22,-0.07,NA,68,NA,NA,NA
"53",10000200,"Riley",2017,110.08,110.08,0.3718,49,"5/1/2017",20,1,0,"1",1,20,18.16860465,"5/10/2017",1.036144578,0.637837838,3,166,3.68,3.343023256,2.372,3.22,0.767865853,0.870557105,0.05169697,0.031333333,-0.276861047,-0.289196295,1,1,0,0,0,0,0,0,0,0.29,0.22,-0.07,NA,70,NA,NA,NA
"54",10000200,"Riley",2022,110.08,110.08,0.3718,49,"5/1/2022",16.7,3,0,"1",5,16.7,15.17078488,"6/21/2022",1.685393258,0.983146067,10,178,5.03,4.56940407,3.574,3.35,2.134621282,0.985593146,0.02996,0.025777778,-0.277356267,-0.289439289,1,2,1,0,1,1,0,0,0,NA,0.29,NA,NA,72,NA,NA,NA
"55",73008900,"Zumwalde",2022,118.62,118.62,0.9816,21.29999924,NA,NA,0,1,"0",2,0,0,"6/21/2022",0.820512821,0.564102564,7,78,0.29,0.244478166,1.3325,0.87,-0.414116068,-1.208940545,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0,NA,0.86,NA,NA,82,NA,NA,NA
"56",70002200,"Cleary",2022,144.74,144.74,0.9902,9,"4/20/2022",145,0,1,"0",4,0,0,"4/11/2022",0.670886076,0.658227848,2,158,34.65,23.93947768,0.95,1.475,-0.84904448,-0.673580512,171.2333333,98.046,3.623062421,3.997850773,0,2,1,1,0,0,0,0,0,0.48,0.07,-0.41,NA,85,NA,NA,NA
"57",70002200,"Cleary",2022,144.74,144.74,0.9902,9,"4/20/2022",145,4,0,"1",4,145,100.1796324,"6/2/2022",0.684848485,0.557575758,6,165,34.65,23.93947768,0.95,1.475,-0.84904448,-0.673580512,171.2333333,98.046,3.623062421,3.997850773,1,2,1,1,0,0,0,0,0,0.48,0.07,-0.41,NA,86,NA,NA,NA
"58",70002200,"Cleary",2019,144.74,144.74,0.9902,9,"5/1/2019",145,0,9,"0",1,0,0,"4/26/2019",0.872727273,0.76969697,3,165,34.65,23.93947768,1.53,1.77,-0.189545188,-0.41253719,0.08225,0.0586,-0.276164977,-0.288003683,0,1,0,0,0,0,0,0,0,0.81,0.84,0.03,NA,87,NA,NA,NA
"59",70002200,"Cleary",2020,144.74,144.74,0.9902,9,"4/14/2020",145,2,0,"1",2,145,100.1796324,"6/5/2020",1.085365854,0.817073171,6,164,34.65,23.93947768,1.32,1.365,-0.428329414,-0.7709187,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,NA,0.41,NA,NA,88,NA,NA,NA
"60",70002200,"Cleary",2019,144.74,144.74,0.9902,9,"5/1/2019",145,1,0,"1",1,145,100.1796324,"6/14/2019",1.351515152,0.848484848,7,165,34.65,23.93947768,1.53,1.77,-0.189545188,-0.41253719,0.08225,0.0586,-0.276164977,-0.288003683,1,1,0,0,0,0,0,0,0,0.81,0.84,0.03,NA,89,NA,NA,NA
"61",27009800,"Bass",2021,149.28,149.28,0.8149,31,"6/1/2021",18.02,0,1,"0",6,0,0,"5/26/2021",0.632653061,0.489795918,5,98,0.45,0.301446945,2.258,3.235,0.63824013,0.883830495,0.0295,0.037333333,-0.277366747,-0.288933862,0,2,1,1,1,1,0,0,0,0.64,NA,NA,NA,90,NA,NA,NA
"62",27007800,"Staring",2023,156.22,156.22,0.9505,16,NA,NA,0,6,"0",1,0,0,"5/22/2023",0.359550562,0.320224719,4,178,0.43,0.275252849,1.072,1.81,-0.710322215,-0.377141485,0.171888889,0.215166667,-0.27412279,-0.28115564,0,1,0,0,0,0,1,0,0,0.16,0.2,0.04,NA,93,NA,NA,NA
"63",27007800,"Staring",2023,156.22,156.22,0.9505,16,NA,NA,0,6,"0",1,0,0,"6/14/2023",0.45505618,0.353932584,6,178,0.43,0.275252849,1.072,1.81,-0.710322215,-0.377141485,0.171888889,0.215166667,-0.27412279,-0.28115564,0,1,0,0,0,0,1,0,0,0.16,0.2,0.04,NA,94,NA,NA,NA
"64",27007800,"Staring",2019,156.22,156.22,0.9505,16,NA,NA,0,2,"0",1,0,0,"6/3/2019",0.605714286,0.542857143,4,175,0.77,0.492894636,1.378,1.67,-0.362379485,-0.501026451,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,NA,0.12,NA,NA,95,NA,NA,NA
"65",27007800,"Staring",2017,156.22,156.22,0.9505,16,"5/1/2017",40,1,0,"1",1,40,25.60491614,"6/28/2017",0.786127168,0.676300578,7,173,0.43,0.275252849,1.076,1.36,-0.705773944,-0.775343163,0.064227273,0.0593,-0.276575577,-0.287973066,1,1,0,0,0,0,0,0,0,NA,0.22,NA,NA,96,NA,NA,NA
"66",27007800,"Staring",2019,156.22,156.22,0.9505,16,NA,NA,0,2,"0",1,0,0,"6/3/2019",0.824858757,0.542857143,4,177,0.77,0.492894636,1.378,1.67,-0.362379485,-0.501026451,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,NA,0.12,NA,NA,97,NA,NA,NA
"67",27007800,"Staring",2017,156.22,156.22,0.9505,16,"5/1/2017",40,1,0,"1",1,40,25.60491614,"6/20/2017",0.852272727,0.494318182,4,176,0.43,0.275252849,1.076,1.36,-0.705773944,-0.775343163,0.064227273,0.0593,-0.276575577,-0.287973066,1,1,0,0,0,0,0,0,0,NA,0.22,NA,NA,98,NA,NA,NA
"68",70005000,"McMahon",2015,162.26,NA,NA,NA,NA,0,0,1,NA,NA,0,0,"5/15/2015",0.354330709,0.236220472,4,127,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,105,NA,NA,NA
"69",70005000,"McMahon",2016,162.26,NA,NA,NA,NA,0,0,2,NA,NA,0,0,"5/25/2016",0.609756098,0.357723577,5,123,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,106,NA,NA,NA
"70",71001300,"Orono",2021,246.64,246.64,0.9907,17,NA,NA,0,1,"0",4,0,0,"5/15/2021",0.053921569,0.034313725,6,204,70.29,28.49902692,1.16375,1.695,-0.60599625,-0.478904136,NA,NA,NA,NA,0,2,1,1,1,0,0,0,0,0,0.22,0.22,NA,110,NA,NA,NA
"71",71001300,"Orono",2021,246.64,246.64,0.9907,17,NA,NA,0,1,"0",4,0,0,"6/13/2021",0.333333333,0.225490196,9,204,70.29,28.49902692,1.16375,1.695,-0.60599625,-0.478904136,NA,NA,NA,NA,0,2,1,1,1,0,0,0,0,0,0.22,0.22,NA,111,NA,NA,NA
"72",71001300,"Orono",2023,246.64,246.64,0.9907,17,"5/25/2023",30.87,0,1,"0",6,0,0,"5/20/2023",0.524509804,0.328431373,6,204,76.24,30.91144989,1.144444444,1.4675,-0.627947975,-0.680217206,NA,NA,NA,NA,0,2,0,1,1,1,1,0,0,0.19,NA,NA,NA,114,NA,NA,NA
"73",71001300,"Orono",2022,246.64,246.64,0.9907,17,"6/3/2022",30.87,0,2,"0",5,0,0,"5/21/2022",0.617647059,0.421568627,7,204,0.44,0.178397665,1.172857143,1.34,-0.595640811,-0.793041015,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0.2,NA,NA,NA,115,NA,NA,NA
"74",27019100,"Sarah",2019,373,373,0.6694,59,"5/1/2019",108.6,3,0,"1",3,108.6,29.1152815,"6/7/2019",0.783783784,0.637837838,10,185,7.14,1.914209115,1.363333333,2.343333333,-0.379056479,0.094801244,0.09,0.06,-0.275988413,-0.287942449,1,2,1,0,0,0,0,0,0,NA,0.15,NA,NA,119,NA,NA,NA
"75",27019100,"Sarah",2018,373,373,0.6694,59,"5/1/2018",114.5,2,0,"1",2,114.5,30.69705094,"6/13/2018",0.79144385,0.598930481,10,187,8.32,2.230563003,1.651111111,3.216666667,-0.05183365,0.867607464,0.12,0.2,-0.275304942,-0.281819012,1,2,0,0,0,0,0,0,0,NA,0.04,NA,NA,120,NA,NA,NA
"76",27019100,"Sarah",2017,373,373,0.6694,59,"5/1/2017",260,1,0,"1",1,260,69.70509383,"6/1/2017",0.91160221,0.718232044,9,181,1.06,0.284182306,0.828333333,0.865,-0.987387723,-1.213365008,0.1,0.1,-0.27576059,-0.286192895,1,1,0,0,0,0,0,0,0,NA,0.15,NA,NA,121,NA,NA,NA
"77",27012500,"Diamond",2020,405.02,405.02,0.9992,8,"4/13/2020",405,4,0,"1",4,405,99.99506197,"6/3/2020",0.580952381,0.457142857,6,105,NA,0,0.82,1.445,-0.996863287,-0.70012729,NA,NA,NA,NA,1,2,1,1,0,0,0,0,0,NA,0.51,NA,NA,124,NA,NA,NA
"78",27012500,"Diamond",2019,405.02,405.02,0.9992,8,"5/1/2019",405,3,0,"1",3,405,99.99506197,"6/25/2019",1,0.533333333,7,105,NA,0,1.332,2.37,-0.414684602,0.118398381,0.11675,0.037,-0.275378985,-0.288948442,1,2,1,0,0,0,0,0,0,NA,0.36,NA,NA,126,NA,NA,NA
"79",27010400,"Medicine",2019,434.53,434.53,0.4674,47.59999847,"5/1/2019",49.57,0,1,"0",3,0,0,"4/25/2019",0.657608696,0.52173913,7,184,8.19,1.884795066,1.596,2.485,-0.114498717,0.220161032,0.14809434,0.056826087,-0.274664887,-0.288081272,0,2,1,0,0,0,0,0,0,0.26,0.5,0.24,NA,127,NA,NA,NA
"80",27010400,"Medicine",2022,434.53,434.53,0.4674,47.59999847,"5/16/2022",119.5,0,1,"0",6,0,0,"4/29/2022",0.857923497,0.617486339,9,183,9.46,2.177064875,2.216,3.065,0.590483285,0.73339875,185.7061111,85.26266667,3.952786607,3.4387227,0,2,1,1,1,1,0,0,0,0.54,0.41,-0.13,NA,129,NA,NA,NA
"81",27010400,"Medicine",2022,434.53,434.53,0.4674,47.59999847,"5/16/2022",119.5,6,0,"1",6,119.5,27.50097807,"6/9/2022",1.747252747,0.802197802,17,182,9.46,2.177064875,2.216,3.065,0.590483285,0.73339875,185.7061111,85.26266667,3.952786607,3.4387227,1,2,1,1,1,1,0,0,0,0.54,0.41,-0.13,NA,135,NA,NA,NA
